paper_id,year,problem,source_page,source_path,source_sha256,artifact_set_id,formal_body_path,formal_body_sha256,prior_scope_status,render_status,render_path,render_sha256,image_width,image_height,non_background_pixel_ratio,image_entropy,edge_density_proxy,visual_density_class,ocr_status,ocr_output_path,ocr_output_sha256,ocr_raw_char_count,ocr_normalized_char_count,ocr_normalized_line_count,ocr_substantive_detected,ocr_substantive_basis,diagnostic_class,new_scope_status,scope_confidence,requires_manual_visual_review,repair_required,notes
CUMCM-1992-A-002,1992,A,1,1992年数学建模国赛优秀论文/1992年A题优秀论文② 施肥方案对作物蔬菜的影响.pdf,65FB38A666A49FAC5A672F2B21BC8BC21DF5325A0D42E4BF6C7FB2E7D6CC74B7,derived/scale/papers/CUMCM-1992-A-002,derived/scale/papers/CUMCM-1992-A-002/paper.md,3556B4100929F4D56319AA760B104EE0CA947F3D5B03F13F7A0DF601179225BE,UNRESOLVED,PASS,catalog/scale/g11_image_residual_renders/residual/CUMCM-1992-A-002/source_page_1.png,D9F054824C6F499636892C0B5BA5C60F2B3CE6F915DB748F5F2A34F4B0ED2AA4,1470,1980,0.15204564,2.36877236,0.13408272,VISUALLY_AMBIGUOUS,PASS,catalog/scale/g11_image_residual_ocr/residual/CUMCM-1992-A-002/source_page_1.txt,9F99F62573D7B28A5330B33EEF7DA6F1851CB59A496DFF2084510065CBFD7B3C,1623,1622,40,1,"Conservative lexical test: cjk=400, letters=102, words=23, digits=443, lines=40.",OCR_SUBSTANTIVE_CONFIRMED,CONFIRMED_DEFECTIVE,HIGH,0,1,Diagnostic render/OCR only; OCR text is not formal extraction or repair input. Auto-promotion allowed by calibrated classifier.
CUMCM-1992-A-002,1992,A,2,1992年数学建模国赛优秀论文/1992年A题优秀论文② 施肥方案对作物蔬菜的影响.pdf,65FB38A666A49FAC5A672F2B21BC8BC21DF5325A0D42E4BF6C7FB2E7D6CC74B7,derived/scale/papers/CUMCM-1992-A-002,derived/scale/papers/CUMCM-1992-A-002/paper.md,3556B4100929F4D56319AA760B104EE0CA947F3D5B03F13F7A0DF601179225BE,UNRESOLVED,PASS,catalog/scale/g11_image_residual_renders/residual/CUMCM-1992-A-002/source_page_2.png,C93E0F1F6380CBE260622A55BD991AC85AC7B5E94F8EA4C41B841C86EC1A9439,1470,1980,0.13781867,2.17630118,0.11972204,VISUALLY_AMBIGUOUS,PASS,catalog/scale/g11_image_residual_ocr/residual/CUMCM-1992-A-002/source_page_2.txt,A17B476CDF328375F1C8864001A171887F10BE6A79B8C783D9996A277AE2355E,1370,1369,38,1,"Conservative lexical test: cjk=468, letters=167, words=41, digits=41, lines=38.",OCR_SUBSTANTIVE_CONFIRMED,CONFIRMED_DEFECTIVE,HIGH,0,1,Diagnostic render/OCR only; OCR text is not formal extraction or repair input. Auto-promotion allowed by calibrated classifier.
CUMCM-1992-A-002,1992,A,3,1992年数学建模国赛优秀论文/1992年A题优秀论文② 施肥方案对作物蔬菜的影响.pdf,65FB38A666A49FAC5A672F2B21BC8BC21DF5325A0D42E4BF6C7FB2E7D6CC74B7,derived/scale/papers/CUMCM-1992-A-002,derived/scale/papers/CUMCM-1992-A-002/paper.md,3556B4100929F4D56319AA760B104EE0CA947F3D5B03F13F7A0DF601179225BE,UNRESOLVED,PASS,catalog/scale/g11_image_residual_renders/residual/CUMCM-1992-A-002/source_page_3.png,2647940E6C2EF89659D32140EEC6AD983DE2953932E59B052F98A62E90A6769D,1470,1980,0.17940995,2.68653393,0.15486819,VISUALLY_CONTENT_DENSE,PASS,catalog/scale/g11_image_residual_ocr/residual/CUMCM-1992-A-002/source_page_3.txt,B7A3070617CEB16934C37C0A101526FC50516EB6394C9592F8B0D468072E4F78,1758,1757,41,1,"Conservative lexical test: cjk=512, letters=192, words=45, digits=275, lines=41.",OCR_SUBSTANTIVE_CONFIRMED,CONFIRMED_DEFECTIVE,HIGH,0,1,Diagnostic render/OCR only; OCR text is not formal extraction or repair input. Auto-promotion allowed by calibrated classifier.
CUMCM-1992-A-002,1992,A,4,1992年数学建模国赛优秀论文/1992年A题优秀论文② 施肥方案对作物蔬菜的影响.pdf,65FB38A666A49FAC5A672F2B21BC8BC21DF5325A0D42E4BF6C7FB2E7D6CC74B7,derived/scale/papers/CUMCM-1992-A-002,derived/scale/papers/CUMCM-1992-A-002/paper.md,3556B4100929F4D56319AA760B104EE0CA947F3D5B03F13F7A0DF601179225BE,UNRESOLVED,PASS,catalog/scale/g11_image_residual_renders/residual/CUMCM-1992-A-002/source_page_4.png,6B598FDE76D6A13867F12FFCA999404A018190CF6F732C056D37360BCD929892,1470,1980,0.16659128,2.52097072,0.14209057,VISUALLY_CONTENT_DENSE,PASS,catalog/scale/g11_image_residual_ocr/residual/CUMCM-1992-A-002/source_page_4.txt,3465A45FEBA2FC68A2BD504D11F40077675A85B69EBDB4CD4B70D22B9B6AD7A2,1653,1652,40,1,"Conservative lexical test: cjk=463, letters=151, words=20, digits=224, lines=40.",OCR_SUBSTANTIVE_CONFIRMED,CONFIRMED_DEFECTIVE,HIGH,0,1,Diagnostic render/OCR only; OCR text is not formal extraction or repair input. Auto-promotion allowed by calibrated classifier.
CUMCM-1992-A-002,1992,A,5,1992年数学建模国赛优秀论文/1992年A题优秀论文② 施肥方案对作物蔬菜的影响.pdf,65FB38A666A49FAC5A672F2B21BC8BC21DF5325A0D42E4BF6C7FB2E7D6CC74B7,derived/scale/papers/CUMCM-1992-A-002,derived/scale/papers/CUMCM-1992-A-002/paper.md,3556B4100929F4D56319AA760B104EE0CA947F3D5B03F13F7A0DF601179225BE,UNRESOLVED,PASS,catalog/scale/g11_image_residual_renders/residual/CUMCM-1992-A-002/source_page_5.png,16073B76DB695B2E66AAE2487A14DF22DB80B56CD0C0DCC58541FD1FCECBCEA9,1470,1980,0.14676706,2.22618708,0.12471281,VISUALLY_AMBIGUOUS,PASS,catalog/scale/g11_image_residual_ocr/residual/CUMCM-1992-A-002/source_page_5.txt,B17C7EB939DEB9EA19CB3EC2454145AB05E5FC0E321B29EA23FF7BF4C9728C51,1300,1299,38,1,"Conservative lexical test: cjk=514, letters=83, words=26, digits=64, lines=38.",OCR_SUBSTANTIVE_CONFIRMED,CONFIRMED_DEFECTIVE,HIGH,0,1,Diagnostic render/OCR only; OCR text is not formal extraction or repair input. Auto-promotion allowed by calibrated classifier.
CUMCM-1992-A-002,1992,A,6,1992年数学建模国赛优秀论文/1992年A题优秀论文② 施肥方案对作物蔬菜的影响.pdf,65FB38A666A49FAC5A672F2B21BC8BC21DF5325A0D42E4BF6C7FB2E7D6CC74B7,derived/scale/papers/CUMCM-1992-A-002,derived/scale/papers/CUMCM-1992-A-002/paper.md,3556B4100929F4D56319AA760B104EE0CA947F3D5B03F13F7A0DF601179225BE,UNRESOLVED,PASS,catalog/scale/g11_image_residual_renders/residual/CUMCM-1992-A-002/source_page_6.png,F7B5B42394C5F7A0541E4385B70BBCE4B45A76691688DAE3B3250AF8541FE91D,1470,1980,0.15870683,2.35484477,0.13528544,VISUALLY_AMBIGUOUS,PASS,catalog/scale/g11_image_residual_ocr/residual/CUMCM-1992-A-002/source_page_6.txt,F6341DC5252C4A36B588202A98BCC6C202C75CBCD2DDE3EBF42F29BEA16586A9,1522,1521,41,1,"Conservative lexical test: cjk=645, letters=54, words=17, digits=65, lines=40.",OCR_SUBSTANTIVE_CONFIRMED,CONFIRMED_DEFECTIVE,HIGH,0,1,Diagnostic render/OCR only; OCR text is not formal extraction or repair input. Auto-promotion allowed by calibrated classifier.
CUMCM-1992-A-003,1992,A,2,1992年数学建模国赛优秀论文/1992年A题优秀论文③ 关于非线性交调的频率设计的评注.pdf,F24E48AE1113A02C6ADCF3339392D8B2C9A1449BE1A64FB2DE3D8543A8066E12,derived/scale/papers/CUMCM-1992-A-003,derived/scale/papers/CUMCM-1992-A-003/paper.md,1D9182549363CD07A8F3D657C2AD60D5197D3991577AD22ACB1BFC0A2C456E59,UNRESOLVED,PASS,catalog/scale/g11_image_residual_renders/residual/CUMCM-1992-A-003/source_page_2.png,3D1559C2E6B40FDABBCCF7C1BADE628AD05739DB8B6624FFFE07E980D082334B,1518,1995,0.1400641,2.21930835,0.12582695,VISUALLY_AMBIGUOUS,PASS,catalog/scale/g11_image_residual_ocr/residual/CUMCM-1992-A-003/source_page_2.txt,AEA8C012AE4815E527ADFD977277C7F5F0DF2E9890A781D85C334E8EE6878DD5,1566,1565,41,1,"Conservative lexical test: cjk=409, letters=223, words=57, digits=168, lines=40.",OCR_SUBSTANTIVE_CONFIRMED,CONFIRMED_DEFECTIVE,HIGH,0,1,Diagnostic render/OCR only; OCR text is not formal extraction or repair input. Auto-promotion allowed by calibrated classifier.
CUMCM-1992-A-003,1992,A,4,1992年数学建模国赛优秀论文/1992年A题优秀论文③ 关于非线性交调的频率设计的评注.pdf,F24E48AE1113A02C6ADCF3339392D8B2C9A1449BE1A64FB2DE3D8543A8066E12,derived/scale/papers/CUMCM-1992-A-003,derived/scale/papers/CUMCM-1992-A-003/paper.md,1D9182549363CD07A8F3D657C2AD60D5197D3991577AD22ACB1BFC0A2C456E59,UNRESOLVED,PASS,catalog/scale/g11_image_residual_renders/residual/CUMCM-1992-A-003/source_page_4.png,B4AB7644B88D20BF3B748B847A4BC9578789C1AC516F686EF0854A46E358604B,1518,1995,0.16796374,2.51296021,0.13911328,VISUALLY_CONTENT_DENSE,PASS,catalog/scale/g11_image_residual_ocr/residual/CUMCM-1992-A-003/source_page_4.txt,95D92C02ED2CB991EB84C2C734EC73959F29332EFDF910B5124511DEF4325714,1544,1543,39,1,"Conservative lexical test: cjk=596, letters=152, words=37, digits=60, lines=37.",OCR_SUBSTANTIVE_CONFIRMED,CONFIRMED_DEFECTIVE,HIGH,0,1,Diagnostic render/OCR only; OCR text is not formal extraction or repair input. Auto-promotion allowed by calibrated classifier.
CUMCM-1992-B-001,1992,B,1,1992年数学建模国赛优秀论文/1992年B题优秀论文③ 关于蛋白质氨基酸的组合问题的评注.pdf,9EB60530CF596149C54862AABBBB732ABD9D095267273BEF5682EB79AEE2D99A,derived/scale/papers/CUMCM-1992-B-001,derived/scale/papers/CUMCM-1992-B-001/paper.md,96063CBA314A4F2CBA5DBE2319045D111F6D07789F83372C519D124C7AA4C1B2,UNRESOLVED,PASS,catalog/scale/g11_image_residual_renders/residual/CUMCM-1992-B-001/source_page_1.png,AF2A00627BCDE0155CAD1B8A1615CA48689186A2429582C8D05127B1C836B0FA,1470,1980,0.20556127,2.9401696,0.18007905,VISUALLY_CONTENT_DENSE,PASS,catalog/scale/g11_image_residual_ocr/residual/CUMCM-1992-B-001/source_page_1.txt,48ED360875ED8FF47C67110C44C76B8C9F4DED3CCDAEDDD8FF1D1A04C23580DB,1822,1821,37,1,"Conservative lexical test: cjk=786, letters=61, words=19, digits=114, lines=37.",OCR_SUBSTANTIVE_CONFIRMED,CONFIRMED_DEFECTIVE,HIGH,0,1,Diagnostic render/OCR only; OCR text is not formal extraction or repair input. Auto-promotion allowed by calibrated classifier.
CUMCM-1992-B-001,1992,B,2,1992年数学建模国赛优秀论文/1992年B题优秀论文③ 关于蛋白质氨基酸的组合问题的评注.pdf,9EB60530CF596149C54862AABBBB732ABD9D095267273BEF5682EB79AEE2D99A,derived/scale/papers/CUMCM-1992-B-001,derived/scale/papers/CUMCM-1992-B-001/paper.md,96063CBA314A4F2CBA5DBE2319045D111F6D07789F83372C519D124C7AA4C1B2,UNRESOLVED,PASS,catalog/scale/g11_image_residual_renders/residual/CUMCM-1992-B-001/source_page_2.png,DECD197EF16078A6CE65AAB4015AF5E72002FFE0BBA519E2CB61625DB795FBEF,1470,1980,0.15384971,2.38838638,0.13465324,VISUALLY_AMBIGUOUS,PASS,catalog/scale/g11_image_residual_ocr/residual/CUMCM-1992-B-001/source_page_2.txt,5501EB8AE522F8906B0F6B5F8ABE29A13EB208518A079B92A9BFE64572A0989B,1291,1290,45,1,"Conservative lexical test: cjk=527, letters=40, words=12, digits=94, lines=45.",OCR_SUBSTANTIVE_CONFIRMED,CONFIRMED_DEFECTIVE,HIGH,0,1,Diagnostic render/OCR only; OCR text is not formal extraction or repair input. Auto-promotion allowed by calibrated classifier.
