capability_id,capability_name,capability_type,executable_or_module,installed,version,binary_doc_support_claimed,binary_doc_support_verified,requires_conversion,requires_gui,requires_interactive_session,requires_network,requires_new_dependency,read_only_possible,output_type,provenance_possible,determinism_assessable,security_risk,fidelity_risk,recommended_for_pilot,classification,rejection_reason
WORD_COM,Microsoft Word COM automation,WINDOWS_OFFICE_COM,C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE,1,16.0.20228.20190,1,0,1,1,1,0,0,1,PDF via ExportAsFixedFormat,1,1,MEDIUM,LOW,0,EXISTING_BUT_UNSUITABLE,current Codex session failed COM class factory with 0x80070520 LOGIN_SESSION_NOT_FOUND; prior contract pilot remains BLOCKED
WORDCONV_EXE,Microsoft Office Wordconv.exe,WINDOWS_OFFICE_CLI,C:\Program Files\Microsoft Office\root\Office16\Wordconv.exe,1,16.0.20228.20190,1,0,1,0,1,0,0,1,DOCX or Office conversion output; PDF governance not verified,1,1,MEDIUM,MEDIUM,0,EXISTING_BUT_UNSUITABLE,executable exists but capability help probe could not start in current login session; no governed PDF path verified
ANTIWORD,antiword,CLI,antiword,0,,1,0,0,0,0,0,0,1,text or PDF depending on tool,1,1,LOW,UNKNOWN,0,NOT_INSTALLED,not installed; installation is outside this stage
CATDOC,catdoc,CLI,catdoc,0,,1,0,0,0,0,0,0,1,text or PDF depending on tool,1,1,LOW,UNKNOWN,0,NOT_INSTALLED,not installed; installation is outside this stage
WVTEXT,wvText,CLI,wvText,0,,1,0,0,0,0,0,0,1,text or PDF depending on tool,1,1,LOW,UNKNOWN,0,NOT_INSTALLED,not installed; installation is outside this stage
WVWARE,wvWare,CLI,wvWare,0,,1,0,0,0,0,0,0,1,text or PDF depending on tool,1,1,LOW,UNKNOWN,0,NOT_INSTALLED,not installed; installation is outside this stage
LIBREOFFICE,LibreOffice/soffice,CLI,soffice|libreoffice,0,,1,0,0,0,0,0,0,1,text or PDF depending on tool,1,1,LOW,UNKNOWN,0,NOT_INSTALLED,not installed; installation is outside this stage
PYTHON_DOCX,python-docx,PYTHON_MODULE,docx,0,,0,0,0,0,0,0,0,0,metadata or OOXML text,0,0,LOW,HIGH,0,NOT_BINARY_DOC_CAPABLE,"supports OOXML .docx, not binary .doc"
PYTHON_DOCX2TXT,docx2txt,PYTHON_MODULE,docx2txt,0,,0,0,0,0,0,0,0,0,metadata or OOXML text,0,0,LOW,HIGH,0,NOT_BINARY_DOC_CAPABLE,"supports OOXML .docx, not binary .doc"
PYTHON_OLEFILE,olefile,PYTHON_MODULE,olefile,0,,0,0,0,0,0,0,0,0,metadata or OOXML text,0,0,LOW,NOT_APPLICABLE,0,NOT_BINARY_DOC_CAPABLE,"OLE container/metadata reader, not Word body extraction"
PYTHON_COMPOUNDFILES,compoundfiles,PYTHON_MODULE,compoundfiles,0,,1,0,0,0,0,0,0,0,OLE container,0,0,LOW,NOT_APPLICABLE,0,NOT_INSTALLED,not installed; binary container access would still not establish fidelity
PYTHON_OLETOOLS,oletools,PYTHON_MODULE,oletools,0,,0,0,0,0,0,0,0,0,metadata or OOXML text,0,0,LOW,NOT_APPLICABLE,0,NOT_INSTALLED,not installed; security/metadata analysis is not body extraction
NODE_PROJECT_PARSER,Existing Node binary-DOC parser,NODE_MODULE,project node_modules,0,v24.18.0 runtime; no project node_modules,0,0,0,0,0,0,0,0,,0,0,LOW,UNKNOWN,0,NOT_INSTALLED,no project node_modules or known local binary-DOC parser
OFFICE_IFILTER,Office/Windows document filter components,WINDOWS_FILTER,Office16/ONFILTER.DLL; FilterModule.dll,1,16.0.20228.20190,1,0,0,0,0,0,0,1,Search/filter text only,0,0,MEDIUM,HIGH,0,EXISTING_BUT_UNSUITABLE,filter component is not a governed standalone extractor and page/provenance fidelity is not established
PROJECT_DOC_AUDIT,Existing project DOC/OLE capability audit,PROJECT_UTILITY,tools/46_g8_mf41_unsupported_format_closure.py,1,project utility,0,1,0,0,0,0,0,1,metadata/signature inventory,1,1,LOW,HIGH,0,NOT_BINARY_DOC_CAPABLE,confirms OLE format and records capability absence; does not extract Word body text
PROJECT_DOC_PILOT_RUNNER,Existing DOC contract pilot runner,PROJECT_UTILITY,tools/49_g8_doc_contract_pilot.py,1,project utility,1,0,1,1,1,0,0,1,governed PDF pilot when Word COM is available,1,1,MEDIUM,LOW,0,EXISTING_BUT_UNSUITABLE,runner is blocked before conversion by current Word COM session and is not an autonomous backend
