paper_id,year,problem,category,reason,source_path,quality,artifact_status,recommended_next_action,priority
CUMCM-1992-A-004,1992,A,Q3_REPAIR_MANUAL,PARTIAL_SCAN; no approved repair contract,1992年数学建模国赛优秀论文/1992年A题优秀论文① 关于施肥效果分析问题的评注.pdf,Q3,NOT_GENERATED,"approve a deterministic Q3 repair contract, then perform manual repair",P2
CUMCM-1993-B-002,1993,B,Q3_REPAIR_MANUAL,PARTIAL_SCAN; no approved repair contract,1993年数学建模国赛真题+优秀论文/1993年国赛优秀论文/1993年B题优秀论文③ 一个给足球队排名次的方法.pdf,Q3,NOT_GENERATED,"approve a deterministic Q3 repair contract, then perform manual repair",P2
CUMCM-1993-B-003,1993,B,Q3_REPAIR_MANUAL,PARTIAL_SCAN; no approved repair contract,1993年数学建模国赛真题+优秀论文/1993年国赛优秀论文/1993年B题优秀论文① 关于球队排名次问题的几点评注.pdf,Q3,NOT_GENERATED,"approve a deterministic Q3 repair contract, then perform manual repair",P2
CUMCM-1995-A-001,1995,A,Q3_REPAIR_MANUAL,PARTIAL_SCAN; no approved repair contract,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995A：飞行管理问题的实时算法.pdf,Q3,NOT_GENERATED,"approve a deterministic Q3 repair contract, then perform manual repair",P2
CUMCM-1995-A-002,1995,A,Q3_REPAIR_MANUAL,PARTIAL_SCAN; no approved repair contract,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995A：飞行管理模型的线性化处理方法.pdf,Q3,NOT_GENERATED,"approve a deterministic Q3 repair contract, then perform manual repair",P2
CUMCM-1995-A-003,1995,A,Q3_REPAIR_MANUAL,PARTIAL_SCAN; no approved repair contract,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995A：飞行管理问题的线性规划模型.pdf,Q3,NOT_GENERATED,"approve a deterministic Q3 repair contract, then perform manual repair",P2
CUMCM-1995-A-004,1995,A,Q3_REPAIR_MANUAL,PARTIAL_SCAN; no approved repair contract,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995A：飞行管理问题的逐步逼近搜索方法.pdf,Q3,NOT_GENERATED,"approve a deterministic Q3 repair contract, then perform manual repair",P2
CUMCM-1995-A-005,1995,A,Q3_REPAIR_MANUAL,PARTIAL_SCAN; no approved repair contract,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995A：飞行管理问题约束条件的线性化.pdf,Q3,NOT_GENERATED,"approve a deterministic Q3 repair contract, then perform manual repair",P2
CUMCM-1995-A-006,1995,A,Q3_REPAIR_MANUAL,PARTIAL_SCAN; no approved repair contract,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995A：飞行管理模型的能量梯度求解法.pdf,Q3,NOT_GENERATED,"approve a deterministic Q3 repair contract, then perform manual repair",P2
CUMCM-1995-A-007,1995,A,Q3_REPAIR_MANUAL,PARTIAL_SCAN; no approved repair contract,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995A：飞行管理问题答卷评述.pdf,Q3,NOT_GENERATED,"approve a deterministic Q3 repair contract, then perform manual repair",P2
CUMCM-1995-A-008,1995,A,Q3_REPAIR_MANUAL,PARTIAL_SCAN; no approved repair contract,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995A：空中防撞系统的设计.pdf,Q3,NOT_GENERATED,"approve a deterministic Q3 repair contract, then perform manual repair",P2
CUMCM-1995-B-001,1995,B,Q3_REPAIR_MANUAL,PARTIAL_SCAN; no approved repair contract,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995B：冶炼车间的最优调度模型的检验.pdf,Q3,NOT_GENERATED,"approve a deterministic Q3 repair contract, then perform manual repair",P2
CUMCM-1995-B-002,1995,B,Q3_REPAIR_MANUAL,PARTIAL_SCAN; no approved repair contract,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995B：天车作业调度的随机性分析.pdf,Q3,NOT_GENERATED,"approve a deterministic Q3 repair contract, then perform manual repair",P2
CUMCM-1995-B-003,1995,B,Q3_REPAIR_MANUAL,PARTIAL_SCAN; no approved repair contract,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995B：天车与冶炼炉的作业调度模型.pdf,Q3,NOT_GENERATED,"approve a deterministic Q3 repair contract, then perform manual repair",P2
CUMCM-1995-B-004,1995,B,Q3_REPAIR_MANUAL,PARTIAL_SCAN; no approved repair contract,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995B：天车冶炼炉作业调度的活动网络模型.pdf,Q3,NOT_GENERATED,"approve a deterministic Q3 repair contract, then perform manual repair",P2
CUMCM-1995-B-005,1995,B,Q3_REPAIR_MANUAL,PARTIAL_SCAN; no approved repair contract,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995B：天车与冶炼炉的作业调度.pdf,Q3,NOT_GENERATED,"approve a deterministic Q3 repair contract, then perform manual repair",P2
CUMCM-1995-B-006,1995,B,Q3_REPAIR_MANUAL,PARTIAL_SCAN; no approved repair contract,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995B：天车与冶炼炉作业调度的Petri网模型.pdf,Q3,NOT_GENERATED,"approve a deterministic Q3 repair contract, then perform manual repair",P2
CUMCM-1995-B-007,1995,B,Q3_REPAIR_MANUAL,PARTIAL_SCAN; no approved repair contract,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995B：天车与冶炼炉的操作模型.pdf,Q3,NOT_GENERATED,"approve a deterministic Q3 repair contract, then perform manual repair",P2
CUMCM-1996-A-001,1996,A,Q3_REPAIR_MANUAL,PARTIAL_SCAN; no approved repair contract,1996年数学建模国赛真题+优秀论文/1996年国赛优秀论文/1996A：持续高产捕鱼策略.pdf,Q3,NOT_GENERATED,"approve a deterministic Q3 repair contract, then perform manual repair",P2
CUMCM-1996-A-002,1996,A,Q3_REPAIR_MANUAL,PARTIAL_SCAN; no approved repair contract,1996年数学建模国赛真题+优秀论文/1996年国赛优秀论文/1996A：最优捕鱼策略的设计.pdf,Q3,NOT_GENERATED,"approve a deterministic Q3 repair contract, then perform manual repair",P2
CUMCM-1996-A-003,1996,A,Q3_REPAIR_MANUAL,PARTIAL_SCAN; no approved repair contract,1996年数学建模国赛真题+优秀论文/1996年国赛优秀论文/1996A：最优捕鱼模型.pdf,Q3,NOT_GENERATED,"approve a deterministic Q3 repair contract, then perform manual repair",P2
CUMCM-1996-A-004,1996,A,Q3_REPAIR_MANUAL,PARTIAL_SCAN; no approved repair contract,1996年数学建模国赛真题+优秀论文/1996年国赛优秀论文/1996A：最优捕鱼策略.pdf,Q3,NOT_GENERATED,"approve a deterministic Q3 repair contract, then perform manual repair",P2
CUMCM-1996-A-005,1996,A,Q3_REPAIR_MANUAL,PARTIAL_SCAN; no approved repair contract,1996年数学建模国赛真题+优秀论文/1996年国赛优秀论文/1996A：最优捕鱼策略模型.pdf,Q3,NOT_GENERATED,"approve a deterministic Q3 repair contract, then perform manual repair",P2
CUMCM-1996-A-006,1996,A,Q3_REPAIR_MANUAL,PARTIAL_SCAN; no approved repair contract,1996年数学建模国赛真题+优秀论文/1996年国赛优秀论文/1996A：最优捕鱼策略问题.pdf,Q3,NOT_GENERATED,"approve a deterministic Q3 repair contract, then perform manual repair",P2
CUMCM-1996-A-007,1996,A,Q3_REPAIR_MANUAL,PARTIAL_SCAN; no approved repair contract,1996年数学建模国赛真题+优秀论文/1996年国赛优秀论文/1996A：最优捕鱼策略问题答卷评述.pdf,Q3,NOT_GENERATED,"approve a deterministic Q3 repair contract, then perform manual repair",P2
CUMCM-1996-A-008,1996,A,Q3_REPAIR_MANUAL,PARTIAL_SCAN; no approved repair contract,1996年数学建模国赛真题+优秀论文/1996年国赛优秀论文/1996A：最佳捕鱼策略的数学模型.pdf,Q3,NOT_GENERATED,"approve a deterministic Q3 repair contract, then perform manual repair",P2
CUMCM-1996-B-002,1996,B,Q3_REPAIR_MANUAL,PARTIAL_SCAN; no approved repair contract,1996年数学建模国赛真题+优秀论文/1996年国赛优秀论文/1996B：关于洗衣机节水的数学模型.pdf,Q3,NOT_GENERATED,"approve a deterministic Q3 repair contract, then perform manual repair",P2
CUMCM-1996-B-004,1996,B,Q3_REPAIR_MANUAL,PARTIAL_SCAN; no approved repair contract,1996年数学建模国赛真题+优秀论文/1996年国赛优秀论文/1996B：洗衣机的节水优化模型.pdf,Q3,NOT_GENERATED,"approve a deterministic Q3 repair contract, then perform manual repair",P2
CUMCM-1997-A-001,1997,A,Q3_REPAIR_MANUAL,PARTIAL_SCAN; no approved repair contract,1997年数学建模国赛真题+优秀论文/1997年国赛优秀论文/1997A：零件的参数设计(2).pdf,Q3,NOT_GENERATED,"approve a deterministic Q3 repair contract, then perform manual repair",P2
CUMCM-1997-A-002,1997,A,Q3_REPAIR_MANUAL,PARTIAL_SCAN; no approved repair contract,1997年数学建模国赛真题+优秀论文/1997年国赛优秀论文/1997A：零件参数的优化设计.pdf,Q3,NOT_GENERATED,"approve a deterministic Q3 repair contract, then perform manual repair",P2
CUMCM-1997-A-003,1997,A,Q3_REPAIR_MANUAL,PARTIAL_SCAN; no approved repair contract,1997年数学建模国赛真题+优秀论文/1997年国赛优秀论文/1997A：零件参数设计的动态规划模型.pdf,Q3,NOT_GENERATED,"approve a deterministic Q3 repair contract, then perform manual repair",P2
CUMCM-1997-A-004,1997,A,Q3_REPAIR_MANUAL,PARTIAL_SCAN; no approved repair contract,1997年数学建模国赛真题+优秀论文/1997年国赛优秀论文/1997A：零件的参数设计（4）.pdf,Q3,NOT_GENERATED,"approve a deterministic Q3 repair contract, then perform manual repair",P2
CUMCM-1997-A-005,1997,A,Q3_REPAIR_MANUAL,PARTIAL_SCAN; no approved repair contract,1997年数学建模国赛真题+优秀论文/1997年国赛优秀论文/1997A：零件的参数设计(3).pdf,Q3,NOT_GENERATED,"approve a deterministic Q3 repair contract, then perform manual repair",P2
CUMCM-1997-A-006,1997,A,Q3_REPAIR_MANUAL,PARTIAL_SCAN; no approved repair contract,1997年数学建模国赛真题+优秀论文/1997年国赛优秀论文/1997A：零件参数设计的数学模型.pdf,Q3,NOT_GENERATED,"approve a deterministic Q3 repair contract, then perform manual repair",P2
CUMCM-1997-A-007,1997,A,Q3_REPAIR_MANUAL,PARTIAL_SCAN; no approved repair contract,1997年数学建模国赛真题+优秀论文/1997年国赛优秀论文/1997A：零件的参数设计模型和评述.pdf,Q3,NOT_GENERATED,"approve a deterministic Q3 repair contract, then perform manual repair",P2
CUMCM-1997-B-001,1997,B,Q3_REPAIR_MANUAL,PARTIAL_SCAN; no approved repair contract,1997年数学建模国赛真题+优秀论文/1997年国赛优秀论文/1997B：截断切割中的最优排列问题.pdf,Q3,NOT_GENERATED,"approve a deterministic Q3 repair contract, then perform manual repair",P2
CUMCM-1997-B-002,1997,B,Q3_REPAIR_MANUAL,PARTIAL_SCAN; no approved repair contract,1997年数学建模国赛真题+优秀论文/1997年国赛优秀论文/1997B：最小费用切割策略.pdf,Q3,NOT_GENERATED,"approve a deterministic Q3 repair contract, then perform manual repair",P2
CUMCM-1997-B-003,1997,B,Q3_REPAIR_MANUAL,PARTIAL_SCAN; no approved repair contract,1997年数学建模国赛真题+优秀论文/1997年国赛优秀论文/1997B：截断切割的最优方案.pdf,Q3,NOT_GENERATED,"approve a deterministic Q3 repair contract, then perform manual repair",P2
CUMCM-1997-B-005,1997,B,Q3_REPAIR_MANUAL,PARTIAL_SCAN; no approved repair contract,1997年数学建模国赛真题+优秀论文/1997年国赛优秀论文/1997B：切割次序的优化.pdf,Q3,NOT_GENERATED,"approve a deterministic Q3 repair contract, then perform manual repair",P2
CUMCM-1997-B-006,1997,B,Q3_REPAIR_MANUAL,PARTIAL_SCAN; no approved repair contract,1997年数学建模国赛真题+优秀论文/1997年国赛优秀论文/1997B：最优切割次序模型.pdf,Q3,NOT_GENERATED,"approve a deterministic Q3 repair contract, then perform manual repair",P2
CUMCM-1998-A-002,1998,A,Q3_REPAIR_MANUAL,PARTIAL_SCAN; no approved repair contract,1998年数学建模国赛真题+优秀论文/1998年国赛优秀论文/1998A：资本市场的最佳投资组合.pdf,Q3,NOT_GENERATED,"approve a deterministic Q3 repair contract, then perform manual repair",P2
CUMCM-1998-A-003,1998,A,Q3_REPAIR_MANUAL,PARTIAL_SCAN; no approved repair contract,1998年数学建模国赛真题+优秀论文/1998年国赛优秀论文/1998A：风险投资分析.pdf,Q3,NOT_GENERATED,"approve a deterministic Q3 repair contract, then perform manual repair",P2
CUMCM-1998-A-004,1998,A,Q3_REPAIR_MANUAL,PARTIAL_SCAN; no approved repair contract,1998年数学建模国赛真题+优秀论文/1998年国赛优秀论文/1998A：资产投资收益与风险模型.pdf,Q3,NOT_GENERATED,"approve a deterministic Q3 repair contract, then perform manual repair",P2
CUMCM-1998-A-006,1998,A,Q3_REPAIR_MANUAL,PARTIAL_SCAN; no approved repair contract,1998年数学建模国赛真题+优秀论文/1998年国赛优秀论文/1998A：投资组合模型.pdf,Q3,NOT_GENERATED,"approve a deterministic Q3 repair contract, then perform manual repair",P2
CUMCM-1998-B-007,1998,B,Q3_REPAIR_MANUAL,PARTIAL_SCAN; no approved repair contract,1998年数学建模国赛真题+优秀论文/1998年国赛优秀论文/1998B：多旅行商路线的几个问题.pdf,Q3,NOT_GENERATED,"approve a deterministic Q3 repair contract, then perform manual repair",P2
CUMCM-2002-A-001,2002,A,Q3_REPAIR_MANUAL,PARTIAL_SCAN; no approved repair contract,2002年数学建模国赛真题+优秀论文/2002年优秀论文/2002A：车灯线光源的优化设计 (2).pdf,Q3,NOT_GENERATED,"approve a deterministic Q3 repair contract, then perform manual repair",P2
CUMCM-2002-A-006,2002,A,Q3_REPAIR_MANUAL,PARTIAL_SCAN; no approved repair contract,2002年数学建模国赛真题+优秀论文/2002年优秀论文/2002A：车灯线光源的优化设计方案 (2).pdf,Q3,NOT_GENERATED,"approve a deterministic Q3 repair contract, then perform manual repair",P2
CUMCM-2002-A-007,2002,A,Q3_REPAIR_MANUAL,PARTIAL_SCAN; no approved repair contract,2002年数学建模国赛真题+优秀论文/2002年优秀论文/2002A：车灯灯丝长度优化设计的数学模型和数值模拟 (2).pdf,Q3,NOT_GENERATED,"approve a deterministic Q3 repair contract, then perform manual repair",P2
CUMCM-2002-A-010,2002,A,Q3_REPAIR_MANUAL,PARTIAL_SCAN; no approved repair contract,2002年数学建模国赛真题+优秀论文/2002年优秀论文/2002A：关于_车灯线光源的优化设计_问题的光学思路.pdf,Q3,NOT_GENERATED,"approve a deterministic Q3 repair contract, then perform manual repair",P2
CUMCM-2002-A-013,2002,A,Q3_REPAIR_MANUAL,PARTIAL_SCAN; no approved repair contract,2002年数学建模国赛真题+优秀论文/2002年优秀论文/2002A：车灯光源优化问题的探讨 (2).pdf,Q3,NOT_GENERATED,"approve a deterministic Q3 repair contract, then perform manual repair",P2
CUMCM-2002-A-014,2002,A,Q3_REPAIR_MANUAL,PARTIAL_SCAN; no approved repair contract,2002年数学建模国赛真题+优秀论文/2002年优秀论文/2002A：车灯线光源的优化设计问题 (2).pdf,Q3,NOT_GENERATED,"approve a deterministic Q3 repair contract, then perform manual repair",P2
CUMCM-2002-A-015,2002,A,Q3_REPAIR_MANUAL,PARTIAL_SCAN; no approved repair contract,2002年数学建模国赛真题+优秀论文/2002年优秀论文/2002A：车灯线光源的优化设计模型 (2).pdf,Q3,NOT_GENERATED,"approve a deterministic Q3 repair contract, then perform manual repair",P2
CUMCM-2003-A-001,2003,A,Q3_REPAIR_MANUAL,PARTIAL_SCAN; no approved repair contract,2003年数学建模国赛真题+优秀论文/2003年优秀论文/2003A：SARS传播的数学原理及预测与控制 (2).pdf,Q3,NOT_GENERATED,"approve a deterministic Q3 repair contract, then perform manual repair",P2
CUMCM-2003-A-004,2003,A,Q3_REPAIR_MANUAL,PARTIAL_SCAN; no approved repair contract,2003年数学建模国赛真题+优秀论文/2003年优秀论文/2003A：SARS传播预测的数学模型 (2).pdf,Q3,NOT_GENERATED,"approve a deterministic Q3 repair contract, then perform manual repair",P2
CUMCM-2003-A-009,2003,A,Q3_REPAIR_MANUAL,PARTIAL_SCAN; no approved repair contract,2003年数学建模国赛真题+优秀论文/2003年优秀论文/2003A：考虑自愈的SARS的传播模型 (2).pdf,Q3,NOT_GENERATED,"approve a deterministic Q3 repair contract, then perform manual repair",P2
CUMCM-2003-A-010,2003,A,Q3_REPAIR_MANUAL,PARTIAL_SCAN; no approved repair contract,2003年数学建模国赛真题+优秀论文/2003年优秀论文/2003A：SARS传播的研究 (2).pdf,Q3,NOT_GENERATED,"approve a deterministic Q3 repair contract, then perform manual repair",P2
CUMCM-2003-B-002,2003,B,Q3_REPAIR_MANUAL,PARTIAL_SCAN; no approved repair contract,2003年数学建模国赛真题+优秀论文/2003年优秀论文/2003B：露天矿生产车辆安排计划优化设计 (2).pdf,Q3,NOT_GENERATED,"approve a deterministic Q3 repair contract, then perform manual repair",P2
CUMCM-2003-B-004,2003,B,Q3_REPAIR_MANUAL,PARTIAL_SCAN; no approved repair contract,2003年数学建模国赛真题+优秀论文/2003年优秀论文/2003B：露天矿生产的车辆安排A.pdf,Q3,NOT_GENERATED,"approve a deterministic Q3 repair contract, then perform manual repair",P2
CUMCM-2003-B-006,2003,B,Q3_REPAIR_MANUAL,PARTIAL_SCAN; no approved repair contract,2003年数学建模国赛真题+优秀论文/2003年优秀论文/2003B：露天矿生产的车辆安排 (2).pdf,Q3,NOT_GENERATED,"approve a deterministic Q3 repair contract, then perform manual repair",P2
CUMCM-2003-B-010,2003,B,Q3_REPAIR_MANUAL,PARTIAL_SCAN; no approved repair contract,2003年数学建模国赛真题+优秀论文/2003年优秀论文/2003B：露天矿生产的车辆安排_的模型和评述.pdf,Q3,NOT_GENERATED,"approve a deterministic Q3 repair contract, then perform manual repair",P2
