year,logical_document_id,title,role,document_subtype,problem_id,solution_lineage_id,corpus_eligibility,parse_status,evidence_status,completeness_status,segmentation_status,representation_count,preferred_representation_id,page_or_region_count,award_level,award_level_basis,authors_status,notes
2015,2015_PROBLEM_A,A题 太阳影子定位,problem,problem_statement,2015_A,not_applicable,supporting_non_solution,complete,verified,incomplete_supporting_attachment,complete,1,2015_REP_008,1,unknown,not_inferred_from_directory_or_filename,not_observed,
2015,2015_PROBLEM_B,B题 “互联网+”时代的出租车资源配置,problem,problem_statement,2015_B,not_applicable,supporting_non_solution,complete,verified,complete,complete,1,2015_REP_011,1,unknown,not_inferred_from_directory_or_filename,not_observed,
2015,2015_PROBLEM_C,C题 月上柳梢头,problem,problem_statement,2015_C,not_applicable,supporting_non_solution,complete,verified,complete,complete,1,2015_REP_012,1,unknown,not_inferred_from_directory_or_filename,not_observed,
2015,2015_PROBLEM_D,D题 众筹筑屋规划方案设计,problem,problem_statement,2015_D,not_applicable,supporting_non_solution,complete,verified,complete,complete,1,2015_REP_013,1,unknown,not_inferred_from_directory_or_filename,not_observed,
2015,2015_A_PAPER_001,基于L-M优化算法的太阳影子定位模型,paper,solution_paper,2015_A,2015_A_LINEAGE_001,eligible_solution,complete,verified,complete,complete,1,2015_REP_001,32,unknown,not_inferred_from_directory_or_filename,not_observed,
2015,2015_A_PAPER_002,太阳影子定位的多目标优化模型,paper,solution_paper,2015_A,2015_A_LINEAGE_002,eligible_solution,complete,verified,complete,complete,1,2015_REP_002,30,unknown,not_inferred_from_directory_or_filename,not_observed,
2015,2015_A_PAPER_003,太阳影子定位模型（双目标规划、粒子群与图像矫正）,paper,solution_paper,2015_A,2015_A_LINEAGE_003,eligible_solution,complete,verified,complete,complete,1,2015_REP_003,27,unknown,not_inferred_from_directory_or_filename,not_observed,
2015,2015_A_PAPER_004,太阳影子定位（分层多目标与动态追踪）,paper,solution_paper,2015_A,2015_A_LINEAGE_004,eligible_solution,complete,verified,complete,complete,1,2015_REP_004,47,unknown,not_inferred_from_directory_or_filename,not_observed,
2015,2015_A_PAPER_005,太阳影子定位（最小二乘、遗传算法与模拟退火）,paper,solution_paper,2015_A,2015_A_LINEAGE_005,eligible_solution,complete,verified,complete,complete,2,2015_REP_005,26,unknown,not_inferred_from_directory_or_filename,not_observed,Multiple byte-distinct but content-equivalent PDF representations merged.
2015,2015_A_PAPER_006,太阳影子定位（拟牛顿、人工鱼群与Canny）,paper,solution_paper,2015_A,2015_A_LINEAGE_006,eligible_solution,complete,verified,complete,complete,1,2015_REP_007,40,unknown,not_inferred_from_directory_or_filename,not_observed,
2015,2015_A_DATA_001,A题附件1-3 影子顶点坐标数据,dataset,spreadsheet_data,2015_A,not_applicable,supporting_non_solution,complete,verified,complete,complete,1,2015_REP_009,3,unknown,not_inferred_from_directory_or_filename,not_observed,
2015,2015_A_DATA_002,A题附件4下载说明,dataset,download_instruction,2015_A,not_applicable,supporting_non_solution,complete,verified,reference_target_missing,complete,1,2015_REP_010,1,unknown,not_inferred_from_directory_or_filename,not_observed,
2015,2015_D_DATA_001,D题附件1 赛题所需的相关数据,dataset,tabular_data,2015_D,not_applicable,supporting_non_solution,complete,verified,complete,complete,1,2015_REP_014,2,unknown,not_inferred_from_directory_or_filename,not_observed,
2015,2015_D_DATA_002,D题附件2 中华人民共和国土地增值税暂行条例,dataset,policy_reference,2015_D,not_applicable,supporting_non_solution,complete,verified,complete,complete,1,2015_REP_015,5,unknown,not_inferred_from_directory_or_filename,not_observed,
2015,2015_D_DATA_003,D题附件3 其他相关说明,dataset,policy_reference,2015_D,not_applicable,supporting_non_solution,complete,verified,complete,complete,1,2015_REP_016,1,unknown,not_inferred_from_directory_or_filename,not_observed,
2015,2015_GLOBAL_DATA_001,全国大学生数学建模竞赛论文格式规范（2015修订）,dataset,format_reference,not_applicable,not_applicable,supporting_non_solution,complete,verified,complete,complete,1,2015_REP_017,4,unknown,not_inferred_from_directory_or_filename,not_observed,
2015,2015_B_PAPER_001,“互联网+”时代的出租车资源配置,paper,solution_paper,2015_B,2015_B_LINEAGE_001,eligible_solution,complete,verified,complete,complete,1,2015_REP_018,32,unknown,not_inferred_from_directory_or_filename,not_observed,"Independently identified from title, abstract, model structure and full-document evidence."
2015,2015_B_PAPER_002,“互联网+”时代的出租车资源配置模型,paper,solution_paper,2015_B,2015_B_LINEAGE_002,eligible_solution,complete,verified,complete,complete,1,2015_REP_019,42,unknown,not_inferred_from_directory_or_filename,not_observed,"Independently identified from title, abstract, model structure and full-document evidence."
2015,2015_B_PAPER_003,“互联网+”时代的出租车资源配置,paper,solution_paper,2015_B,2015_B_LINEAGE_003,eligible_solution,complete,verified,complete,complete,1,2015_REP_020,26,unknown,not_inferred_from_directory_or_filename,not_observed,"Independently identified from title, abstract, model structure and full-document evidence."
2015,2015_B_PAPER_004,“互联网+”时代基于动态补贴的出租车资源优化配置,paper,solution_paper,2015_B,2015_B_LINEAGE_004,eligible_solution,complete,verified,complete,complete,1,2015_REP_021,31,unknown,not_inferred_from_directory_or_filename,not_observed,"Independently identified from title, abstract, model structure and full-document evidence."
2015,2015_B_PAPER_005,“互联网+”时代的打车难补贴政策的分析与探讨,paper,solution_paper,2015_B,2015_B_LINEAGE_005,eligible_solution,complete,verified,complete,complete,1,2015_REP_022,19,unknown,not_inferred_from_directory_or_filename,not_observed,"Independently identified from title, abstract, model structure and full-document evidence."
2015,2015_C_PAPER_001,关于“月上柳梢头”研究模型的建立与分析,paper,solution_paper,2015_C,2015_C_LINEAGE_001,eligible_solution,complete,verified,complete,complete,1,2015_REP_023,51,unknown,not_inferred_from_directory_or_filename,not_observed,"Independently identified from title, abstract, model structure and full-document evidence."
2015,2015_C_PAPER_002,月上柳梢头,paper,solution_paper,2015_C,2015_C_LINEAGE_002,eligible_solution,complete,verified,complete,complete,1,2015_REP_024,14,unknown,not_inferred_from_directory_or_filename,not_observed,"Independently identified from title, abstract, model structure and full-document evidence."
