logical_document_id,year,role,document_subtype,problem_id,title,corpus_eligibility,parse_status,evidence_status,completeness_status,segmentation_status,preferred_representation_id,representation_count,carrier_count,page_or_region_count,award_level,expert_commentary,notes
2021-commentary-format-spec,2021,commentary,submission_format_specification,,2021全国大学生数学建模竞赛论文格式规范,reference_only,text_extracted,verified,complete,complete,rep-2021-commentary-format-spec-01,1,1,6,not_applicable,False,全国组委会2021年修订稿，规定论文纸质版与电子版格式；非参赛论文、非专家评述。
2021-dataset-A1-nodes,2021,dataset,input_dataset,A,A题附件1：主索节点坐标,eligible_support,schema_inspected,verified,complete,complete,rep-2021-dataset-A1-nodes-01,1,1,1,not_applicable,False,2226个主索节点，节点编号及X/Y/Z坐标；含表头共2227行。
2021-dataset-A2-actuators,2021,dataset,input_dataset,A,A题附件2：促动器地锚点与顶端坐标,eligible_support,schema_inspected,verified,complete,complete,rep-2021-dataset-A2-actuators-01,1,1,1,not_applicable,False,2226个促动器对应主索节点、下端点和基准态上端点坐标；含表头共2227行。
2021-dataset-A3-panels,2021,dataset,input_dataset,A,A题附件3：反射面板节点三元组,eligible_support,schema_inspected,verified,complete,complete,rep-2021-dataset-A3-panels-01,1,1,1,not_applicable,False,4300块反射面板的三个主索节点编号；含表头共4301行。
2021-dataset-A4-result-template,2021,dataset,result_template,A,A题附件4：result.xlsx结果模板,eligible_support,schema_inspected,verified,complete,complete,rep-2021-dataset-A4-result-template-01,1,1,3,not_applicable,False,3个工作表：理想抛物面顶点、调整后主索节点及坐标、促动器伸缩量。文件名序号与题面附件编号不一致，内容身份按工作表确认。
2021-dataset-B1-performance,2021,dataset,input_dataset,B,B题附件1：催化剂性能数据,eligible_support,schema_inspected,verified,complete,complete,rep-2021-dataset-B1-performance-01,1,1,1,not_applicable,False,性能数据表，115行×11列（含空白尾列），含21种催化剂组合及多温度实验。
2021-dataset-B2-stability,2021,dataset,input_dataset,B,B题附件2：350℃稳定性测试,eligible_support,schema_inspected,verified,complete,complete,rep-2021-dataset-B2-stability-01,1,1,1,not_applicable,False,稳定性测试工作表，10行×8列，记录时间、乙醇转化率和产物选择性。
2021-dataset-C1-orders-supply,2021,dataset,input_dataset,C,C题附件1：订货量与供货量,eligible_support,schema_inspected,verified,complete,complete,rep-2021-dataset-C1-orders-supply-01,1,1,2,not_applicable,False,2个工作表；402家供应商、240周订货量与供货量。
2021-dataset-C2-loss-rates,2021,dataset,input_dataset,C,C题附件2：转运损耗率,eligible_support,schema_inspected,verified,complete,complete,rep-2021-dataset-C2-loss-rates-01,1,1,1,not_applicable,False,8家转运商、240周运输损耗率。
2021-dataset-C3-order-template,2021,dataset,result_template,C,C题附件A：问题2至4订购方案模板,eligible_support,schema_inspected,verified,complete,complete,rep-2021-dataset-C3-order-template-01,1,1,3,not_applicable,False,3个工作表，分别填写问题2、3、4的24周订购方案。
2021-dataset-C4-transport-template,2021,dataset,result_template,C,C题附件B：问题2至4转运方案模板,eligible_support,schema_inspected,verified,complete,complete,rep-2021-dataset-C4-transport-template-01,1,1,3,not_applicable,False,3个工作表，分别填写问题2、3、4的供应商-转运商分配。
2021-dataset-E1-mid-ir-types,2021,dataset,input_dataset,E,E题附件1：多类药材中红外光谱,eligible_support,schema_inspected,verified,complete,complete,rep-2021-dataset-E1-mid-ir-types-02,2,2,1,not_applicable,False,中红外工作表，426行×3349列。两份文件字节完全相同；带“D题”前缀的文件名与内容冲突，按E题题面及光谱字段纠正。
2021-dataset-E2-mid-ir-origins,2021,dataset,input_dataset,E,E题附件2：单类药材中红外产地数据,eligible_support,schema_inspected,verified,complete,complete,rep-2021-dataset-E2-mid-ir-origins-02,2,2,1,not_applicable,False,中红外工作表，674行×3450列，含No与OP。两份文件字节完全相同；按内容纠正为E题附件2。
2021-dataset-E3-near-mid-ir-origins,2021,dataset,input_dataset,E,E题附件3：近红外与中红外产地数据,eligible_support,schema_inspected,verified,complete,complete,rep-2021-dataset-E3-near-mid-ir-origins-02,2,2,2,not_applicable,False,近红外256×5998和中红外256×3450两个工作表。两份文件字节完全相同；按内容纠正为E题附件3。
2021-dataset-E4-near-ir-types-origins,2021,dataset,input_dataset,E,E题附件4：多类药材近红外类别与产地数据,eligible_support,schema_inspected,verified,complete,complete,rep-2021-dataset-E4-near-ir-types-origins-02,2,2,1,not_applicable,False,近红外工作表，400行×5999列，含No、Class、OP。两份文件字节完全相同；按内容纠正为E题附件4。
2021-paper-A028,2021,paper,competition_solution,A,“FAST”主动反射面调节模型,eligible_solution,manually_indexed_from_abstract_and_sampled_pages,verified_identity_and_boundary,complete_representation,complete,rep-2021-paper-A028-image-series,1,38,38,unknown,False,目录名中的编号仅作为文档代码，不推断奖项等级。
2021-paper-A115,2021,paper,competition_solution,A,基于目标优化的“FAST”主动反射面形状调节研究,eligible_solution,manually_indexed_from_abstract_and_sampled_pages,verified_identity_and_boundary,complete_representation,complete,rep-2021-paper-A115-image-series,1,35,35,unknown,False,目录名中的编号仅作为文档代码，不推断奖项等级。
2021-paper-A217,2021,paper,competition_solution,A,“FAST”工作抛物面的优化设计,eligible_solution,manually_indexed_from_abstract_and_sampled_pages,verified_identity_and_boundary,complete_representation,complete,rep-2021-paper-A217-image-series,1,59,59,unknown,False,目录名中的编号仅作为文档代码，不推断奖项等级。
2021-paper-B007,2021,paper,competition_solution,B,C4烯烃制备分析与试验设计,eligible_solution,manually_indexed_from_abstract_and_sampled_pages,verified_identity_and_boundary,complete_representation,complete,rep-2021-paper-B007-image-series,1,45,45,unknown,False,目录名中的编号仅作为文档代码，不推断奖项等级。
2021-paper-B026,2021,paper,competition_solution,B,基于双因素方差分析的乙醇制备C4烯烃的研究,eligible_solution,manually_indexed_from_abstract_and_sampled_pages,verified_identity_and_boundary,complete_representation,complete,rep-2021-paper-B026-image-series,1,26,26,unknown,False,目录名中的编号仅作为文档代码，不推断奖项等级。
2021-paper-B050,2021,paper,competition_solution,B,乙醇偶合制备C4烯烃的多元回归与神经网络模型,eligible_solution,manually_indexed_from_abstract_and_sampled_pages,verified_identity_and_boundary,complete_representation,complete,rep-2021-paper-B050-image-series,1,59,59,unknown,False,目录名中的编号仅作为文档代码，不推断奖项等级。
2021-paper-B106,2021,paper,competition_solution,B,乙醇制备C4烯烃催化剂组合的分析与设计,eligible_solution,manually_indexed_from_abstract_and_sampled_pages,verified_identity_and_boundary,complete_representation,complete,rep-2021-paper-B106-image-series,1,28,28,unknown,False,目录名中的编号仅作为文档代码，不推断奖项等级。
