paper_id,original_severity,original_decision_reference,original_major_summary,repair_route,repaired_pages,current_body_path,current_body_sha256,review_packet_path,new_severity,reviewer_comment,review_status
CUMCM-2020-D-003,MAJOR,catalog/scale/g11_manual_sample_decisions.csv:paper_id=CUMCM-2020-D-003;sample_order=5,长篇OCR样本首/中/末页均存在并与源页面主题一致，未见明显页序错乱或末尾截断；正文和代码主体可辨，但中后部代码/符号存在局部OCR误识别。关键变量、坐标或运算符部分被改写并影响模型含义。,Q3_SELECTIVE_PAGE_OCR_REPAIR,1;68;135,derived/scale/papers/CUMCM-2020-D-003/paper.md,90CA9CFE4E538A72291F2133FDF3A1B289BC8F88EC983F7DA9BB458BB1D7F559,reports/scale/g11_post_repair_human_rereview/01_CUMCM-2020-D-003/REVIEW.md,PENDING,,PENDING
CUMCM-1999-B-003,MAJOR,catalog/scale/g11_manual_sample_decisions.csv:paper_id=CUMCM-1999-B-003;sample_order=19,源页面明显包含实质正文、图形/数学内容，但三个artifact excerpt基本只剩# Extracted Paper和source_page页标记，没有对应正文文本。按G11“重要章节/大段内容缺失”定义，回查该governed-duplicate artifact的正文生成/绑定是否为空。,DOC_EXISTING_EXTRACTION_RECONSTRUCTION;MARKER_ONLY_DIAGNOSTIC_OCR_REUSE,1;2;3;4;5;6,derived/scale/papers/CUMCM-1999-B-003/paper.md,5AF0061C03FA255BA04B35F28021E9090E4CDF772FF87BCB7E617B6A4A634CF9,reports/scale/g11_post_repair_human_rereview/02_CUMCM-1999-B-003/REVIEW.md,PENDING,,PENDING
CUMCM-2008-C-004,MAJOR,catalog/scale/g11_manual_sample_decisions.csv:paper_id=CUMCM-2008-C-004;sample_order=20,源页面包含连续正文和公式/模型内容，但artifact excerpt仅有页码标记，未提供对应正文，存在明显实质内容缺失。建议检查formal artifact是否生成了空正文。,DOC_EXISTING_EXTRACTION_RECONSTRUCTION;MARKER_ONLY_DIAGNOSTIC_OCR_REUSE,1;2;3;4;5;6;7;8;9;10;11;12;13;14,derived/scale/papers/CUMCM-2008-C-004/paper.md,28881CCFCD68B7F461FCEF1AA44D1C4FDE3BEB8C354EEF184B12E1AA34ED2D7D,reports/scale/g11_post_repair_human_rereview/03_CUMCM-2008-C-004/REVIEW.md,PENDING,,PENDING
CUMCM-1992-A-003,MAJOR,catalog/scale/g11_manual_sample_decisions.csv:paper_id=CUMCM-1992-A-003;sample_order=23,源页面有连续正文和大量公式，但artifact excerpt只包含source_page标记，没有实际论文文本。属于明显大段内容缺失，建议回查formal artifact正文是否为空。,DOC_EXISTING_EXTRACTION_RECONSTRUCTION;MARKER_ONLY_DIAGNOSTIC_OCR_REUSE,1;2;3;4;5,derived/scale/papers/CUMCM-1992-A-003/paper.md,B537B4905E726561A593EFECC57A16E22F7923DAED30A910BB1BFB28A545DEFC,reports/scale/g11_post_repair_human_rereview/04_CUMCM-1992-A-003/REVIEW.md,PENDING,,PENDING
CUMCM-1993-B-001,MAJOR,catalog/scale/g11_manual_sample_decisions.csv:paper_id=CUMCM-1993-B-001;sample_order=24,源页面可见正文和表格/排名数据，但artifact excerpt仅有页码标记，实际正文为空，无法完成内容连续性、文字可读性和表格内容核验。,DOC_EXISTING_EXTRACTION_RECONSTRUCTION,1;2,derived/scale/papers/CUMCM-1993-B-001/paper.md,A5B822F55F4D8F254D78C8256213B1BCEC17A3CA617486EEEEF5D1194CB2FFC9,reports/scale/g11_post_repair_human_rereview/05_CUMCM-1993-B-001/REVIEW.md,PENDING,,PENDING
CUMCM-1996-B-001,MAJOR,catalog/scale/g11_manual_sample_decisions.csv:paper_id=CUMCM-1996-B-001;sample_order=25,源页面包含完整正文与公式，但artifact excerpt没有对应文本，仅保留source_page标记。属于实质正文缺失，而非轻微OCR错误。,DOC_EXISTING_EXTRACTION_RECONSTRUCTION;MARKER_ONLY_DIAGNOSTIC_OCR_REUSE,1;2;3;4;5,derived/scale/papers/CUMCM-1996-B-001/paper.md,C0E0C7FB83EF4607F0545A1D026AD455AB54F15DD405A38DD5D6654B44C00E62,reports/scale/g11_post_repair_human_rereview/06_CUMCM-1996-B-001/REVIEW.md,PENDING,,PENDING
CUMCM-1997-A-008,MAJOR,catalog/scale/g11_manual_sample_decisions.csv:paper_id=CUMCM-1997-A-008;sample_order=26,源页面包含正文和数学公式，artifact excerpt基本为空，仅有source_page标记；抽样内容无法在formal artifact中找到对应文本。,DOC_EXISTING_EXTRACTION_RECONSTRUCTION;MARKER_ONLY_DIAGNOSTIC_OCR_REUSE,1;2;3;4;5,derived/scale/papers/CUMCM-1997-A-008/paper.md,B222A793AF8346A5E568837E9D9BC95B69DBC29AFA500759EE26E9CAD53AAB66,reports/scale/g11_post_repair_human_rereview/07_CUMCM-1997-A-008/REVIEW.md,PENDING,,PENDING
CUMCM-1998-A-007,MAJOR,catalog/scale/g11_manual_sample_decisions.csv:paper_id=CUMCM-1998-A-007;sample_order=27,源页面可见正文、公式及数据表，而artifact excerpt只有页标记、没有实质文本，存在明显正文/表格内容缺失。,DOC_EXISTING_EXTRACTION_RECONSTRUCTION;MARKER_ONLY_DIAGNOSTIC_OCR_REUSE,1;2;3;4;5,derived/scale/papers/CUMCM-1998-A-007/paper.md,34FFD0C7AF3CCAEA34794C03CC2D9EA755C84976D568974A83B0E6C37C3BE72C,reports/scale/g11_post_repair_human_rereview/08_CUMCM-1998-A-007/REVIEW.md,PENDING,,PENDING
CUMCM-2000-A-005,MAJOR,catalog/scale/g11_manual_sample_decisions.csv:paper_id=CUMCM-2000-A-005;sample_order=28,DNA分类论文源页面包含正文、流程图和公式，但artifact excerpt仅有source_page标记，没有对应正文，属于明显内容缺失。,DOC_EXISTING_EXTRACTION_RECONSTRUCTION;MARKER_ONLY_DIAGNOSTIC_OCR_REUSE,1;2;3;4;5;6;7;8;9,derived/scale/papers/CUMCM-2000-A-005/paper.md,272BC28FCA3DF8069B06A102EB847BF285E515FBE39D50823F9832A430987E36,reports/scale/g11_post_repair_human_rereview/09_CUMCM-2000-A-005/REVIEW.md,PENDING,,PENDING
CUMCM-2001-A-001,MAJOR,catalog/scale/g11_manual_sample_decisions.csv:paper_id=CUMCM-2001-A-001;sample_order=29,源页面包含正文、图形及英文尾页内容，但artifact excerpt没有实际论文文本，仅有页标记，按G11标准属于material missing section。,DOC_EXISTING_EXTRACTION_RECONSTRUCTION;MARKER_ONLY_DIAGNOSTIC_OCR_REUSE,1;2;3;4;5;6,derived/scale/papers/CUMCM-2001-A-001/paper.md,25E382CD5CE4F99D69F070B726A4A72EB33EDE0E295075941C1F42856F80AC3E,reports/scale/g11_post_repair_human_rereview/10_CUMCM-2001-A-001/REVIEW.md,PENDING,,PENDING
