logical_document_id,title,document_role,document_subtype,problem_code,problem_id,solution_lineage_id,parse_status,evidence_status,segmentation_status,completeness_status,page_count
logical_5d4191026bdc328d,刀具问题的仿真及灵敏度分析,award_paper,none,A,problem_cumcm_1999_a,lineage_cumcm_1999_9d8190e17771bb1c,partially_parsed,key_content_verified,segmented,complete,7
logical_05c413b8d51beebf,最优刀具更换周期上界、检查间隔下界的证明,award_paper,none,A,problem_cumcm_1999_a,lineage_cumcm_1999_f7bfd1a626682fef,partially_parsed,key_content_verified,segmented,complete,6
logical_29accf240a99642a,自动化车床最优刀具检测更换模型,award_paper,none,A,problem_cumcm_1999_a,lineage_cumcm_1999_6f60fbcd88ee31dc,partially_parsed,key_content_verified,segmented,complete,11
logical_70084fbd0fc79d33,自动化车床管理建模分析,expert_commentary,problem_background,A,problem_cumcm_1999_a,,partially_parsed,key_content_verified,segmented,complete,5
logical_13348afcd68be8c0,自动化车床管理的数学模型,award_paper,none,A,problem_cumcm_1999_a,lineage_cumcm_1999_f1bc943cc4fb805f,partially_parsed,key_content_verified,segmented,complete,5
logical_a9954c6167e747e9,自动化车床管理（石敏、林超友、方斌）,award_paper,none,A,problem_cumcm_1999_a,lineage_cumcm_1999_487a25fc80e3f00c,partially_parsed,key_content_verified,segmented,complete,7
logical_72898050c49f1e1c,自动化车床管理（于杰、蒋爱民、李荣冰）,award_paper,none,A,problem_cumcm_1999_a,lineage_cumcm_1999_f8bd4bcb2bb4a3dd,partially_parsed,key_content_verified,segmented,complete,7
logical_62724feac646d332,车床管理优化模型,award_paper,none,A,problem_cumcm_1999_a,lineage_cumcm_1999_d24efe825f064ed0,partially_parsed,key_content_verified,segmented,complete,7
logical_44538a3c468df6e1,钻井布局,award_paper,none,B,problem_cumcm_1999_b,lineage_cumcm_1999_c0c299a2bbe1e6ce,partially_parsed,key_content_verified,segmented,complete,7
logical_9b2b7314c4b91316,钻井布局模型,award_paper,none,B,problem_cumcm_1999_b,lineage_cumcm_1999_1ab53115106e7349,partially_parsed,key_content_verified,segmented,complete,11
logical_fca8442f99088189,钻井布局的数学模型,award_paper,none,B,problem_cumcm_1999_b,lineage_cumcm_1999_fee42b1174bdef26,partially_parsed,key_content_verified,segmented,complete,8
logical_1de52cbd1cbf10df,钻井布局的设计,award_paper,none,B,problem_cumcm_1999_b,lineage_cumcm_1999_c4bddb6865b582fd,partially_parsed,key_content_verified,segmented,complete,8
logical_7f831a9fd5157cda,“钻井布局”问题评述,expert_commentary,problem_background,B,problem_cumcm_1999_b,,partially_parsed,key_content_verified,segmented,complete,8
logical_fa81c5aae866b35e,煤矸石堆积模型,award_paper,none,C,problem_cumcm_1999_c,lineage_cumcm_1999_00d68a0c7876cf34,partially_parsed,key_content_verified,segmented,complete,8
logical_7cd0cbb893fc79fb,煤矸石堆积经费问题的几点讨论,award_paper,none,C,problem_cumcm_1999_c,lineage_cumcm_1999_58b058ff24e4af21,partially_parsed,key_content_verified,segmented,complete,7
logical_18a17d8e43ca0ee8,煤矸石堆积问题的解答及引出的思考,expert_commentary,problem_background,C,problem_cumcm_1999_c,,partially_parsed,key_content_verified,segmented,complete,7
logical_d2ecb05c472a9048,The Calculation of the Minimum Expense for Piling up Gangue,award_paper,none,C,problem_cumcm_1999_c,lineage_cumcm_1999_294c34ef1912b5e3,partially_parsed,content_verified_partial,segmented,missing_start,1
logical_47ebfd7d01b22e3a,1999年A题：自动化车床管理,problem_statement,none,A,problem_cumcm_1999_a,,parsed,verified,segmented,complete,1
logical_420df3a90f5042b8,1999年B/D题：钻井布局,problem_statement,none,B,problem_cumcm_1999_b,,parsed,verified,segmented,complete,3
logical_30a4e2954162cfea,1999年C题：煤矸石堆积,problem_statement,none,C,problem_cumcm_1999_c,,parsed,verified,segmented,complete,1
logical_ecd29be1f397a512,中国工业与应用数学学会第六次大会征文通知,other_related,editorial_note,unknown,,,parsed,verified,segmented,complete,1
logical_68f231873d32d5fd,“第7届全国数学建模教学和应用会议”的预通知,other_related,editorial_note,unknown,,,parsed,verified,segmented,complete,1
