paper_id,year,problem,source_path,filename_signal,directory_signal,membership_signal,sibling_signal,metadata_signal,paper_signal,problem_package_signal,supporting_material_signal,final_subject_type,artifact_eligible,confidence,decision_reason,requires_doc_contract,downstream_action,primary_evidence,manual_review_remaining
CUMCM-2011-A-003,2011,A,2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011A：城市表层土壤重金属污染分析（6）.doc,research-title/problem-code or paper/team filename; binary .doc,award-paper directory or explicit paper directory: 2011年数学建模国赛真题+优秀论文/2011年优秀论文,primary PaperFileMembership exists; current identity subject_type=PAPER,same source tree has paper-title/appendix/code context and no problem-package-only naming,OLE compound document; SHA=FDA40E0C371BD0C91806B4CB581162EC0F1C3B51A7CAEF492EDD71D6E602E038; size=1348608,1,0,0,PAPER,1,MEDIUM,Directory and filename semantics identify an award-paper research object; binary DOC content remains unextracted and therefore requires a future DOC contract,1,READY_FOR_DOC_CONTRACT,filename=2011A：城市表层土壤重金属污染分析（6）.doc; parent=2011年数学建模国赛真题+优秀论文/2011年优秀论文; membership and MF41 OLE audit,0
CUMCM-2011-C-002,2011,C,2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011C：企业退休职工养老金制度的改革 (1).doc,research-title/problem-code or paper/team filename; binary .doc,award-paper directory or explicit paper directory: 2011年数学建模国赛真题+优秀论文/2011年优秀论文,primary PaperFileMembership exists; current identity subject_type=PAPER,same source tree has paper-title/appendix/code context and no problem-package-only naming,OLE compound document; SHA=21E5912D27E48F0BBEB0E1044BF30F185FBAB2133945529F106449296C10653F; size=1113600,1,0,0,PAPER,1,MEDIUM,Directory and filename semantics identify an award-paper research object; binary DOC content remains unextracted and therefore requires a future DOC contract,1,READY_FOR_DOC_CONTRACT,filename=2011C：企业退休职工养老金制度的改革 (1).doc; parent=2011年数学建模国赛真题+优秀论文/2011年优秀论文; membership and MF41 OLE audit,0
CUMCM-2011-C-003,2011,C,2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011C：企业退休职工养老金制度的改革 (2).doc,research-title/problem-code or paper/team filename; binary .doc,award-paper directory or explicit paper directory: 2011年数学建模国赛真题+优秀论文/2011年优秀论文,primary PaperFileMembership exists; current identity subject_type=PAPER,same source tree has paper-title/appendix/code context and no problem-package-only naming,OLE compound document; SHA=CB99F5DD56122680A0797E642C8ED3463B12B388DBDA96E2F42A9345EE623696; size=587264,1,0,0,PAPER,1,MEDIUM,Directory and filename semantics identify an award-paper research object; binary DOC content remains unextracted and therefore requires a future DOC contract,1,READY_FOR_DOC_CONTRACT,filename=2011C：企业退休职工养老金制度的改革 (2).doc; parent=2011年数学建模国赛真题+优秀论文/2011年优秀论文; membership and MF41 OLE audit,0
CUMCM-2011-D-001,2011,D,2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011D：天然肠衣搭配问题(1)/一类肠衣搭配优化问题.doc,research-title/problem-code or paper/team filename; binary .doc,award-paper directory or explicit paper directory: 2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011D：天然肠衣搭配问题(1),primary PaperFileMembership exists; current identity subject_type=PAPER,same source tree has paper-title/appendix/code context and no problem-package-only naming,OLE compound document; SHA=A54963631C73100E2A26B41E91070384F60C7AE57B13789F2212145149EE6D2D; size=571392,1,0,0,PAPER,1,MEDIUM,Directory and filename semantics identify an award-paper research object; binary DOC content remains unextracted and therefore requires a future DOC contract,1,READY_FOR_DOC_CONTRACT,filename=一类肠衣搭配优化问题.doc; parent=2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011D：天然肠衣搭配问题(1); membership and MF41 OLE audit,0
CUMCM-2011-D-007,2011,D,2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011D：天然肠衣搭配问题 (4).doc,research-title/problem-code or paper/team filename; binary .doc,award-paper directory or explicit paper directory: 2011年数学建模国赛真题+优秀论文/2011年优秀论文,primary PaperFileMembership exists; current identity subject_type=PAPER,same source tree has paper-title/appendix/code context and no problem-package-only naming,OLE compound document; SHA=97C1EA0783BF190F8B166E049F84352DD12A702E5F0B0B1E9720DEB4ED5DB5A5; size=594944,1,0,0,PAPER,1,MEDIUM,Directory and filename semantics identify an award-paper research object; binary DOC content remains unextracted and therefore requires a future DOC contract,1,READY_FOR_DOC_CONTRACT,filename=2011D：天然肠衣搭配问题 (4).doc; parent=2011年数学建模国赛真题+优秀论文/2011年优秀论文; membership and MF41 OLE audit,0
CUMCM-2011-D-013,2011,D,2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011D：天然肠衣搭配问题 (2).doc,research-title/problem-code or paper/team filename; binary .doc,award-paper directory or explicit paper directory: 2011年数学建模国赛真题+优秀论文/2011年优秀论文,primary PaperFileMembership exists; current identity subject_type=PAPER,same source tree has paper-title/appendix/code context and no problem-package-only naming,OLE compound document; SHA=2D19468524DDDBEF409012F393460A92B0A9F24CFC01906F63720C13731BE66A; size=1153536,1,0,0,PAPER,1,MEDIUM,Directory and filename semantics identify an award-paper research object; binary DOC content remains unextracted and therefore requires a future DOC contract,1,READY_FOR_DOC_CONTRACT,filename=2011D：天然肠衣搭配问题 (2).doc; parent=2011年数学建模国赛真题+优秀论文/2011年优秀论文; membership and MF41 OLE audit,0
CUMCM-2012-A-003,2012,A,2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012A：葡萄酒的评价 (4).doc,research-title/problem-code or paper/team filename; binary .doc,award-paper directory or explicit paper directory: 2012年数学建模国赛真题+优秀论文/2012年优秀论文,primary PaperFileMembership exists; current identity subject_type=PAPER,same source tree has paper-title/appendix/code context and no problem-package-only naming,OLE compound document; SHA=519FA35E0C76A094FFD89C38269F9BC1A9D1C491A8A675EF324F22705B28F1D5; size=1970688,1,0,0,PAPER,1,MEDIUM,Directory and filename semantics identify an award-paper research object; binary DOC content remains unextracted and therefore requires a future DOC contract,1,READY_FOR_DOC_CONTRACT,filename=2012A：葡萄酒的评价 (4).doc; parent=2012年数学建模国赛真题+优秀论文/2012年优秀论文; membership and MF41 OLE audit,0
CUMCM-2012-B-005,2012,B,2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012B：太阳能小屋的设计 (5)/基于递归算法的建筑外表面光伏电池布局优化分析与设计.doc,research-title/problem-code or paper/team filename; binary .doc,award-paper directory or explicit paper directory: 2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012B：太阳能小屋的设计 (5),primary PaperFileMembership exists; current identity subject_type=PAPER,same source tree has paper-title/appendix/code context and no problem-package-only naming,OLE compound document; SHA=4357F1EB1DA91D0C65923D25AB6218F234C9F123A221DED8EE6318ECEC53CC05; size=1717248,1,0,0,PAPER,1,MEDIUM,Directory and filename semantics identify an award-paper research object; binary DOC content remains unextracted and therefore requires a future DOC contract,1,READY_FOR_DOC_CONTRACT,filename=基于递归算法的建筑外表面光伏电池布局优化分析与设计.doc; parent=2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012B：太阳能小屋的设计 (5); membership and MF41 OLE audit,0
CUMCM-2012-B-007,2012,B,2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012B：太阳能小屋的设计 (2)/10121505.doc,research-title/problem-code or paper/team filename; binary .doc,award-paper directory or explicit paper directory: 2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012B：太阳能小屋的设计 (2),primary PaperFileMembership exists; current identity subject_type=PAPER,same source tree has paper-title/appendix/code context and no problem-package-only naming,OLE compound document; SHA=F34850D4339E358C6A8C548224CEC919AFAA1B0F4ADB660A81114C20D717015F; size=887296,1,0,0,PAPER,1,MEDIUM,Directory and filename semantics identify an award-paper research object; binary DOC content remains unextracted and therefore requires a future DOC contract,1,READY_FOR_DOC_CONTRACT,filename=10121505.doc; parent=2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012B：太阳能小屋的设计 (2); membership and MF41 OLE audit,0
CUMCM-2012-C-003,2012,C,2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012C：脑卒中发病环境因素分析及干预 (2).doc,research-title/problem-code or paper/team filename; binary .doc,award-paper directory or explicit paper directory: 2012年数学建模国赛真题+优秀论文/2012年优秀论文,primary PaperFileMembership exists; current identity subject_type=PAPER,same source tree has paper-title/appendix/code context and no problem-package-only naming,OLE compound document; SHA=D3FCC8E0989C76486CBB665FBAC51F584EE1D8442012EFB49D6A50E3B45F2212; size=1027072,1,0,0,PAPER,1,MEDIUM,Directory and filename semantics identify an award-paper research object; binary DOC content remains unextracted and therefore requires a future DOC contract,1,READY_FOR_DOC_CONTRACT,filename=2012C：脑卒中发病环境因素分析及干预 (2).doc; parent=2012年数学建模国赛真题+优秀论文/2012年优秀论文; membership and MF41 OLE audit,0
