relative_path,page,chars,words,images,drawings,flags,excerpt
2008年数学建模国赛真题+优秀论文/2008A：《数码相机定位》/论文/数码相机定位.pdf,1,898,42,1,13,references,"2008 高教社杯全国大学生数学建模竞赛 承 诺 书 我们仔细阅读了中国大学生数学建模竞赛的竞赛规则. 我们完全明白，在竞赛开始后参赛队员不能以任何方式（包括电话、电子邮件、网上咨 询等）与队外的任何人（包括指导教师）研究、讨论与赛题有关的问题。 我们知道，抄袭别人的成果是违反竞赛规则的, 如果引用别人的成果或其他公开的资料 （包括网上查到的资料），必须按照"
2008年数学建模国赛真题+优秀论文/2008A：《数码相机定位》/论文/数码相机定位.pdf,2,297,21,1,130,,2008 高教社杯全国大学生数学建模竞赛 编 号 专 用 页 赛区评阅编号（由赛区组委会评阅前进行编号）： 赛区评阅记录（可供赛区评阅时使用）： 评 阅 人 评 分 备 注 全国统一编号（由赛区组委会送交全国前编号）： 全国评阅编号（由全国组委会评阅前进行编号）： 数学中国论文共享 www.madio.cn 微信公众号：科研交流
2008年数学建模国赛真题+优秀论文/2008A：《数码相机定位》/论文/数码相机定位.pdf,3,1227,93,1,1,abstract,1 数码相机定位 摘要 本文假设数码相机成像原理为小孔成像，在此基础上，通过两种合理的模型 对数码相机定位问题进行了较深入的研究。 针对问题一和二，我们建立了两种不同模型——变换矩阵模型和公切线模 型。在变换矩阵模型中，建立了物、像、相机三个坐标系，分别称为世界坐标系， 像坐标系和光心坐标系。研究世界坐标系向像坐标系的变换矩阵 3 4 ( ) ij M a 
2008年数学建模国赛真题+优秀论文/2008A：《数码相机定位》/论文/数码相机定位.pdf,4,1004,66,1,1,,2 一、问题重述 数码相机定位在交通监管（电子警察）等方面有广泛的应用。所谓数码相机 定位是指用数码相机摄制物体的相片确定物体表面某些特征点的位置。最常用的 定位方法是双目定位，即用两部相机来定位。对物体上一个特征点，用两部固定 于不同位置的相机摄得物体的像，分别获得该点在两部相机像平面上的坐标。只 要知道两部相机精确的相对位置，就可用几何的方法得到该特征点
2008年数学建模国赛真题+优秀论文/2008A：《数码相机定位》/论文/数码相机定位.pdf,5,658,128,15,37,,3 f ：焦距（mm） L ：每毫米的像素单位 P ：图像矩阵 k B ：第k 个圆的边缘点集 四、模型的建立与求解 引理： 我们针对小孔模型提出一些内在性质并给予简单证明。 图 1 性质1：直线经小孔后所得到的像仍为直线。 证明：如图，α γ 、分别为物平面和像平面，β 为与像平面平行的平面，点O 为 小孔，AC 为α 上的线段，B 为AC 上任一点，经小
2008年数学建模国赛真题+优秀论文/2008A：《数码相机定位》/论文/数码相机定位.pdf,6,574,120,15,36,,4 不是 1 1 AC 中点，所以 2 B 也必然不是 2 2 A C 中点，也就是说线段中点经小孔成像所 得点不一定还是像线段的中点，仅当该线段平行于像平面时才仍是中点。 性质3：两直线交点的像仍是两直线像的交点。 证明：如下图：α 平面上两直线AB与CD交于点E ，经小孔O两直线分别得到β 平 面上的像 1 1 1 1 A B C D 和 ，点E 在β 
2008年数学建模国赛真题+优秀论文/2008A：《数码相机定位》/论文/数码相机定位.pdf,7,1144,167,1,9,,5 证明：如图所示，圆O 经小孔成像如图。在一个与圆O所在平面平行的平面上所 成像仍然是圆，如图中圆 2 O （这点很容易通过以上三个性质得到）。那么对于在 与圆O 所在平面不平行的平面上的像，则可以看成是用一个平面去截图中的圆锥 （当然图中圆锥可以无限的延长），根据圆锥曲线的定义可知，所截出来的图形 就是椭圆。且可以看出圆心O 在截面上所成的像 1 O 并
2008年数学建模国赛真题+优秀论文/2008A：《数码相机定位》/论文/数码相机定位.pdf,8,1767,627,1,9,appendix,"6 0 0 0 0 0 0 ....................................(1) 1 0 0 1 0 1 C C C C X x f Y Z y f Z           =             所以可以得到： 0 0 0 , 0 0 0 ............"
2008年数学建模国赛真题+优秀论文/2008A：《数码相机定位》/论文/数码相机定位.pdf,9,1291,282,1,5,,7 题来说，因为标靶在光心坐标系中 C Z 方向上的坐标应该大于相机的两倍焦距， 即应在1 米附近；而对于标靶上一个圆，其半径仅为12mm，当标靶平面与光心 坐标系中 C C C X O Y 平面存在一定夹角θ 时，那么一个圆上所有点在 C Z 上坐标的差 异只是12sinθ ，与1m 相比较而言，其误差是比较小的，所以我们可以近似认为 对于标靶上同一个圆上
2008年数学建模国赛真题+优秀论文/2008A：《数码相机定位》/论文/数码相机定位.pdf,10,1642,512,1,7,,"8 因为变换矩阵M 为3×4 矩阵，可设 11 12 13 14 21 22 23 24 31 32 33 34 a a a a M a a a a a a a a     =       所以圆周上任意一点( , , ) W W W X Y Z ，经坐标变换矩阵M 变换后得到像在像坐 标系的坐标: 11 12 13 14 21 22 2"
2008年数学建模国赛真题+优秀论文/2008A：《数码相机定位》/论文/数码相机定位.pdf,11,874,108,2,5,,"9 于是我们的问题转化为求解 14 24 a a 、 ，而由我们（10）式的分析，我们可以 得到： 24 5 14 4 2 14 6 24 4 3 (2 ) .............(11) (2 ) a k a k k a k a k k − + =  − + =  上式为关于 14 24 , a a 的二元一次方程组，于是问题又转化为求出 (2 "
2008年数学建模国赛真题+优秀论文/2008A：《数码相机定位》/论文/数码相机定位.pdf,12,1259,356,1,9,,"10 Step 2 为每个圆的像估算一个矩形邻域，使得该矩形邻域可以完全包含 该圆的像且仅包含该圆的像； Step 3 对第k 个圆的像，执行第4-6 步（k=1，2，3，4，5）； Step 4 对矩形邻域进行逐行扫面，当出现 ( 1, ) P i j T − ≥ 且 ( , ) P i j T < 或者 ( , ) P i j T < 且 ( 1, ) "
2008年数学建模国赛真题+优秀论文/2008A：《数码相机定位》/论文/数码相机定位.pdf,13,764,145,2,90,,11 v u 于是我们得到了圆心的像在uov 平面上的坐标： 3 5 2 4 14 2 4 5 2 3 4 24 2 4 5 2 4 .......................(15) 2 4 o o b b b b u a b b b b b v a b b −  = =  −  −  = =  −  最后，我们需要将坐标转换到题目中给定
2008年数学建模国赛真题+优秀论文/2008A：《数码相机定位》/论文/数码相机定位.pdf,14,1421,157,1,313,,12 表2 第2 个圆的像的曲线方程参数 参数 参数估计值 参数置信区间 b1 227111.11949 [ 225858.66719 228363.57179] b2 -869.84886 [-875.31270 -864.38502] b3 -453.55647 [-456.21530 -450.89765] b4 0.14049 [ 0.13421 0
2008年数学建模国赛真题+优秀论文/2008A：《数码相机定位》/论文/数码相机定位.pdf,15,798,132,3,207,,13 表6 圆心像的坐标 圆 o u ov ( ) o u 像素 ov（像素） 1 189.61023 322.89682 190 323 2 197.06280 423.00273 197 423 3 213.26380 639.91289 213 640 4 501.87983 284.67960 502 285 5 503.07979 582.7521
2008年数学建模国赛真题+优秀论文/2008A：《数码相机定位》/论文/数码相机定位.pdf,16,727,91,4,1,,14 图八 图九 在标靶平面，显然四边形PQRS 为正方形，则PR QS 与 连线交于圆心 1 O ，由引理 中性质3 可知 ' ' ' ' P Q R S 分别为PQRS 的像，则 ' ' ' ' P R Q S 与 也分别为PR QS 与 的 像，则圆心 1 O 在像平面所对应的像为 ' ' ' ' P R Q S 与 的交点 1 ' O （注意这里 1
2008年数学建模国赛真题+优秀论文/2008A：《数码相机定位》/论文/数码相机定位.pdf,17,1159,108,1,207,,15 在我们的程序中，我们还计算了切线之间的交点及其交点连线的交点，即上 文所分析的圆心的像，结果如下： 表8 圆心像的坐标 圆 o u ov ( ) o u 像素 ov（像素） 1 189.87734 323.30371 190 323 2 197.51240 423.29359 198 423 3 213.70159 640.08497 214 640 
2008年数学建模国赛真题+优秀论文/2008A：《数码相机定位》/论文/数码相机定位.pdf,18,750,243,13,81,,"16 ( , , ) T T T T X Y Z = 进行平移得到像坐标系，那么原来在世界坐标系中的一点 ( , , ) W W W p X Y Z 在光心坐标系中的坐标的Z 轴分量 C Z 满足： 31 32 33 C W W W T Z R X R Y R Z Z = + + + 证明：直接由（0）式化简可得。 在我们下面的方法中，我们的世界坐标系 W "
2008年数学建模国赛真题+优秀论文/2008A：《数码相机定位》/论文/数码相机定位.pdf,19,823,152,6,45,,"17 检验方法的提出： Step 1 选取合理的旋转矩阵R 和平移向量T ，即初始化相机与标靶的相对 位置。 Step 2 在圆周上进行等间隔采样，对于每一个采样点，其在世界坐标系的 坐标可以表示为(12cos ,12sin ,0) θ θ ，那么可以得到其像点在像坐标系的坐标为： 0 0 31 32 33 12cos 12sin 1 1 0 1 1 1 W"
2008年数学建模国赛真题+优秀论文/2008A：《数码相机定位》/论文/数码相机定位.pdf,20,652,118,2,3,,"18 0 α ≠ 对应的情景时我们在物体的上（下）前方将镜头对着其进行拍摄， 0 β ≠ 对 应的情景时我们在物体左（右）前方将镜头对着其进行拍摄，, α β 体取值范围为 [ , ] 2 2 π π − 。 对 ( , , ) T T T T X Y Z = ，由于圆心在光心坐标系的坐标即( , , ) T T T X Y Z − − − ，而圆必 须在相"
