paper_id,year,problem,prior_subject_type,prior_artifact_eligibility,planning_recommendation,planning_confidence,final_subject_type,final_artifact_eligible,decision_confidence,primary_evidence,secondary_evidence,decision_reason,manual_review_remaining,downstream_action
CUMCM-1993-A-001,1993,A,AMBIGUOUS_MANUAL_REVIEW,UNRESOLVED,PAPER,MEDIUM,AMBIGUOUS,UNRESOLVED,LOW,Two PDF memberships exist for the same identity and both have canonical=False; no unique canonical source is established.,Both filenames carry award-paper semantics and distinct recorded source SHA values; membership ambiguity is the controlling conflict.,"Paper-like evidence is present, but formal Paper closure would require choosing one of two non-canonical primary memberships, which is outside this stage.",1,REMAIN_ELIGIBILITY_MANUAL
CUMCM-2013-A-002,2013,A,AMBIGUOUS_MANUAL_REVIEW,UNRESOLVED,PROBLEM_PACKAGE,HIGH,PROBLEM_PACKAGE,0,HIGH,Filename explicitly names the 2013 national contest problem or its appendix (A/C/D题).,Single membership and contest-problem directory placement; no submitted-paper/team structure is present.,"The source is a problem statement or appendix, not a Paper Artifact candidate.",0,CLOSED_INELIGIBLE
CUMCM-2013-A-006,2013,A,AMBIGUOUS_MANUAL_REVIEW,UNRESOLVED,PROBLEM_PACKAGE,HIGH,PROBLEM_PACKAGE,0,HIGH,Filename explicitly names the 2013 national contest problem or its appendix (A/C/D题).,Single membership and contest-problem directory placement; no submitted-paper/team structure is present.,"The source is a problem statement or appendix, not a Paper Artifact candidate.",0,CLOSED_INELIGIBLE
CUMCM-2013-C-001,2013,C,AMBIGUOUS_MANUAL_REVIEW,UNRESOLVED,SUPPORTING_MATERIAL,HIGH,SUPPORTING_MATERIAL,0,HIGH,The source has a MATLAB .asv autosave extension under the 2013C problem directory.,Single membership and code-like sibling naming; no paper structure or prose-paper source is present.,"The source is computational supporting material, not a Paper Artifact candidate.",0,CLOSED_INELIGIBLE
CUMCM-2013-C-002,2013,C,AMBIGUOUS_MANUAL_REVIEW,UNRESOLVED,SUPPORTING_MATERIAL,HIGH,SUPPORTING_MATERIAL,0,HIGH,The source has a MATLAB .asv autosave extension under the 2013C problem directory.,Single membership and code-like sibling naming; no paper structure or prose-paper source is present.,"The source is computational supporting material, not a Paper Artifact candidate.",0,CLOSED_INELIGIBLE
CUMCM-2013-C-003,2013,C,AMBIGUOUS_MANUAL_REVIEW,UNRESOLVED,SUPPORTING_MATERIAL,HIGH,SUPPORTING_MATERIAL,0,HIGH,The source has a MATLAB .asv autosave extension under the 2013C problem directory.,Single membership and code-like sibling naming; no paper structure or prose-paper source is present.,"The source is computational supporting material, not a Paper Artifact candidate.",0,CLOSED_INELIGIBLE
CUMCM-2013-C-004,2013,C,AMBIGUOUS_MANUAL_REVIEW,UNRESOLVED,SUPPORTING_MATERIAL,HIGH,SUPPORTING_MATERIAL,0,HIGH,The source has a MATLAB .asv autosave extension under the 2013C problem directory.,Single membership and code-like sibling naming; no paper structure or prose-paper source is present.,"The source is computational supporting material, not a Paper Artifact candidate.",0,CLOSED_INELIGIBLE
CUMCM-2013-C-005,2013,C,AMBIGUOUS_MANUAL_REVIEW,UNRESOLVED,SUPPORTING_MATERIAL,HIGH,SUPPORTING_MATERIAL,0,HIGH,The source has a MATLAB .asv autosave extension under the 2013C problem directory.,Single membership and code-like sibling naming; no paper structure or prose-paper source is present.,"The source is computational supporting material, not a Paper Artifact candidate.",0,CLOSED_INELIGIBLE
CUMCM-2013-C-006,2013,C,AMBIGUOUS_MANUAL_REVIEW,UNRESOLVED,PROBLEM_PACKAGE,HIGH,PROBLEM_PACKAGE,0,HIGH,Filename explicitly names the 2013 national contest problem or its appendix (A/C/D题).,Single membership and contest-problem directory placement; no submitted-paper/team structure is present.,"The source is a problem statement or appendix, not a Paper Artifact candidate.",0,CLOSED_INELIGIBLE
CUMCM-2013-C-007,2013,C,AMBIGUOUS_MANUAL_REVIEW,UNRESOLVED,SUPPORTING_MATERIAL,HIGH,SUPPORTING_MATERIAL,0,HIGH,The source has a MATLAB .asv autosave extension under the 2013C problem directory.,Single membership and code-like sibling naming; no paper structure or prose-paper source is present.,"The source is computational supporting material, not a Paper Artifact candidate.",0,CLOSED_INELIGIBLE
CUMCM-2013-C-008,2013,C,AMBIGUOUS_MANUAL_REVIEW,UNRESOLVED,SUPPORTING_MATERIAL,HIGH,SUPPORTING_MATERIAL,0,HIGH,The source has a MATLAB .asv autosave extension under the 2013C problem directory.,Single membership and code-like sibling naming; no paper structure or prose-paper source is present.,"The source is computational supporting material, not a Paper Artifact candidate.",0,CLOSED_INELIGIBLE
CUMCM-2013-C-009,2013,C,AMBIGUOUS_MANUAL_REVIEW,UNRESOLVED,SUPPORTING_MATERIAL,HIGH,SUPPORTING_MATERIAL,0,HIGH,The source has a MATLAB .asv autosave extension under the 2013C problem directory.,Single membership and code-like sibling naming; no paper structure or prose-paper source is present.,"The source is computational supporting material, not a Paper Artifact candidate.",0,CLOSED_INELIGIBLE
CUMCM-2013-D-002,2013,D,AMBIGUOUS_MANUAL_REVIEW,UNRESOLVED,PROBLEM_PACKAGE,HIGH,PROBLEM_PACKAGE,0,HIGH,Filename explicitly names the 2013 national contest problem or its appendix (A/C/D题).,Single membership and contest-problem directory placement; no submitted-paper/team structure is present.,"The source is a problem statement or appendix, not a Paper Artifact candidate.",0,CLOSED_INELIGIBLE
CUMCM-2013-D-003,2013,D,AMBIGUOUS_MANUAL_REVIEW,UNRESOLVED,PROBLEM_PACKAGE,HIGH,PROBLEM_PACKAGE,0,HIGH,Filename explicitly names the 2013 national contest problem or its appendix (A/C/D题).,Single membership and contest-problem directory placement; no submitted-paper/team structure is present.,"The source is a problem statement or appendix, not a Paper Artifact candidate.",0,CLOSED_INELIGIBLE
CUMCM-2013-D-004,2013,D,AMBIGUOUS_MANUAL_REVIEW,UNRESOLVED,PAPER,MEDIUM,PAPER,UNRESOLVED,MEDIUM,"Canonical membership points to a 2013D directory and a team/institution-named source file containing participant names, consistent with a submitted paper.","The primary extension is .doc and no frozen supported extraction input is present; this is a format-governance issue, not an identity ambiguity.",Paper identity is supported by directory and team naming; extraction eligibility remains unresolved because the primary DOC lacks a frozen supported backend.,0,MOVE_TO_UNSUPPORTED_FORMAT
