paper_id,year,problem,page_count,text_chars,document_title_signal,abstract_signal,model_structure_signal,reference_signal,problem_statement_signal,supporting_material_signal,final_subject_type,artifact_eligible,confidence,evidence_pages,decision_reason,downstream_action,primary_evidence,manual_review_remaining
CUMCM-2012-C-001,2012,C,4,752,0,0,0,0,0,1,SUPPORTING_MATERIAL,0,HIGH,1;2;3;4,short image/plot sequence with code or shared supporting-file context and no independent paper structure,CLOSED_INELIGIBLE,source container sibling/code context; image pages contain plots or figures rather than paper sections,0
CUMCM-2014-B-001,2014,B,8,244,0,0,0,0,0,1,SUPPORTING_MATERIAL,0,HIGH,1;2;3;8,short image/plot sequence with code or shared supporting-file context and no independent paper structure,CLOSED_INELIGIBLE,source container sibling/code context; image pages contain plots or figures rather than paper sections,0
CUMCM-2014-B-B1604,2014,B,8,244,0,0,0,0,0,1,SUPPORTING_MATERIAL,0,HIGH,1;2;3;8,short image/plot sequence with code or shared supporting-file context and no independent paper structure,CLOSED_INELIGIBLE,source container sibling/code context; image pages contain plots or figures rather than paper sections,0
CUMCM-2021-A-A028,2021,A,38,35248,1,1,1,0,1,0,PAPER,1,HIGH,1;2;3;38,sequential image set under an explicit national-contest excellent-paper directory; OCR evidence contains title/abstract or model/problem-solving structure,READY_FOR_ARTIFACT_EXISTING_EXTRACTION,OCR derivative first pages and terminal pages; page-level provenance and 799-page contract audit,0
CUMCM-2021-A-A115,2021,A,35,37297,1,1,1,0,1,0,PAPER,1,HIGH,1;2;3;35,sequential image set under an explicit national-contest excellent-paper directory; OCR evidence contains title/abstract or model/problem-solving structure,READY_FOR_ARTIFACT_EXISTING_EXTRACTION,OCR derivative first pages and terminal pages; page-level provenance and 799-page contract audit,0
CUMCM-2021-A-A217,2021,A,59,69200,1,1,1,0,1,0,PAPER,1,HIGH,1;2;3;59,sequential image set under an explicit national-contest excellent-paper directory; OCR evidence contains title/abstract or model/problem-solving structure,READY_FOR_ARTIFACT_EXISTING_EXTRACTION,OCR derivative first pages and terminal pages; page-level provenance and 799-page contract audit,0
CUMCM-2021-B-B007,2021,B,45,39235,1,1,1,0,1,0,PAPER,1,HIGH,1;2;3;45,sequential image set under an explicit national-contest excellent-paper directory; OCR evidence contains title/abstract or model/problem-solving structure,READY_FOR_ARTIFACT_EXISTING_EXTRACTION,OCR derivative first pages and terminal pages; page-level provenance and 799-page contract audit,0
CUMCM-2021-B-B026,2021,B,26,30212,1,1,1,0,1,0,PAPER,1,HIGH,1;2;3;26,sequential image set under an explicit national-contest excellent-paper directory; OCR evidence contains title/abstract or model/problem-solving structure,READY_FOR_ARTIFACT_EXISTING_EXTRACTION,OCR derivative first pages and terminal pages; page-level provenance and 799-page contract audit,0
CUMCM-2021-B-B050,2021,B,59,45493,1,1,1,0,1,0,PAPER,1,HIGH,1;2;3;59,sequential image set under an explicit national-contest excellent-paper directory; OCR evidence contains title/abstract or model/problem-solving structure,READY_FOR_ARTIFACT_EXISTING_EXTRACTION,OCR derivative first pages and terminal pages; page-level provenance and 799-page contract audit,0
CUMCM-2021-B-B106,2021,B,28,32486,1,1,1,0,1,0,PAPER,1,HIGH,1;2;3;28,sequential image set under an explicit national-contest excellent-paper directory; OCR evidence contains title/abstract or model/problem-solving structure,READY_FOR_ARTIFACT_EXISTING_EXTRACTION,OCR derivative first pages and terminal pages; page-level provenance and 799-page contract audit,0
CUMCM-2021-C-C066,2021,C,60,83289,1,1,1,1,1,0,PAPER,1,HIGH,1;2;3;60,sequential image set under an explicit national-contest excellent-paper directory; OCR evidence contains title/abstract or model/problem-solving structure,READY_FOR_ARTIFACT_EXISTING_EXTRACTION,OCR derivative first pages and terminal pages; page-level provenance and 799-page contract audit,0
CUMCM-2021-C-C085,2021,C,56,50781,1,1,1,0,1,0,PAPER,1,HIGH,1;2;3;56,sequential image set under an explicit national-contest excellent-paper directory; OCR evidence contains title/abstract or model/problem-solving structure,READY_FOR_ARTIFACT_EXISTING_EXTRACTION,OCR derivative first pages and terminal pages; page-level provenance and 799-page contract audit,0
CUMCM-2021-C-C169,2021,C,51,46588,1,1,1,0,1,0,PAPER,1,HIGH,1;2;3;51,sequential image set under an explicit national-contest excellent-paper directory; OCR evidence contains title/abstract or model/problem-solving structure,READY_FOR_ARTIFACT_EXISTING_EXTRACTION,OCR derivative first pages and terminal pages; page-level provenance and 799-page contract audit,0
CUMCM-2021-C-C283,2021,C,58,68777,1,1,1,1,1,0,PAPER,1,HIGH,1;2;3;58,sequential image set under an explicit national-contest excellent-paper directory; OCR evidence contains title/abstract or model/problem-solving structure,READY_FOR_ARTIFACT_EXISTING_EXTRACTION,OCR derivative first pages and terminal pages; page-level provenance and 799-page contract audit,0
CUMCM-2021-D-D017,2021,D,21,20850,1,1,1,0,1,0,PAPER,1,HIGH,1;2;3;21,sequential image set under an explicit national-contest excellent-paper directory; OCR evidence contains title/abstract or model/problem-solving structure,READY_FOR_ARTIFACT_EXISTING_EXTRACTION,OCR derivative first pages and terminal pages; page-level provenance and 799-page contract audit,0
CUMCM-2021-D-D026,2021,D,36,43490,1,1,1,0,1,0,PAPER,1,HIGH,1;2;3;36,sequential image set under an explicit national-contest excellent-paper directory; OCR evidence contains title/abstract or model/problem-solving structure,READY_FOR_ARTIFACT_EXISTING_EXTRACTION,OCR derivative first pages and terminal pages; page-level provenance and 799-page contract audit,0
CUMCM-2021-D-D034,2021,D,30,33042,1,0,1,0,1,0,PAPER,1,HIGH,1;2;3;30,sequential image set under an explicit national-contest excellent-paper directory; OCR evidence contains title/abstract or model/problem-solving structure,READY_FOR_ARTIFACT_EXISTING_EXTRACTION,OCR derivative first pages and terminal pages; page-level provenance and 799-page contract audit,0
CUMCM-2021-E-E014,2021,E,51,56111,1,1,1,0,1,0,PAPER,1,HIGH,1;2;3;51,sequential image set under an explicit national-contest excellent-paper directory; OCR evidence contains title/abstract or model/problem-solving structure,READY_FOR_ARTIFACT_EXISTING_EXTRACTION,OCR derivative first pages and terminal pages; page-level provenance and 799-page contract audit,0
CUMCM-2021-E-E025,2021,E,39,55965,1,1,1,0,1,0,PAPER,1,HIGH,1;2;3;39,sequential image set under an explicit national-contest excellent-paper directory; OCR evidence contains title/abstract or model/problem-solving structure,READY_FOR_ARTIFACT_EXISTING_EXTRACTION,OCR derivative first pages and terminal pages; page-level provenance and 799-page contract audit,0
CUMCM-2021-E-E037,2021,E,37,40902,1,1,1,0,1,0,PAPER,1,HIGH,1;2;3;37,sequential image set under an explicit national-contest excellent-paper directory; OCR evidence contains title/abstract or model/problem-solving structure,READY_FOR_ARTIFACT_EXISTING_EXTRACTION,OCR derivative first pages and terminal pages; page-level provenance and 799-page contract audit,0
CUMCM-2022-C-C229,2022,C,26,27571,1,1,1,0,1,0,PAPER,1,HIGH,1;2;3;26,sequential image set under an explicit national-contest excellent-paper directory; OCR evidence contains title/abstract or model/problem-solving structure,READY_FOR_ARTIFACT_EXISTING_EXTRACTION,OCR derivative first pages and terminal pages; page-level provenance and 799-page contract audit,0
