logical_document_id,year,problem_code,source_code,title,title_status,document_role,document_subtype,corpus_eligibility,parse_status,evidence_status,completeness_status,segmentation_status,preferred_representation_id,representation_count,carrier_count,page_count_observed,page_count_expected,award_level,award_level_status,notes
doc_2024_paper_A016,2024,A,A016,基于几何模型的舞龙队位置和速度分析,observed,paper,competition_solution,eligible,partially_parsed_image_scan,verified_page_sequence,complete_observed_sequence,page_level_complete_for_observed_files,rep_2024_paper_A016,1,59,59,59,unknown,not_inferred,原始表示为逐页JPG扫描。首页、抽样中页和末页已人工核验。
doc_2024_paper_A053,2024,A,A053,基于目标优化的板凳龙形态调节,observed,paper,competition_solution,eligible,partially_parsed_image_scan,verified_page_sequence,complete_observed_sequence,page_level_complete_for_observed_files,rep_2024_paper_A053,1,62,62,62,unknown,not_inferred,原始表示为逐页JPG扫描。首页、抽样中页和末页已人工核验。
doc_2024_paper_A163,2024,A,A163,基于几何模型的板凳龙运动路径问题,observed,paper,competition_solution,eligible,partially_parsed_image_scan,verified_page_sequence,complete_observed_sequence,page_level_complete_for_observed_files,rep_2024_paper_A163,1,45,45,45,unknown,not_inferred,原始表示为逐页JPG扫描。首页、抽样中页和末页已人工核验。
doc_2024_paper_A178,2024,A,A178,“板凳龙”运动路径与速度控制研究（描述性题名）,derived_descriptive_original_not_observed,paper,competition_solution,eligible,partially_parsed_image_scan,verified_page_sequence,complete_observed_sequence,page_level_complete_for_observed_files,rep_2024_paper_A178,1,48,48,48,unknown,not_inferred,原始表示为逐页JPG扫描。首页、抽样中页和末页已人工核验。
doc_2024_paper_A242,2024,A,A242,基于动态搜索的“板凳龙”运动状态及路线研究,observed,paper,competition_solution,eligible,partially_parsed_image_scan,verified_with_source_gap,incomplete_missing_pages,page_level_complete_for_observed_files,rep_2024_paper_A242,1,55,55,58,unknown,not_inferred,原始表示为逐页JPG扫描。缺少源页12、15、16。
doc_2024_paper_B159,2024,B,B159,生产过程中的决策优化设计,observed,paper,competition_solution,eligible,partially_parsed_image_scan,verified_page_sequence,complete_observed_sequence,page_level_complete_for_observed_files,rep_2024_paper_B159,1,37,37,37,unknown,not_inferred,原始表示为逐页JPG扫描。首页、抽样中页和末页已人工核验。
doc_2024_paper_B195,2024,B,B195,基于多阶段模拟仿真的生产决策问题,observed,paper,competition_solution,eligible,partially_parsed_image_scan,verified_page_sequence,complete_observed_sequence,page_level_complete_for_observed_files,rep_2024_paper_B195,1,70,70,70,unknown,not_inferred,原始表示为逐页JPG扫描。首页、抽样中页和末页已人工核验。
doc_2024_paper_B196,2024,B,B196,基于蚁群算法与遗传算法优化的蒙特卡洛模拟在生产决策优化中的应用研究,observed,paper,competition_solution,eligible,partially_parsed_image_scan,verified_page_sequence,complete_observed_sequence,page_level_complete_for_observed_files,rep_2024_paper_B196,1,28,28,28,unknown,not_inferred,原始表示为逐页JPG扫描。首页、抽样中页和末页已人工核验。
doc_2024_paper_C038,2024,C,C038,基于差分进化算法的农作物种植策略优化,observed,paper,competition_solution,eligible,partially_parsed_image_scan,verified_page_sequence,complete_observed_sequence,page_level_complete_for_observed_files,rep_2024_paper_C038,1,61,61,61,unknown,not_inferred,原始表示为逐页JPG扫描。首页、抽样中页和末页已人工核验。
doc_2024_paper_C063,2024,C,C063,基于优化算法的农作物最优种植模型,observed,paper,competition_solution,eligible,partially_parsed_image_scan,verified_page_sequence,complete_observed_sequence,page_level_complete_for_observed_files,rep_2024_paper_C063,1,49,49,49,unknown,not_inferred,原始表示为逐页JPG扫描。首页、抽样中页和末页已人工核验。
doc_2024_paper_C094,2024,C,C094,基于随机优化的农作物种植策略模型,observed,paper,competition_solution,eligible,partially_parsed_image_scan,verified_page_sequence,complete_observed_sequence,page_level_complete_for_observed_files,rep_2024_paper_C094,1,58,58,58,unknown,not_inferred,原始表示为逐页JPG扫描。首页、抽样中页和末页已人工核验。
doc_2024_paper_C234,2024,C,C234,基于遗传算法的最优种植策略,observed,paper,competition_solution,eligible,partially_parsed_image_scan,verified_page_sequence,complete_observed_sequence,page_level_complete_for_observed_files,rep_2024_paper_C234,1,45,45,45,unknown,not_inferred,原始表示为逐页JPG扫描。首页、抽样中页和末页已人工核验。
doc_2024_paper_D033,2024,D,D033,反潜航空深弹命中概率的优化问题,observed,paper,competition_solution,eligible,partially_parsed_image_scan,verified_page_sequence,complete_observed_sequence,page_level_complete_for_observed_files,rep_2024_paper_D033,1,55,55,55,unknown,not_inferred,原始表示为逐页JPG扫描。首页、抽样中页和末页已人工核验。
doc_2024_paper_E010,2024,E,E010,交通流量管控,observed,paper,competition_solution,eligible,partially_parsed_image_scan,verified_page_sequence,complete_observed_sequence,page_level_complete_for_observed_files,rep_2024_paper_E010,1,39,39,39,unknown,not_inferred,原始表示为逐页JPG扫描。首页、抽样中页和末页已人工核验。
doc_2024_paper_E061,2024,E,E061,基于多目标优化的交通管理评估分析,observed,paper,competition_solution,eligible,partially_parsed_image_scan,verified_page_sequence,complete_observed_sequence,page_level_complete_for_observed_files,rep_2024_paper_E061,1,32,32,32,unknown,not_inferred,原始表示为逐页JPG扫描。首页、抽样中页和末页已人工核验。
doc_2024_paper_E218,2024,E,E218,基于Python语言的交通流量管控与预测分析,observed,paper,competition_solution,eligible,partially_parsed_image_scan,verified_page_sequence,complete_observed_sequence,page_level_complete_for_observed_files,rep_2024_paper_E218,1,62,62,62,unknown,not_inferred,原始表示为逐页JPG扫描。首页、抽样中页和末页已人工核验。
doc_2024_problem_A,2024,A,A题,“板凳龙”闹元宵,observed,problem,official_problem_statement,eligible_context,fully_parsed_native_pdf,verified,complete,page_level_complete,rep_2024_problem_A,1,1,3,3,not_applicable,not_applicable,官方题面，与附件引用关系另行记录。
doc_2024_problem_B,2024,B,B题,生产过程中的决策问题,observed,problem,official_problem_statement,eligible_context,fully_parsed_native_pdf,verified,complete,page_level_complete,rep_2024_problem_B,1,1,2,2,not_applicable,not_applicable,官方题面，与附件引用关系另行记录。
doc_2024_problem_C,2024,C,C题,农作物的种植策略,observed,problem,official_problem_statement,eligible_context,fully_parsed_native_pdf,verified,complete,page_level_complete,rep_2024_problem_C,1,1,1,1,not_applicable,not_applicable,官方题面，与附件引用关系另行记录。
doc_2024_problem_D,2024,D,D题,反潜航空深弹命中概率问题,observed,problem,official_problem_statement,eligible_context,fully_parsed_native_pdf,verified,complete,page_level_complete,rep_2024_problem_D,1,1,2,2,not_applicable,not_applicable,官方题面，与附件引用关系另行记录。
doc_2024_problem_E,2024,E,E题,交通流量管控,observed,problem,official_problem_statement,eligible_context,fully_parsed_native_pdf,verified,complete,page_level_complete,rep_2024_problem_E,1,1,1,1,not_applicable,not_applicable,官方题面，与附件引用关系另行记录。
doc_2024_dataset_A_result1,2024,A,A_result1,A题 result1.xlsx 位置与速度结果模板,observed,dataset,result_template,supporting_context,structured_parsed,verified,complete,logical_structure_complete,rep_2024_dataset_A_result1,1,1,not_applicable,not_applicable,not_applicable,not_applicable,包含“位置”和“速度”两张表，分别为224个把手位置序列和速度序列预留0—300 s列。
doc_2024_dataset_A_result2,2024,A,A_result2,A题 result2.xlsx 终止时刻结果模板,observed,dataset,result_template,supporting_context,structured_parsed,verified,complete,logical_structure_complete,rep_2024_dataset_A_result2,1,1,not_applicable,not_applicable,not_applicable,not_applicable,为龙头、各节龙身与龙尾预留终止时刻横坐标、纵坐标和速度。
doc_2024_dataset_C_attachment1,2024,C,C_attachment1,C题附件1：乡村耕地与作物基本情况,observed,dataset,structured_dataset,supporting_context,structured_parsed,verified,complete,logical_structure_complete,rep_2024_dataset_C_attachment1,1,1,not_applicable,not_applicable,not_applicable,not_applicable,54个地块/大棚，总面积1213亩；41种作物及适种地块、季次和管理规则。
doc_2024_dataset_C_attachment2,2024,C,C_attachment2,C题附件2：2023年种植与统计数据,observed,dataset,structured_dataset,supporting_context,structured_parsed,verified,complete,logical_structure_complete,rep_2024_dataset_C_attachment2,1,1,not_applicable,not_applicable,not_applicable,not_applicable,54条2023年地块种植记录和107条按作物、地块类型、季次给出的亩产量、成本与价格区间。
doc_2024_dataset_E_attachment1,2024,E,E_attachment1,E题附件1：方向编号与交叉口距离,observed,dataset,structured_dataset,supporting_context,structured_parsed,verified,complete,logical_structure_complete,rep_2024_dataset_E_attachment1,1,1,not_applicable,not_applicable,not_applicable,not_applicable,4个方向编号以及经中路、纬中路共12个监控交叉口的路段距离描述。
doc_2024_dataset_E_attachment2,2024,E,E_attachment2,E题附件2：交叉口车辆记录,observed,dataset,large_tabular_dataset,supporting_context,streaming_profiled_large_csv,verified,complete,logical_structure_complete,rep_2024_dataset_E_attachment2,1,1,not_applicable,not_applicable,not_applicable,not_applicable,"8,844,996条车辆观测，覆盖2024-04-01至2024-05-06、12个交叉口、4个方向。"
doc_2024_dataset_E_attachment3,2024,E,E_attachment3,E题附件3：五一临时交通管控措施,observed,dataset,policy_attachment,supporting_context,fully_parsed_native_pdf,verified,complete,page_level_complete,rep_2024_dataset_E_attachment3,1,1,1,1,not_applicable,not_applicable,一页交通管控图示，说明5月1—5日管控路段及景区进出路线。
doc_2024_dataset_format2024,2024,GLOBAL,format2024,全国大学生数学建模竞赛论文格式规范（2024年修订稿）,observed,dataset,format_specification,supporting_context,fully_text_extracted_legacy_doc,verified,complete,document_level_complete,rep_2024_dataset_format2024,1,1,4,4,not_applicable,not_applicable,4页论文与支撑材料格式规范，规定摘要页、正文、附录、匿名和电子文件要求。
