sample_order,paper_id,year,problem,stratum,selection_score,sample_reason,membership_count,page_count,page_a,page_b,page_c,page_a_classification,page_b_classification,page_c_classification,risk_flags,source_path,source_sha256,render_source_path,render_source_sha256,artifact_set_path,index_record_status,artifact_set_sha256,provenance_reference,review_package_path
1,CUMCM-2020-B-005,2020,B,Q3_OCR_DERIVED,2FA58B76D5D510B2B6E97446CEDB28BF8B8FE999B9DD7EE6038048704403746F,MANDATORY_RISK_SAMPLE: legitimate binary matrix sanity refinement,1,50,1,25,50,FIRST_SUBSTANTIVE_PERSISTED_PAGE,MIDDLE_SUBSTANTIVE_PERSISTED_PAGE,LAST_SUBSTANTIVE_PERSISTED_PAGE,MANDATORY_BINARY_MATRIX,2020年数学建模国赛真题+优秀论文/2020年优秀论文/2020B：穿越沙漠游戏最佳策略模型的研究与构建.pdf,40E583E4703CA3203D3D7DF7EC81BF0F38255507BB59F5D05BFB1B17D2313D2C,2020年数学建模国赛真题+优秀论文/2020年优秀论文/2020B：穿越沙漠游戏最佳策略模型的研究与构建.pdf,40E583E4703CA3203D3D7DF7EC81BF0F38255507BB59F5D05BFB1B17D2313D2C,derived/scale/papers/CUMCM-2020-B-005,PASS,1AB71BE82F7E73631B2F6268B9FA5D927CC3D8F3E8B766C811B5F96300337BB0,catalog/scale/g8_q3_batch_repair/CUMCM-2020-B-005/manifest.json,reports/scale/g11_manual_sample_review/01_CUMCM-2020-B-005
2,CUMCM-2020-B-002,2020,B,Q3_OCR_DERIVED,AB9FE8FE0AC4DBCFD14BB8EAA84BF536D576DC7206077587C837535EA8FB9441,HISTORICAL_TIMEOUT_SAMPLE: multi-page-child timeout and 104-page replay case,1,104,1,52,104,FIRST_SUBSTANTIVE_PERSISTED_PAGE,MIDDLE_SUBSTANTIVE_PERSISTED_PAGE,LAST_SUBSTANTIVE_PERSISTED_PAGE,HISTORICAL_TIMEOUT,2020年数学建模国赛真题+优秀论文/2020年优秀论文/2020B：基于动态规划、统计分析、静态博弈的穿越沙漠游戏策咯设计.pdf,26781A9C92E48A6FD495960C27AEB6E66B1C0A2A89DB7F07BD6C0362A68E6A9E,2020年数学建模国赛真题+优秀论文/2020年优秀论文/2020B：基于动态规划、统计分析、静态博弈的穿越沙漠游戏策咯设计.pdf,26781A9C92E48A6FD495960C27AEB6E66B1C0A2A89DB7F07BD6C0362A68E6A9E,derived/scale/papers/CUMCM-2020-B-002,PASS,430454E820A60E0B3612DC3CDFE26D0DB298CC630F95F8B65E084C7838DE1B78,catalog/scale/g8_q3_batch_repair/CUMCM-2020-B-002/manifest.json,reports/scale/g11_manual_sample_review/02_CUMCM-2020-B-002
3,CUMCM-2010-A-006,2010,A,Q3_OCR_DERIVED,0B62B00187ADE2DC18FE4A3153A222F9944B655247A0E948FF074FA47F4C8DFB,VERIFIED_BLANK_SAMPLE: include a verified blank source page,1,100,1,74,73,FIRST_SUBSTANTIVE_PERSISTED_PAGE,VERIFIED_BLANK_SOURCE_PAGE,LAST_SUBSTANTIVE_PERSISTED_PAGE,VERIFIED_BLANK_PAGE,2010年数学建模国赛真题+优秀论文/2010年优秀论文/2010A：基于数学建模的储油罐变形监测研究.pdf,0D7703872C94FE411CC0B15C5419C315668235DD5F98A89B1208DF173837C754,2010年数学建模国赛真题+优秀论文/2010年优秀论文/2010A：基于数学建模的储油罐变形监测研究.pdf,0D7703872C94FE411CC0B15C5419C315668235DD5F98A89B1208DF173837C754,derived/scale/papers/CUMCM-2010-A-006,PASS,BCF96CBD88E1EB84AF5E0703193597CE45ACE3B5A78A8F70D93979C6B2389A4F,catalog/scale/g8_q3_batch_repair/CUMCM-2010-A-006/manifest.json,reports/scale/g11_manual_sample_review/03_CUMCM-2010-A-006
4,CUMCM-2010-B-001,2010,B,Q3_OCR_DERIVED,82DE5E0F9C32AEE235E38B3571FC9BA6C66D6B7E31E99323DBB9B03610A41A03,VERIFIED_BLANK_SAMPLE: include a verified blank source page,1,29,2,1,28,FIRST_SUBSTANTIVE_PERSISTED_PAGE,VERIFIED_BLANK_SOURCE_PAGE,LAST_SUBSTANTIVE_PERSISTED_PAGE,VERIFIED_BLANK_PAGE,2010年数学建模国赛真题+优秀论文/2010年优秀论文/2010B：上海世博会影响力的定量评估.pdf,EA8FA7E23CEEED8B511B42AAFAFBCFB776DD898B94D5F72A96847DF72C9F640F,2010年数学建模国赛真题+优秀论文/2010年优秀论文/2010B：上海世博会影响力的定量评估.pdf,EA8FA7E23CEEED8B511B42AAFAFBCFB776DD898B94D5F72A96847DF72C9F640F,derived/scale/papers/CUMCM-2010-B-001,PASS,C7FA2C251BDCA4F77CCC47DB6FCE7938029B1A3E28E3A4EA4770E5E4AE14B349,catalog/scale/g8_q3_batch_repair/CUMCM-2010-B-001/manifest.json,reports/scale/g11_manual_sample_review/04_CUMCM-2010-B-001
5,CUMCM-2020-D-003,2020,D,Q3_OCR_DERIVED,17EE81B5E9EFA99DE52838214D8F8C76DB77A6BE2EF3308C8A33ACE74EFE30B8,LONG_OCR_HEAVY_SAMPLE: maximum frozen Q3 page-count coverage,1,135,1,68,135,FIRST_SUBSTANTIVE_PERSISTED_PAGE,MIDDLE_SUBSTANTIVE_PERSISTED_PAGE,LAST_SUBSTANTIVE_PERSISTED_PAGE,LONG_OCR_HEAVY,2020年数学建模国赛真题+优秀论文/2020年优秀论文/2020D：接触式轮廓仪的自动标注数学模型研究.pdf,F8167387022E46E54EA04C371F75ADCF587FFD4E72C300BEB3798588C3E826A9,2020年数学建模国赛真题+优秀论文/2020年优秀论文/2020D：接触式轮廓仪的自动标注数学模型研究.pdf,F8167387022E46E54EA04C371F75ADCF587FFD4E72C300BEB3798588C3E826A9,derived/scale/papers/CUMCM-2020-D-003,PASS,2C908FABDCB045B0366BE861713570E78A7DB2D519363F40A1254996C1D3D9EC,catalog/scale/g8_q3_batch_repair/CUMCM-2020-D-003/manifest.json,reports/scale/g11_manual_sample_review/05_CUMCM-2020-D-003
6,CUMCM-1992-A-004,1992,A,Q3_OCR_DERIVED,6BC57FE34EB0B2866FF91794A3C14054E71A56F54966B0AE5261546795478180,deterministic year coverage,1,3,1,2,3,FIRST_SUBSTANTIVE_PERSISTED_PAGE,MIDDLE_SUBSTANTIVE_PERSISTED_PAGE,LAST_SUBSTANTIVE_PERSISTED_PAGE,,1992年数学建模国赛优秀论文/1992年A题优秀论文① 关于施肥效果分析问题的评注.pdf,0ED09084F2E15BB17CED39971CC8B3C20F72F789C1B0AD2F4A99DF9642D0B48D,1992年数学建模国赛优秀论文/1992年A题优秀论文① 关于施肥效果分析问题的评注.pdf,0ED09084F2E15BB17CED39971CC8B3C20F72F789C1B0AD2F4A99DF9642D0B48D,derived/scale/papers/CUMCM-1992-A-004,PASS,6DCD9170A595AA8F6B1D441F0EC5B93B1786BBD574B4E0FAE3E46E2847736B50,catalog/scale/g8_q3_batch_repair/CUMCM-1992-A-004/manifest.json,reports/scale/g11_manual_sample_review/06_CUMCM-1992-A-004
7,CUMCM-1993-B-002,1993,B,Q3_OCR_DERIVED,3A98F1BC0B2021549AAE147566F47BD547D00908A5769ED6EE531EF05CE5D704,deterministic year coverage,1,9,1,5,9,FIRST_SUBSTANTIVE_PERSISTED_PAGE,MIDDLE_SUBSTANTIVE_PERSISTED_PAGE,LAST_SUBSTANTIVE_PERSISTED_PAGE,,1993年数学建模国赛真题+优秀论文/1993年国赛优秀论文/1993年B题优秀论文③ 一个给足球队排名次的方法.pdf,40101857F2F092F6E6201646011ADE6153A7FA43E79188F8EF73E786A14963CF,1993年数学建模国赛真题+优秀论文/1993年国赛优秀论文/1993年B题优秀论文③ 一个给足球队排名次的方法.pdf,40101857F2F092F6E6201646011ADE6153A7FA43E79188F8EF73E786A14963CF,derived/scale/papers/CUMCM-1993-B-002,PASS,E618EFBDA7569C43736E690E9632AF63368A28198BFC6531A1C92459C4C97159,catalog/scale/g8_q3_batch_repair/CUMCM-1993-B-002/manifest.json,reports/scale/g11_manual_sample_review/07_CUMCM-1993-B-002
8,CUMCM-1995-B-004,1995,B,Q3_OCR_DERIVED,0495CCC33AC822111A3C3C25986131F50A573DB4031A607E7091032B230C9318,deterministic year coverage,1,3,1,2,3,FIRST_SUBSTANTIVE_PERSISTED_PAGE,MIDDLE_SUBSTANTIVE_PERSISTED_PAGE,LAST_SUBSTANTIVE_PERSISTED_PAGE,,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995B：天车冶炼炉作业调度的活动网络模型.pdf,2D121E84DE317B356CF918B5F3B5B33ABF3B89A7C648A2F340795E6DF1AD00DC,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995B：天车冶炼炉作业调度的活动网络模型.pdf,2D121E84DE317B356CF918B5F3B5B33ABF3B89A7C648A2F340795E6DF1AD00DC,derived/scale/papers/CUMCM-1995-B-004,PASS,CD6579A643DD8EA3CB88CEDB96D4B9219AD3215DCB962C17663874BFCA8F37B8,catalog/scale/g8_q3_batch_repair/CUMCM-1995-B-004/manifest.json,reports/scale/g11_manual_sample_review/08_CUMCM-1995-B-004
9,CUMCM-1996-B-002,1996,B,Q3_OCR_DERIVED,12E78FF0D7BD07C2116F7B61EFD196185F491242F9B5E55AABD783F0985A6212,deterministic year coverage,1,5,1,3,5,FIRST_SUBSTANTIVE_PERSISTED_PAGE,MIDDLE_SUBSTANTIVE_PERSISTED_PAGE,LAST_SUBSTANTIVE_PERSISTED_PAGE,,1996年数学建模国赛真题+优秀论文/1996年国赛优秀论文/1996B：关于洗衣机节水的数学模型.pdf,A37A5C69FF767B96A459EC678E826B750297662ACC5A3AB52C224A711AEE0BA3,1996年数学建模国赛真题+优秀论文/1996年国赛优秀论文/1996B：关于洗衣机节水的数学模型.pdf,A37A5C69FF767B96A459EC678E826B750297662ACC5A3AB52C224A711AEE0BA3,derived/scale/papers/CUMCM-1996-B-002,PASS,1ECB1B3BFE1547A07EDECD0B4B491852434A80E7A559842DACAB67BA5C84ACCD,catalog/scale/g8_q3_batch_repair/CUMCM-1996-B-002/manifest.json,reports/scale/g11_manual_sample_review/09_CUMCM-1996-B-002
10,CUMCM-1997-B-001,1997,B,Q3_OCR_DERIVED,0EC456D1D4EB6F4A9081013DB2272430C2DECDF04D645699B4AEBB41547222C1,deterministic year coverage,1,3,1,2,3,FIRST_SUBSTANTIVE_PERSISTED_PAGE,MIDDLE_SUBSTANTIVE_PERSISTED_PAGE,LAST_SUBSTANTIVE_PERSISTED_PAGE,,1997年数学建模国赛真题+优秀论文/1997年国赛优秀论文/1997B：截断切割中的最优排列问题.pdf,2793EE6AB8C7BCB22E969586CDFA8FA3F859F1B96775092C90372077188DA7F3,1997年数学建模国赛真题+优秀论文/1997年国赛优秀论文/1997B：截断切割中的最优排列问题.pdf,2793EE6AB8C7BCB22E969586CDFA8FA3F859F1B96775092C90372077188DA7F3,derived/scale/papers/CUMCM-1997-B-001,PASS,1F835971477034ABE45D8A6189BAB1A3B82F2E75712B8223C719258A5D95BE6B,catalog/scale/g8_q3_batch_repair/CUMCM-1997-B-001/manifest.json,reports/scale/g11_manual_sample_review/10_CUMCM-1997-B-001
