scope,element_type,metric,eligible_papers,observed_papers,dominant_value,dominant_count,dominant_ratio,second_value,second_count,min,median,max,recent_consistency,confidence,source_type,notes
modern_format_eligible,page,page_size,7,7,A4,7,1.0,,0,,,,HIGH,MEDIUM,MODERN_VISUAL_OBSERVED,"Per-paper modes from the current database's format-eligible modern sample; sample is recent and small, not a national prevalence estimate."
modern_format_eligible,page,orientation,7,7,PORTRAIT,7,1.0,,0,,,,HIGH,MEDIUM,MODERN_VISUAL_OBSERVED,"Per-paper modes from the current database's format-eligible modern sample; sample is recent and small, not a national prevalence estimate."
modern_format_eligible,page,top_margin_mm,7,0,UNKNOWN,0,0.0,,0,,,,UNKNOWN,LOW,MODERN_VISUAL_OBSERVED,"Per-paper modes from the current database's format-eligible modern sample; sample is recent and small, not a national prevalence estimate."
modern_format_eligible,page,bottom_margin_mm,7,0,UNKNOWN,0,0.0,,0,,,,UNKNOWN,LOW,MODERN_VISUAL_OBSERVED,"Per-paper modes from the current database's format-eligible modern sample; sample is recent and small, not a national prevalence estimate."
modern_format_eligible,page,left_margin_mm,7,0,UNKNOWN,0,0.0,,0,,,,UNKNOWN,LOW,MODERN_VISUAL_OBSERVED,"Per-paper modes from the current database's format-eligible modern sample; sample is recent and small, not a national prevalence estimate."
modern_format_eligible,page,right_margin_mm,7,0,UNKNOWN,0,0.0,,0,,,,UNKNOWN,LOW,MODERN_VISUAL_OBSERVED,"Per-paper modes from the current database's format-eligible modern sample; sample is recent and small, not a national prevalence estimate."
modern_format_eligible,page,visual_density,7,7,A4_WHITE_PAGE_NARROW_TEXT_BLOCK_WITH_DENSITY_VARIATION,7,1.0,,0,,,,HIGH,MEDIUM,MODERN_VISUAL_OBSERVED,"Per-paper modes from the current database's format-eligible modern sample; sample is recent and small, not a national prevalence estimate."
modern_format_eligible,title,font,7,7,Chinese serif/Song-style appearance (visual only),7,1.0,,0,,,,HIGH,MEDIUM,MODERN_VISUAL_OBSERVED,"Per-paper modes from the current database's format-eligible modern sample; sample is recent and small, not a national prevalence estimate."
modern_format_eligible,title,size_pt,7,0,UNKNOWN,0,0.0,,0,,,,UNKNOWN,LOW,MODERN_VISUAL_OBSERVED,"Per-paper modes from the current database's format-eligible modern sample; sample is recent and small, not a national prevalence estimate."
modern_format_eligible,title,bold,7,7,TRUE,7,1.0,,0,,,,HIGH,MEDIUM,MODERN_VISUAL_OBSERVED,"Per-paper modes from the current database's format-eligible modern sample; sample is recent and small, not a national prevalence estimate."
