logical_document_id,title,document_role,document_subtype,problem_code,problem_id,solution_lineage_id,parse_status,evidence_status,segmentation_status,completeness_status,page_count
logical_4bcc9d16db5ec266,一类投资组合问题的建模与分析,award_paper,none,A,problem_cumcm_1998_a,lineage_cumcm_1998_6f853fbed1c4abcc,partially_parsed,key_content_verified,not_required,complete,5
logical_eea35519a5eb763f,投资收益与风险的优化模型,award_paper,none,A,problem_cumcm_1998_a,lineage_cumcm_1998_e98cd724ed44d5c6,partially_parsed,key_content_verified,not_required,complete,2
logical_2d8d3900f17551a8,投资组合与模糊规划模型,award_paper,none,A,problem_cumcm_1998_a,lineage_cumcm_1998_b96fe3b6481e07bc,partially_parsed,key_content_verified,not_required,complete,5
logical_b835699e7ec08200,投资组合模型,award_paper,none,A,problem_cumcm_1998_a,lineage_cumcm_1998_871068d85cf05e9b,partially_parsed,key_content_verified,not_required,complete,4
logical_f3cea3975f2825eb,资产投资收益与风险模型,award_paper,none,A,problem_cumcm_1998_a,lineage_cumcm_1998_a980d8ac10c35cf1,partially_parsed,key_content_verified,not_required,complete,6
logical_ec9fb8d8ba389ae0,资本市场的最佳投资组合,award_paper,none,A,problem_cumcm_1998_a,lineage_cumcm_1998_6b70476af554f6df,partially_parsed,key_content_verified,not_required,complete,8
logical_872914b0619f17d8,风险投资分析,award_paper,none,A,problem_cumcm_1998_a,lineage_cumcm_1998_6d80652d747b4ac0,partially_parsed,key_content_verified,not_required,complete,6
logical_0a45ab72160311c8,风险投资组合的线性规划模型,award_paper,none,A,problem_cumcm_1998_a,lineage_cumcm_1998_5f78eeef4eb8c43a,partially_parsed,key_content_verified,not_required,complete,4
logical_8e085b28e9421f70,多旅行商路线的几个问题,award_paper,none,B,problem_cumcm_1998_b,lineage_cumcm_1998_ef854bacd0d83d2c,partially_parsed,key_content_verified,not_required,complete,8
logical_309f8c124ed6a6c4,最佳灾情巡视路线的数学模型,award_paper,none,B,problem_cumcm_1998_b,lineage_cumcm_1998_2b6c9475e822e7ae,partially_parsed,key_content_verified,not_required,complete,10
logical_8d5b0c0250333b24,灾情巡视的最佳路线,award_paper,none,B,problem_cumcm_1998_b,lineage_cumcm_1998_0136c5df51d81db3,partially_parsed,key_content_verified,not_required,complete,5
logical_823f663caee774b4,灾情巡视的最佳路线（节选）,award_paper,none,B,problem_cumcm_1998_b,lineage_cumcm_1998_f0fb2fb44b05d3d8,partially_parsed,content_verified_partial,not_required,missing_end,1
logical_92065e717d1e9c19,灾情巡视路线寻优模型,award_paper,none,B,problem_cumcm_1998_b,lineage_cumcm_1998_d7df338e156755ff,partially_parsed,key_content_verified,not_required,complete,6
logical_1e518732177db900,灾情巡视路线最优解的证明,award_paper,none,B,problem_cumcm_1998_b,lineage_cumcm_1998_06f4cb3ef4e93794,partially_parsed,key_content_verified,not_required,complete,4
logical_1dc6f576a4891e2f,灾情巡视路线的设计,award_paper,none,B,problem_cumcm_1998_b,lineage_cumcm_1998_69c144cb5631e29a,partially_parsed,key_content_verified,not_required,complete,7
logical_56c2e61cae666df2,1998年A题：投资的收益和风险,problem_statement,none,A,problem_cumcm_1998_a,,parsed,verified,not_required,complete,1
logical_fa40efe0f10aefdf,1998年B题：灾情巡视路线,problem_statement,none,B,problem_cumcm_1998_b,,parsed,verified,not_required,complete,1
