logical_document_id,year,problem_id,role,document_subtype,title,language,carrier_count,representation_count,preferred_representation_id,corpus_eligibility,parse_status,completeness_status,segmentation_status,evidence_status,award_level,award_level_basis,solution_content_status,expert_feedback_status,notes
2020-A-PROBLEM-001,2020,2020-A,problem,problem_statement,A题 炉温曲线,zh-CN,1,1,2020-REP-001,supporting_material,parsed,complete_for_observed_carrier,segmented,source_and_structure_verified,unknown,not_observed,not_observed,not_observed,以回焊炉机理建模、速度与温区设定优化为核心的官方题面。
2020-A-DATA-001,2020,2020-A,dataset,experimental_temperature_curve,A题实验炉温曲线,zh-CN,1,1,2020-REP-002,supporting_material,parsed,complete_for_observed_carrier,segmented,source_and_structure_verified,unknown,not_observed,not_observed,not_observed,709条0.5秒间隔温度记录，时间19—373秒，温度30.03—242.28°C。
2020-A-DATA-002,2020,2020-A,dataset,submission_template,A题result.csv提交模板,zh-CN,1,1,2020-REP-003,supporting_material,parsed,complete_for_observed_carrier,segmented,source_and_structure_verified,unknown,not_observed,not_observed,not_observed,GBK编码的时间—温度提交模板，含表头和0、0.5秒两个空值行。
2020-B-PROBLEM-001,2020,2020-B,problem,problem_statement,B题 穿越沙漠,zh-CN,1,1,2020-REP-004,supporting_material,parsed,complete_for_observed_carrier,segmented,source_and_structure_verified,unknown,not_observed,not_observed,not_observed,以图上行走、天气、资源、补给、挖矿和多人互动为核心的官方题面。
2020-B-DATA-001,2020,2020-B,dataset,scenario_map_attachment,B题六关参数与地图附件,zh-CN,1,1,2020-REP-005,supporting_material,parsed,complete_for_observed_carrier,segmented,source_and_structure_verified,unknown,not_observed,not_observed,not_observed,8页附件，包含六关参数表、天气序列和地图。
2020-B-DATA-002,2020,2020-B,dataset,submission_template,B题Result.xlsx提交模板,zh-CN,1,1,2020-REP-006,supporting_material,parsed,complete_for_observed_carrier,segmented,source_and_structure_verified,unknown,not_observed,not_observed,not_observed,第一关和第二关的逐日区域、资金、水和食物结果模板。
2020-C-PROBLEM-001,2020,2020-C,problem,problem_statement,C题 中小微企业的信贷决策,zh-CN,1,1,2020-REP-007,supporting_material,parsed,complete_for_observed_carrier,segmented,source_and_structure_verified,unknown,not_observed,not_observed,not_observed,以票据数据、信用风险、利率流失和突发冲击下信贷配置为核心的官方题面。
2020-C-DATA-001,2020,2020-C,dataset,labeled_credit_invoice_dataset,C题附件1：123家有信贷记录企业,zh-CN,1,1,2020-REP-008,supporting_material,parsed,complete_for_observed_carrier,segmented,source_and_structure_verified,unknown,not_observed,not_observed,not_observed,123家企业标签以及进项210947条、销项162484条发票记录。
2020-C-DATA-002,2020,2020-C,dataset,unlabeled_credit_invoice_dataset,C题附件2：302家无信贷记录企业,zh-CN,1,1,2020-REP-009,supporting_material,parsed,complete_for_observed_carrier,segmented,source_and_structure_verified,unknown,not_observed,not_observed,not_observed,302家企业以及销项330835条、进项395175条发票记录。
2020-C-DATA-003,2020,2020-C,dataset,interest_churn_curve,C题附件3：利率与客户流失率,zh-CN,1,1,2020-REP-010,supporting_material,parsed,complete_for_observed_carrier,segmented,source_and_structure_verified,unknown,not_observed,not_observed,not_observed,A/B/C信誉等级在4%—15%利率区间的客户流失率曲线；另有两个空工作表。
2020-D-PROBLEM-001,2020,2020-D,problem,problem_statement,D题 接触式轮廓仪的自动标注,zh-CN,1,1,2020-REP-011,supporting_material,parsed,complete_for_observed_carrier,segmented,source_and_structure_verified,unknown,not_observed,not_observed,not_observed,以含噪轮廓的几何基元识别、姿态校正、多次扫描融合和参数标注为核心的官方题面。
2020-D-DATA-001,2020,2020-D,dataset,profile_measurement,D题附件1：工件1水平与倾斜测量,zh-CN,1,1,2020-REP-012,supporting_material,parsed,complete_for_observed_carrier,segmented,source_and_structure_verified,unknown,not_observed,not_observed,not_observed,"level与down两条高密度(x,z)轮廓，共284627个数据点。"
2020-D-DATA-002,2020,2020-D,dataset,multi_scan_measurement,D题附件2：工件2十次测量,zh-CN,1,1,2020-REP-013,supporting_material,parsed,complete_for_observed_carrier,segmented,source_and_structure_verified,unknown,not_observed,not_observed,not_observed,10个工作表、约75.8万个轮廓点，用于多次扫描姿态估计、拼接和完整轮廓重建。
2020-D-DATA-003,2020,2020-D,dataset,local_circle_measurement,D题附件3：圆相关局部测量,zh-CN,1,1,2020-REP-014,supporting_material,parsed,complete_for_observed_carrier,segmented,source_and_structure_verified,unknown,not_observed,not_observed,not_observed,9个局部测量工作表、约54.9万个点，用于圆弧参数修正。
2020-D-DATA-004,2020,2020-D,dataset,local_angle_measurement,D题附件4：角相关局部测量,zh-CN,1,1,2020-REP-015,supporting_material,parsed,complete_for_observed_carrier,segmented,source_and_structure_verified,unknown,not_observed,not_observed,not_observed,9个局部测量工作表、约20.5万个点，用于角与线段参数修正。
2020-E-PROBLEM-001,2020,2020-E,problem,problem_statement,E题 校园供水系统智能管理,zh-CN,1,1,2020-REP-016,supporting_material,parsed,complete_for_observed_carrier,segmented,source_and_structure_verified,unknown,not_observed,not_observed,not_observed,以用水规律、层级平衡、漏损检测定位和维修决策为核心的官方题面。
2020-E-DATA-001,2020,2020-E,dataset,quarterly_meter_readings,E题附件1：一季度水表数据,zh-CN,1,1,2020-REP-017,supporting_material,parsed,complete_for_observed_carrier,segmented,source_and_structure_verified,unknown,not_observed,not_observed,not_observed,2019年第一季度91个水表、729283条读数。
2020-E-DATA-002,2020,2020-E,dataset,quarterly_meter_readings,E题附件2：二季度水表数据,zh-CN,1,1,2020-REP-018,supporting_material,parsed,complete_for_observed_carrier,segmented,source_and_structure_verified,unknown,not_observed,not_observed,not_observed,2019年第二季度91个水表、778195条读数。
2020-E-DATA-003,2020,2020-E,dataset,quarterly_meter_readings,E题附件3：三季度水表数据,zh-CN,1,1,2020-REP-019,supporting_material,parsed,complete_for_observed_carrier,segmented,source_and_structure_verified,unknown,not_observed,not_observed,not_observed,2019年第三季度91个水表、791844条读数。
2020-E-DATA-004,2020,2020-E,dataset,meter_hierarchy,E题附件4：水表层级关系,zh-CN,1,1,2020-REP-020,supporting_material,parsed,complete_for_observed_carrier,segmented,source_and_structure_verified,unknown,not_observed,not_observed,not_observed,93行层级记录，其中91个有效水表，另有2个“无记录”父级占位。
2020-E-DATA-005,2020,2020-E,dataset,quarterly_meter_readings,E题附件5：四季度水表数据,zh-CN,1,1,2020-REP-021,supporting_material,parsed,complete_for_observed_carrier,segmented,source_and_structure_verified,unknown,not_observed,not_applicable,not_observed,787466条记录，91个水表，覆盖2019年第四季度。
2020-GLOBAL-RULE-001,2020,2020-ALL,dataset,competition_format_specification,2020全国大学生数学建模竞赛论文格式规范,zh-CN,1,1,2020-REP-022,supporting_material,parsed,complete_for_observed_carrier,segmented,source_and_structure_verified,not_applicable,not_applicable,not_applicable,not_observed,2020修订稿；规定摘要、正文、附录、匿名性、源程序和电子版材料要求。
2020-A-PAPER-001,2020,2020-A,paper,competition_solution_paper,回焊炉温曲线优化控制,zh-CN,1,1,2020-REP-023,eligible_solution_paper,parsed,complete_for_observed_carrier,page_segmented,title_abstract_methods_and_page_structure_verified,unknown,not_observed,present,not_observed,标题、摘要和题目对应关系已核验；不从文件目录推断奖项。
2020-A-PAPER-002,2020,2020-A,paper,competition_solution_paper,基于一维热传导方程的炉温曲线机理模型研究,zh-CN,1,1,2020-REP-024,eligible_solution_paper,parsed,complete_for_observed_carrier,page_segmented,title_abstract_methods_and_page_structure_verified,unknown,not_observed,present,not_observed,原文件名缺少“一”字，正文标题和模型内容表明是一维热传导方程。
