file_path,sha256,year,paper_id,classification,final_q,quality_status,quality_evidence_source,quality_evidence_summary,issue_codes,visual_review_required,visual_review_status
2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015A：太阳影子定位 (1).pdf,F3D4B18A4D728686016DC5452CD59D787744190141D355AF865F2892AD34BC6D,2015,CUMCM-2015-A-007,text_based,Q0,graded,G5-00 representative-page visual review + G4 native-text audit,"Pages [1, 16, 32] reviewed; native text, formulas/tables and page layout are clear; no G4 issue, encoding problem or OCR route was recorded.",[],False,not_required
2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015A：太阳影子定位 (2).pdf,FC454F4CFAA4954CA17102D39CFA948733FE649D006CFF8C1DAD4B8FADDB809F,2015,CUMCM-2015-A-003,text_based,Q0,graded,G5-00 representative-page visual review + G4 native-text audit,"Pages [1, 15, 30] reviewed; native text, formulas/tables and page layout are clear; no G4 issue, encoding problem or OCR route was recorded.",[],False,not_required
2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015A：太阳影子定位 (3).pdf,9ABD2C75F32DD636160BB9076B2CFC32AA6C82E4F37874C9AFAACFC04AB7617B,2015,CUMCM-2015-A-008,text_based,Q0,graded,G5-00 representative-page visual review + G4 native-text audit,"Pages [1, 14, 27] reviewed; native text, formulas/tables and page layout are clear; no G4 issue, encoding problem or OCR route was recorded.",[],False,not_required
2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015A：太阳影子定位 (4).pdf,F5B0A1828E9BB3D91C7C054F89F3152BB68F2B9C3CC4ABD0E57803793C77D752,2015,CUMCM-2015-A-001,text_based,Q0,graded,G5-00 representative-page visual review + G4 native-text audit,"Pages [1, 24, 47] reviewed; native text, formulas/tables and page layout are clear; no G4 issue, encoding problem or OCR route was recorded.",[],False,not_required
2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015A：太阳影子定位 (5).pdf,8ED079BEE1EAC8D7C76D3B08C45EA17648BD7A3C9564C51BFD7A749330B7FE88,2015,CUMCM-2015-A-005,mixed,Q1,graded,G5-00 representative-page visual review + G4 mixed-text audit,"Pages [1, 13, 26] reviewed; readable text/formulas on content pages, trailing page is blank except watermark; no repair needed for normal reading.","[""PDF_BLANK_PAGE""]",True,completed
2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015A：太阳影子定位 (6).pdf,61471733A48208E30A4521BEFA637ABB1EEB706A4F30DFA5EF6133804454FF47,2015,CUMCM-2015-A-004,mixed,Q1,graded,G5-00 representative-page visual review + G4 mixed-text audit,"Pages [1, 13, 26] reviewed; readable text/formulas on content pages, trailing page is blank except watermark; no repair needed for normal reading.","[""PDF_BLANK_PAGE""]",True,completed
2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015A：太阳影子定位 (7).pdf,2B6C0133ABE0BE08C3B41EA7DAE49B171A3D64664739C1F13B576575EEACFB99,2015,CUMCM-2015-A-006,text_based,Q0,graded,G5-00 representative-page visual review + G4 native-text audit,"Pages [1, 20, 40] reviewed; native text, formulas/tables and page layout are clear; no G4 issue, encoding problem or OCR route was recorded.",[],False,not_required
2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015B：互联网+_时代的出租车资源配置 (1).pdf,76F00F79B88EFAA3AD273C472A8E6C31496F81D65D5A80675B241F8D14C58787,2015,CUMCM-2015-B-003,mixed,Q1,graded,G5-00 representative-page visual review + G4 mixed-text audit,"Pages [1, 16, 32] reviewed; readable text/formulas on content pages, trailing page is blank except watermark; no repair needed for normal reading.","[""PDF_BLANK_PAGE""]",True,completed
2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015B：互联网+_时代的出租车资源配置 (2).pdf,B91E2D69D66078A2D23E9C51A972248C066176505F6C97C95765A42F3EE45B61,2015,CUMCM-2015-B-002,text_based,Q0,graded,G5-00 representative-page visual review + G4 native-text audit,"Pages [1, 21, 42] reviewed; native text, formulas/tables and page layout are clear; no G4 issue, encoding problem or OCR route was recorded.",[],False,not_required
2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015B：互联网+_时代的出租车资源配置 (3).pdf,10D95A262ECCB2559A96FAB8502F3452C1BCE7849AAD8228A938EDD0A785FBF1,2015,CUMCM-2015-B-006,text_based,Q0,graded,G5-00 representative-page visual review + G4 native-text audit,"Pages [1, 13, 26] reviewed; native text, formulas/tables and page layout are clear; no G4 issue, encoding problem or OCR route was recorded.",[],False,not_required
2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015B：互联网+_时代的出租车资源配置 (4).pdf,E3801A701CD22DBF9DC9B9D308B28C85928FE04A49E139C8247C3ADB0B536D2F,2015,CUMCM-2015-B-004,text_based,Q0,graded,G5-00 representative-page visual review + G4 native-text audit,"Pages [1, 16, 31] reviewed; native text, formulas/tables and page layout are clear; no G4 issue, encoding problem or OCR route was recorded.",[],False,not_required
2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015B：互联网+_时代的出租车资源配置 (5).pdf,E25E78987E2128F6D30011825C0BD0101CDCAE4F70F46E6190DD8EEB9BB53C94,2015,CUMCM-2015-B-001,text_based,Q0,graded,G5-00 representative-page visual review + G4 native-text audit,"Pages [1, 10, 19] reviewed; native text, formulas/tables and page layout are clear; no G4 issue, encoding problem or OCR route was recorded.",[],False,not_required
2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015C：月上柳梢头，人约黄昏后 (3).pdf,F8A016049C5BEB377099C27C2B4CA167E23B120CCA23A041B013A88924956977,2015,CUMCM-2015-C-005,text_based,Q0,graded,G5-00 representative-page visual review + G4 native-text audit,"Pages [1, 25, 50] reviewed; native text, formulas/tables and page layout are clear; no G4 issue, encoding problem or OCR route was recorded.",[],False,not_required
2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015C：月上柳梢头，人约黄昏后 (4).pdf,A26039C0098CE1FB1B2C4ABE97617293B85C9A8E1B5B600DF697801B1E5C6504,2015,CUMCM-2015-C-002,text_based,Q0,graded,G5-00 representative-page visual review + G4 native-text audit,"Pages [1, 13, 25] reviewed; native text, formulas/tables and page layout are clear; no G4 issue, encoding problem or OCR route was recorded.",[],False,not_required
2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015D：众筹筑屋规划方案设计 (3).pdf,74203B2E3B6EBF7FBEFCA0AA82E360C4967474A6D1AF70E1CE569110ED4531E3,2015,CUMCM-2015-D-003,text_based,Q0,graded,G5-00 representative-page visual review + G4 native-text audit,"Pages [1, 11, 21] reviewed; native text, formulas/tables and page layout are clear; no G4 issue, encoding problem or OCR route was recorded.",[],False,not_required
2015年数学建模国赛真题+优秀论文/2015年赛题/2015年国赛D题附件2 中华人民共和国土地增值税暂行条例.pdf,D5AE5C859D9FD9FFD48D5493455D254334D15CBC082F93109FE2AAB9D8697C42,2015,unknown,text_based,Q0,graded,G5-00 representative-page visual review + G4 native-text audit,"Pages [1, 3, 5] reviewed; native text, formulas/tables and page layout are clear; no G4 issue, encoding problem or OCR route was recorded.",[],False,not_required
2015年数学建模国赛真题+优秀论文/2015年赛题/2015年国赛D题附件3 其他相关说明.pdf,A3C542CF191AB8F7A6FBE4DA6085F4B8A4BC5871E464916F9BC049C9C7E0C3A4,2015,unknown,text_based,Q0,graded,G5-00 representative-page visual review + G4 native-text audit,"Pages [1] reviewed; native text, formulas/tables and page layout are clear; no G4 issue, encoding problem or OCR route was recorded.",[],False,not_required
