paper_id,source_page,current_page_classification,formal_marker_present,formal_substantive_content_present,source_substantive_content_expected,classification,existing_page_text_path,existing_page_text_sha256,repair_layer,repair_action,requires_new_ocr,requires_new_extraction,evidence_confidence,review_packet_excerpt_paths,review_packet_excerpt_sha256,source_review_png_paths,notes
CUMCM-1992-A-001,1,NOT_AVAILABLE_IN_EXISTING_EVIDENCE,1,0,UNKNOWN,UNRESOLVED_MARKER_ONLY_PAGE,NOT_AVAILABLE_Q0_PDF_INSPECTOR,,UNRESOLVED,TARGETED_DIAGNOSTIC_BEFORE_REPAIR,0,0,LOW,,,,No existing page-level source evidence establishes substantive content or a legitimate blank-page explanation; do not guess or repair.
CUMCM-1992-A-002,1,NOT_AVAILABLE_IN_EXISTING_EVIDENCE,1,0,UNKNOWN,UNRESOLVED_MARKER_ONLY_PAGE,NOT_AVAILABLE_Q0_PDF_INSPECTOR,,UNRESOLVED,TARGETED_DIAGNOSTIC_BEFORE_REPAIR,0,0,LOW,,,,No existing page-level source evidence establishes substantive content or a legitimate blank-page explanation; do not guess or repair.
CUMCM-1992-A-002,2,NOT_AVAILABLE_IN_EXISTING_EVIDENCE,1,0,UNKNOWN,UNRESOLVED_MARKER_ONLY_PAGE,NOT_AVAILABLE_Q0_PDF_INSPECTOR,,UNRESOLVED,TARGETED_DIAGNOSTIC_BEFORE_REPAIR,0,0,LOW,,,,No existing page-level source evidence establishes substantive content or a legitimate blank-page explanation; do not guess or repair.
CUMCM-1992-A-002,3,NOT_AVAILABLE_IN_EXISTING_EVIDENCE,1,0,UNKNOWN,UNRESOLVED_MARKER_ONLY_PAGE,NOT_AVAILABLE_Q0_PDF_INSPECTOR,,UNRESOLVED,TARGETED_DIAGNOSTIC_BEFORE_REPAIR,0,0,LOW,,,,No existing page-level source evidence establishes substantive content or a legitimate blank-page explanation; do not guess or repair.
CUMCM-1992-A-002,4,NOT_AVAILABLE_IN_EXISTING_EVIDENCE,1,0,UNKNOWN,UNRESOLVED_MARKER_ONLY_PAGE,NOT_AVAILABLE_Q0_PDF_INSPECTOR,,UNRESOLVED,TARGETED_DIAGNOSTIC_BEFORE_REPAIR,0,0,LOW,,,,No existing page-level source evidence establishes substantive content or a legitimate blank-page explanation; do not guess or repair.
CUMCM-1992-A-002,5,NOT_AVAILABLE_IN_EXISTING_EVIDENCE,1,0,UNKNOWN,UNRESOLVED_MARKER_ONLY_PAGE,NOT_AVAILABLE_Q0_PDF_INSPECTOR,,UNRESOLVED,TARGETED_DIAGNOSTIC_BEFORE_REPAIR,0,0,LOW,,,,No existing page-level source evidence establishes substantive content or a legitimate blank-page explanation; do not guess or repair.
CUMCM-1992-A-002,6,NOT_AVAILABLE_IN_EXISTING_EVIDENCE,1,0,UNKNOWN,UNRESOLVED_MARKER_ONLY_PAGE,NOT_AVAILABLE_Q0_PDF_INSPECTOR,,UNRESOLVED,TARGETED_DIAGNOSTIC_BEFORE_REPAIR,0,0,LOW,,,,No existing page-level source evidence establishes substantive content or a legitimate blank-page explanation; do not guess or repair.
CUMCM-1992-A-003,1,FIRST_PAGE_FROM_FROZEN_PAGE_COUNT,1,0,1,DEFECTIVE_MARKER_ONLY_PAGE,NOT_AVAILABLE_Q0_PDF_INSPECTOR,,FORMAL_BODY_RECONSTRUCTION_SERIALIZATION,TARGETED_SOURCE_TEXT_ACQUISITION_AND_FORMAL_BODY_REGENERATION,0,1,HIGH,reports/scale/g11_manual_sample_review/23_CUMCM-1992-A-003/page_A_artifact_excerpt.txt,F8E7C42B4003BD042A59E66CDA88BC2DAFFD4A4E8EAFF77765F12758DAF8CB61,reports/scale/g11_manual_sample_review/23_CUMCM-1992-A-003/page_A.png,Existing selected-page PNG/review evidence supports substantive source content; Q0 page-local persisted text is unavailable.
CUMCM-1992-A-003,2,NOT_AVAILABLE_IN_EXISTING_EVIDENCE,1,0,UNKNOWN,UNRESOLVED_MARKER_ONLY_PAGE,NOT_AVAILABLE_Q0_PDF_INSPECTOR,,UNRESOLVED,TARGETED_DIAGNOSTIC_BEFORE_REPAIR,0,0,LOW,,,,No existing page-level source evidence establishes substantive content or a legitimate blank-page explanation; do not guess or repair.
CUMCM-1992-A-003,3,MIDDLE_PAGE_FROM_FROZEN_PAGE_COUNT,1,0,1,DEFECTIVE_MARKER_ONLY_PAGE,NOT_AVAILABLE_Q0_PDF_INSPECTOR,,FORMAL_BODY_RECONSTRUCTION_SERIALIZATION,TARGETED_SOURCE_TEXT_ACQUISITION_AND_FORMAL_BODY_REGENERATION,0,1,HIGH,reports/scale/g11_manual_sample_review/23_CUMCM-1992-A-003/page_B_artifact_excerpt.txt,A28F3C9F80BF2ECF7E0919C6EE42221DC7F69CBBEF489F9C8E8CC7C91E9D8D6B,reports/scale/g11_manual_sample_review/23_CUMCM-1992-A-003/page_B.png,Existing selected-page PNG/review evidence supports substantive source content; Q0 page-local persisted text is unavailable.
CUMCM-1992-A-003,4,NOT_AVAILABLE_IN_EXISTING_EVIDENCE,1,0,UNKNOWN,UNRESOLVED_MARKER_ONLY_PAGE,NOT_AVAILABLE_Q0_PDF_INSPECTOR,,UNRESOLVED,TARGETED_DIAGNOSTIC_BEFORE_REPAIR,0,0,LOW,,,,No existing page-level source evidence establishes substantive content or a legitimate blank-page explanation; do not guess or repair.
CUMCM-1992-A-003,5,LAST_PAGE_FROM_FROZEN_PAGE_COUNT,1,0,1,DEFECTIVE_MARKER_ONLY_PAGE,NOT_AVAILABLE_Q0_PDF_INSPECTOR,,FORMAL_BODY_RECONSTRUCTION_SERIALIZATION,TARGETED_SOURCE_TEXT_ACQUISITION_AND_FORMAL_BODY_REGENERATION,0,1,HIGH,reports/scale/g11_manual_sample_review/23_CUMCM-1992-A-003/page_C_artifact_excerpt.txt,7DAE5B696953194B0188F6A5B75D93236CE8B1510438FBD114CB3076D5B46E53,reports/scale/g11_manual_sample_review/23_CUMCM-1992-A-003/page_C.png,Existing selected-page PNG/review evidence supports substantive source content; Q0 page-local persisted text is unavailable.
CUMCM-1992-B-001,1,NOT_AVAILABLE_IN_EXISTING_EVIDENCE,1,0,UNKNOWN,UNRESOLVED_MARKER_ONLY_PAGE,NOT_AVAILABLE_Q0_PDF_INSPECTOR,,UNRESOLVED,TARGETED_DIAGNOSTIC_BEFORE_REPAIR,0,0,LOW,,,,No existing page-level source evidence establishes substantive content or a legitimate blank-page explanation; do not guess or repair.
CUMCM-1992-B-001,2,NOT_AVAILABLE_IN_EXISTING_EVIDENCE,1,0,UNKNOWN,UNRESOLVED_MARKER_ONLY_PAGE,NOT_AVAILABLE_Q0_PDF_INSPECTOR,,UNRESOLVED,TARGETED_DIAGNOSTIC_BEFORE_REPAIR,0,0,LOW,,,,No existing page-level source evidence establishes substantive content or a legitimate blank-page explanation; do not guess or repair.
