paper_id,year,problem,subject_type,artifact_eligible,eligibility_reason,evidence,review_status,primary_file,primary_extension
CUMCM-1992-A-001,1992,A,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1992年数学建模国赛优秀论文/1992年A题优秀论文③ 施肥效果分析.pdf,.pdf
CUMCM-1992-A-002,1992,A,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1992年数学建模国赛优秀论文/1992年A题优秀论文② 施肥方案对作物蔬菜的影响.pdf,.pdf
CUMCM-1992-A-003,1992,A,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1992年数学建模国赛优秀论文/1992年A题优秀论文③ 关于非线性交调的频率设计的评注.pdf,.pdf
CUMCM-1992-A-004,1992,A,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1992年数学建模国赛优秀论文/1992年A题优秀论文① 关于施肥效果分析问题的评注.pdf,.pdf
CUMCM-1992-B-001,1992,B,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1992年数学建模国赛优秀论文/1992年B题优秀论文③ 关于蛋白质氨基酸的组合问题的评注.pdf,.pdf
CUMCM-1992-B-002,1992,B,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1992年数学建模国赛优秀论文/1992年B题优秀论文② 蛋白质氨基酸的组合问题.pdf,.pdf
CUMCM-1993-A-001,1993,A,PROBLEM_PACKAGE,0,"PDF text layer is an official problem statement with input/output data, frequency constraints, and a request to design f1/f2/f3; it is not a contestant paper","PDF first 3 pages text layer: official problem statement, input/output data, frequency constraints, and design request",PASS,1993年数学建模国赛真题+优秀论文/1993年国赛优秀论文/1993年A题优秀论文① 非线性交调的频率设计.pdf,.pdf
CUMCM-1993-B-001,1993,B,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1993年数学建模国赛真题+优秀论文/1993年国赛优秀论文/1993年B题优秀论文② 足球排名次问题.pdf,.pdf
CUMCM-1993-B-002,1993,B,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1993年数学建模国赛真题+优秀论文/1993年国赛优秀论文/1993年B题优秀论文③ 一个给足球队排名次的方法.pdf,.pdf
CUMCM-1993-B-003,1993,B,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1993年数学建模国赛真题+优秀论文/1993年国赛优秀论文/1993年B题优秀论文① 关于球队排名次问题的几点评注.pdf,.pdf
CUMCM-1995-A-001,1995,A,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995A：飞行管理问题的实时算法.pdf,.pdf
CUMCM-1995-A-002,1995,A,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995A：飞行管理模型的线性化处理方法.pdf,.pdf
CUMCM-1995-A-003,1995,A,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995A：飞行管理问题的线性规划模型.pdf,.pdf
CUMCM-1995-A-004,1995,A,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995A：飞行管理问题的逐步逼近搜索方法.pdf,.pdf
CUMCM-1995-A-005,1995,A,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995A：飞行管理问题约束条件的线性化.pdf,.pdf
CUMCM-1995-A-006,1995,A,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995A：飞行管理模型的能量梯度求解法.pdf,.pdf
CUMCM-1995-A-007,1995,A,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995A：飞行管理问题答卷评述.pdf,.pdf
CUMCM-1995-A-008,1995,A,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995A：空中防撞系统的设计.pdf,.pdf
CUMCM-1995-B-001,1995,B,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995B：冶炼车间的最优调度模型的检验.pdf,.pdf
