sample_order,paper_id,source_page,packet_page_role,source_path,source_sha256,formal_artifact_path,formal_artifact_sha256,formal_excerpt_path,formal_excerpt_sha256,render_path,render_sha256,render_width,render_height,render_dpi
1,CUMCM-1992-A-001,1,A,1992年数学建模国赛优秀论文/1992年A题优秀论文③ 施肥效果分析.pdf,F784800B2EE0929904DA04B05C302B0E68D299A70818956AB615EE8D98DD6F2B,derived/scale/papers/CUMCM-1992-A-001/paper.md,6D45B274DAC003D8F877953199BDDA67DE1BB71644F115208DB1E8E34A9CB7C2,reports/scale/g11_targeted_visual_diagnostic/01_CUMCM-1992-A-001/page_A_formal_excerpt.txt,B00F2961C77F4CDC5E52D855E2AC32F1851A5E41151EF90BE774E162D27AA6ED,reports/scale/g11_targeted_visual_diagnostic/01_CUMCM-1992-A-001/page_A.png,B01F6C343891FCBD03A883DB75E2E766A57262FD531F8C8A1A94FEA00709E8D8,1490,2105,180
2,CUMCM-2012-B-B149,28,A,2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012B：太阳能小屋的设计 (4)/B149答卷.pdf,90C31398DACDA50949D10FA75F60E736B124E3947F908667F32FDD5C81F24CE8,derived/scale/papers/CUMCM-2012-B-B149/paper.md,7A5DF53096876F3C887CAE76705332FABCD4CDF2822B78235FB28C4CD81A0DB7,reports/scale/g11_targeted_visual_diagnostic/02_CUMCM-2012-B-B149/page_A_formal_excerpt.txt,86CB65C5AEA5704A002D90937246763DDC94115D51A6752AE8A5A0899288CF8F,reports/scale/g11_targeted_visual_diagnostic/02_CUMCM-2012-B-B149/page_A.png,985153A246CBE8D12D8FF5F2501E313D8B231CE872F951B2A17DA0D03581FCA1,1489,2105,180
3,CUMCM-1999-C-001,1,A,1999年数学建模国赛真题+优秀论文/1999年国赛优秀论文/1999C：煤矸石堆积模型.pdf,FD17ED40C59779200ED16509B7A56CFE60AB7492691994722E4A9F870A55915E,derived/scale/papers/CUMCM-1999-C-001/paper.md,845EAC42B8D7C797245E742A556F6F7B87F8594979C758FB43031CD6D48DB563,reports/scale/g11_targeted_visual_diagnostic/03_CUMCM-1999-C-001/page_A_formal_excerpt.txt,53BB20FAC1B47A0E1A6A03323C22E0F4BC5ADC2070EE5C6E9BCCCE53F9BABBA1,reports/scale/g11_targeted_visual_diagnostic/03_CUMCM-1999-C-001/page_A.png,3E2888259762E28566B71FF3FF470A6A7A70D91A744089DB378241470BB8F830,1188,1763,180
3,CUMCM-1999-C-001,4,B,1999年数学建模国赛真题+优秀论文/1999年国赛优秀论文/1999C：煤矸石堆积模型.pdf,FD17ED40C59779200ED16509B7A56CFE60AB7492691994722E4A9F870A55915E,derived/scale/papers/CUMCM-1999-C-001/paper.md,845EAC42B8D7C797245E742A556F6F7B87F8594979C758FB43031CD6D48DB563,reports/scale/g11_targeted_visual_diagnostic/03_CUMCM-1999-C-001/page_B_formal_excerpt.txt,9EE07B411E986E4807506C5380454C435C6785EE10C3DFB89C1BFD1154996120,reports/scale/g11_targeted_visual_diagnostic/03_CUMCM-1999-C-001/page_B.png,F84057AA30639BCE2F096636A75E3E9C8844F41D8777B24446883D00A663E185,1188,1763,180
3,CUMCM-1999-C-001,7,C,1999年数学建模国赛真题+优秀论文/1999年国赛优秀论文/1999C：煤矸石堆积模型.pdf,FD17ED40C59779200ED16509B7A56CFE60AB7492691994722E4A9F870A55915E,derived/scale/papers/CUMCM-1999-C-001/paper.md,845EAC42B8D7C797245E742A556F6F7B87F8594979C758FB43031CD6D48DB563,reports/scale/g11_targeted_visual_diagnostic/03_CUMCM-1999-C-001/page_C_formal_excerpt.txt,0A95D10FBB94EA9ED2D106F6E8A24B267187645B835B393C49D4CEBDFC3DA92B,reports/scale/g11_targeted_visual_diagnostic/03_CUMCM-1999-C-001/page_C.png,56EAFCB16BF586BF3BAC2A7A12691CBB749FE38C575C96197A5D36EF64AE80A5,1188,1763,180
4,CUMCM-2000-D-002,1,A,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000D：空洞探测问题及有关情况.pdf,596EA1C71B52E148BD9C187C5E6B55C6C0286D7A3CCDC8281D595FE2686DE3FD,derived/scale/papers/CUMCM-2000-D-002/paper.md,750BD75CEFFE5D543A1A964F76D8BC65F0B6D50162147B5966FC514A31D8227D,reports/scale/g11_targeted_visual_diagnostic/04_CUMCM-2000-D-002/page_A_formal_excerpt.txt,53BB20FAC1B47A0E1A6A03323C22E0F4BC5ADC2070EE5C6E9BCCCE53F9BABBA1,reports/scale/g11_targeted_visual_diagnostic/04_CUMCM-2000-D-002/page_A.png,3E9D76BB8AC505E74CEC739BBBEEEEF999F66CF3694D353EAB73AB8EC7084888,1188,1763,180
4,CUMCM-2000-D-002,2,B,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000D：空洞探测问题及有关情况.pdf,596EA1C71B52E148BD9C187C5E6B55C6C0286D7A3CCDC8281D595FE2686DE3FD,derived/scale/papers/CUMCM-2000-D-002/paper.md,750BD75CEFFE5D543A1A964F76D8BC65F0B6D50162147B5966FC514A31D8227D,reports/scale/g11_targeted_visual_diagnostic/04_CUMCM-2000-D-002/page_B_formal_excerpt.txt,12E84086687A2C8FCBFB311654FC158AB805A84DF115876937C2C84BB59B80B4,reports/scale/g11_targeted_visual_diagnostic/04_CUMCM-2000-D-002/page_B.png,3C9D0C8299612E463DDAF8C5D17CE27C2D18EB66037D2A762CF58058F4CD96AB,1188,1763,180
4,CUMCM-2000-D-002,3,C,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000D：空洞探测问题及有关情况.pdf,596EA1C71B52E148BD9C187C5E6B55C6C0286D7A3CCDC8281D595FE2686DE3FD,derived/scale/papers/CUMCM-2000-D-002/paper.md,750BD75CEFFE5D543A1A964F76D8BC65F0B6D50162147B5966FC514A31D8227D,reports/scale/g11_targeted_visual_diagnostic/04_CUMCM-2000-D-002/page_C_formal_excerpt.txt,F541E6C01869E9AD64E9C7B2A2C3ABE274066441CB410CAE6BB8D31074A52AEC,reports/scale/g11_targeted_visual_diagnostic/04_CUMCM-2000-D-002/page_C.png,AA9479C0F54247C3CA2CF85F49EB9888A78ACD7AD2A3582BE59A9741FE6AADA8,1188,1763,180
5,CUMCM-1996-B-003,1,A,1996年数学建模国赛真题+优秀论文/1996年国赛优秀论文/1996B：节水洗衣机的设计.pdf,96257EB5FD8EE017CBE33AAD705C4451E444DAEF10172DBA9DC2C8E3F20533CC,derived/scale/papers/CUMCM-1996-B-003/paper.md,747914D495F481AEA94B89B6481B5B807695DFAC4C1C281DE639E2F58A4F0997,reports/scale/g11_targeted_visual_diagnostic/05_CUMCM-1996-B-003/page_A_formal_excerpt.txt,53BB20FAC1B47A0E1A6A03323C22E0F4BC5ADC2070EE5C6E9BCCCE53F9BABBA1,reports/scale/g11_targeted_visual_diagnostic/05_CUMCM-1996-B-003/page_A.png,3E09C594DCDEEB30B394AA382A779DF53A08F98B160EA1E280F7D4309381172C,1418,1955,180
5,CUMCM-1996-B-003,2,B,1996年数学建模国赛真题+优秀论文/1996年国赛优秀论文/1996B：节水洗衣机的设计.pdf,96257EB5FD8EE017CBE33AAD705C4451E444DAEF10172DBA9DC2C8E3F20533CC,derived/scale/papers/CUMCM-1996-B-003/paper.md,747914D495F481AEA94B89B6481B5B807695DFAC4C1C281DE639E2F58A4F0997,reports/scale/g11_targeted_visual_diagnostic/05_CUMCM-1996-B-003/page_B_formal_excerpt.txt,12E84086687A2C8FCBFB311654FC158AB805A84DF115876937C2C84BB59B80B4,reports/scale/g11_targeted_visual_diagnostic/05_CUMCM-1996-B-003/page_B.png,C44A7587673212EA7BC096B8AD0C20EDE13AE23AC0D21401A44FDEC7CE4E6F01,1418,1955,180
