paper_id,population_group,prior_subject_type,prior_artifact_eligibility,final_subject_type,final_artifact_eligible,confidence,primary_evidence,decision_reason,downstream_action,manual_review_remaining
CUMCM-1993-A-001,LEGACY_ELIGIBILITY_MANUAL,PROBLEM_PACKAGE,UNRESOLVED,PROBLEM_PACKAGE,0,HIGH,"PDF first 3 pages text layer: official problem statement, input/output data, frequency constraints, and design request","PDF text layer is an official problem statement with input/output data, frequency constraints, and a request to design f1/f2/f3; it is not a contestant paper",CLOSED_INELIGIBLE,0
CUMCM-2011-A-003,LEGACY_DOC,PAPER,UNRESOLVED,PAPER,1,MEDIUM,filename=2011A：城市表层土壤重金属污染分析（6）.doc; parent=2011年数学建模国赛真题+优秀论文/2011年优秀论文; membership and MF41 OLE audit,Directory and filename semantics identify an award-paper research object; binary DOC content remains unextracted and therefore requires a future DOC contract,READY_FOR_DOC_CONTRACT,0
CUMCM-2011-C-002,LEGACY_DOC,PAPER,UNRESOLVED,PAPER,1,MEDIUM,filename=2011C：企业退休职工养老金制度的改革 (1).doc; parent=2011年数学建模国赛真题+优秀论文/2011年优秀论文; membership and MF41 OLE audit,Directory and filename semantics identify an award-paper research object; binary DOC content remains unextracted and therefore requires a future DOC contract,READY_FOR_DOC_CONTRACT,0
CUMCM-2011-C-003,LEGACY_DOC,PAPER,UNRESOLVED,PAPER,1,MEDIUM,filename=2011C：企业退休职工养老金制度的改革 (2).doc; parent=2011年数学建模国赛真题+优秀论文/2011年优秀论文; membership and MF41 OLE audit,Directory and filename semantics identify an award-paper research object; binary DOC content remains unextracted and therefore requires a future DOC contract,READY_FOR_DOC_CONTRACT,0
CUMCM-2011-D-001,LEGACY_DOC,PAPER,UNRESOLVED,PAPER,1,MEDIUM,filename=一类肠衣搭配优化问题.doc; parent=2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011D：天然肠衣搭配问题(1); membership and MF41 OLE audit,Directory and filename semantics identify an award-paper research object; binary DOC content remains unextracted and therefore requires a future DOC contract,READY_FOR_DOC_CONTRACT,0
CUMCM-2011-D-007,LEGACY_DOC,PAPER,UNRESOLVED,PAPER,1,MEDIUM,filename=2011D：天然肠衣搭配问题 (4).doc; parent=2011年数学建模国赛真题+优秀论文/2011年优秀论文; membership and MF41 OLE audit,Directory and filename semantics identify an award-paper research object; binary DOC content remains unextracted and therefore requires a future DOC contract,READY_FOR_DOC_CONTRACT,0
CUMCM-2011-D-013,LEGACY_DOC,PAPER,UNRESOLVED,PAPER,1,MEDIUM,filename=2011D：天然肠衣搭配问题 (2).doc; parent=2011年数学建模国赛真题+优秀论文/2011年优秀论文; membership and MF41 OLE audit,Directory and filename semantics identify an award-paper research object; binary DOC content remains unextracted and therefore requires a future DOC contract,READY_FOR_DOC_CONTRACT,0
CUMCM-2011-D-038,GITKEEP_ANOMALY,SUPPORTING_MATERIAL,UNRESOLVED,SUPPORTING_MATERIAL,0,HIGH,only PaperFileMembership is one-byte .gitkeep; parent contains no real content member,identity-only marker is not an Artifact candidate; preserve G3 identity while governing as ineligible supporting material,G3_GOVERNANCE_ANOMALY,0
CUMCM-2012-A-003,LEGACY_DOC,PAPER,UNRESOLVED,PAPER,1,MEDIUM,filename=2012A：葡萄酒的评价 (4).doc; parent=2012年数学建模国赛真题+优秀论文/2012年优秀论文; membership and MF41 OLE audit,Directory and filename semantics identify an award-paper research object; binary DOC content remains unextracted and therefore requires a future DOC contract,READY_FOR_DOC_CONTRACT,0
CUMCM-2012-B-005,LEGACY_DOC,PAPER,UNRESOLVED,PAPER,1,MEDIUM,filename=基于递归算法的建筑外表面光伏电池布局优化分析与设计.doc; parent=2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012B：太阳能小屋的设计 (5); membership and MF41 OLE audit,Directory and filename semantics identify an award-paper research object; binary DOC content remains unextracted and therefore requires a future DOC contract,READY_FOR_DOC_CONTRACT,0
CUMCM-2012-B-007,LEGACY_DOC,PAPER,UNRESOLVED,PAPER,1,MEDIUM,filename=10121505.doc; parent=2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012B：太阳能小屋的设计 (2); membership and MF41 OLE audit,Directory and filename semantics identify an award-paper research object; binary DOC content remains unextracted and therefore requires a future DOC contract,READY_FOR_DOC_CONTRACT,0
CUMCM-2012-C-001,IMAGE_SEQUENCE,PAPER,UNRESOLVED,SUPPORTING_MATERIAL,0,HIGH,source container sibling/code context; image pages contain plots or figures rather than paper sections,short image/plot sequence with code or shared supporting-file context and no independent paper structure,CLOSED_INELIGIBLE,0
CUMCM-2012-C-003,LEGACY_DOC,PAPER,UNRESOLVED,PAPER,1,MEDIUM,filename=2012C：脑卒中发病环境因素分析及干预 (2).doc; parent=2012年数学建模国赛真题+优秀论文/2012年优秀论文; membership and MF41 OLE audit,Directory and filename semantics identify an award-paper research object; binary DOC content remains unextracted and therefore requires a future DOC contract,READY_FOR_DOC_CONTRACT,0
CUMCM-2012-C-004,LEGACY_DOC,PAPER,UNRESOLVED,PAPER,1,MEDIUM,filename=基于逐步回归的脑卒中发病环境因素分析及干预模型.doc; parent=2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012C：脑卒中发病环境因素分析及干预 (1); membership and MF41 OLE audit,Directory and filename semantics identify an award-paper research object; binary DOC content remains unextracted and therefore requires a future DOC contract,READY_FOR_DOC_CONTRACT,0
CUMCM-2012-D-001,LEGACY_DOC,PAPER,UNRESOLVED,PAPER,1,MEDIUM,filename=2012D：机器人避障问题 (2).doc; parent=2012年数学建模国赛真题+优秀论文/2012年优秀论文; membership and MF41 OLE audit,Directory and filename semantics identify an award-paper research object; binary DOC content remains unextracted and therefore requires a future DOC contract,READY_FOR_DOC_CONTRACT,0
