paper_id,sample_order,stratum,risk_flags,selected_page_A,selected_page_B,selected_page_C,overall_severity,reviewer_comment,artifact_set_id,formal_body_path,formal_body_sha256,formal_body_size,formal_body_character_count,formal_body_source_page_marker_count,formal_body_first_source_page_marker,formal_body_last_source_page_marker,formal_body_exists,formal_body_nonempty,formal_body_substantive_content_present,selected_page_marker_present_A,selected_page_marker_present_B,selected_page_marker_present_C,formal_page_A_content_present,formal_page_A_content_char_count,formal_page_A_content_line_count,formal_page_A_content_sha256,formal_page_B_content_present,formal_page_B_content_char_count,formal_page_B_content_line_count,formal_page_B_content_sha256,formal_page_C_content_present,formal_page_C_content_char_count,formal_page_C_content_line_count,formal_page_C_content_sha256,excerpt_A_exists,excerpt_A_nonempty,excerpt_A_char_count,excerpt_A_sha256,excerpt_A_content_present,excerpt_B_exists,excerpt_B_nonempty,excerpt_B_char_count,excerpt_B_sha256,excerpt_B_content_present,excerpt_C_exists,excerpt_C_nonempty,excerpt_C_char_count,excerpt_C_sha256,excerpt_C_content_present,identity_binding_valid,membership_binding_valid,source_binding_valid,source_review_png_nonempty,human_symptom_supported,root_cause_category,root_cause_confidence,recommended_minimal_reentry_stage,requires_human_rereview,page_mapping_note,formal_quality,formal_source_map_version,notes
CUMCM-2020-D-003,5,Q3_OCR_DERIVED,LONG_OCR_HEAVY,1,68,135,MAJOR,长篇OCR样本首/中/末页均存在并与源页面主题一致，未见明显页序错乱或末尾截断；正文和代码主体可辨，但中后部代码/符号存在局部OCR误识别。关键变量、坐标或运算符部分被改写并影响模型含义。,derived/scale/papers/CUMCM-2020-D-003,derived/scale/papers/CUMCM-2020-D-003/paper.md,90CA9CFE4E538A72291F2133FDF3A1B289BC8F88EC983F7DA9BB458BB1D7F559,107265,86076,0,NONE,NONE,1,1,1,0,0,0,0,0,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,0,0,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,0,0,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,1,1,5561,A369D5815F942FFCEFE6A29BF207ADB295C76DA2DA40FF8C4B92335CA0BA4264,1,1,1,4627,74316CA9CD67B316CCD198165268A328FEA5815A327DFF3FA33EB674DBE391FD,1,1,1,1498,B7C115A3F8EE1CC7787D0273B161B88018F4D351EDC0F7C2B5D864EE2FA56DAB,1,1,1,1,1,1,TRUE_CONTENT_QUALITY_MAJOR,HIGH,G8-Q3-MINIMAL-FORMAL-BODY-REPAIR,1,No source_page markers exist in the formal body; no nearest marker or page offset is determinable.,Q3,g8-q3-inventory-v2,"Formal body and packet excerpts contain substantive text. The reviewer comment directly reports OCR/symbol errors affecting model meaning; this is a content-quality symptom. The formal body has zero source_page markers, so page-local mapping is unavailable, but no page offset is determinable and mapping mismatch is not asserted."
CUMCM-1999-B-003,19,OTHER_FORMAL_DERIVED,GOVERNED_DUPLICATE,1,3,6,MAJOR,源页面明显包含实质正文、图形/数学内容，但三个artifact excerpt基本只剩# Extracted Paper和source_page页标记，没有对应正文文本。按G11“重要章节/大段内容缺失”定义，回查该governed-duplicate artifact的正文生成/绑定是否为空。,derived/scale/papers/CUMCM-1999-B-003,derived/scale/papers/CUMCM-1999-B-003/paper.md,3556B4100929F4D56319AA760B104EE0CA947F3D5B03F13F7A0DF601179225BE,205,180,6,1,6,1,1,0,1,1,1,0,0,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,0,0,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,0,0,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,1,1,735,2CD422343E515EE276FE916E172E525D822267B86B3C689F006E3E9019859B99,0,1,1,676,4020D01540BB463E941C6943E2F3C1395ECE0B56E8F7D4B74C3F9EBFAB986762,0,1,1,584,5F85D5337C3FE24B98770FBFE9B610F94C6C0B3E256FD708A6DA5B505CCAAD06,0,1,1,1,1,1,FORMAL_ARTIFACT_PAGE_CONTENT_MISSING,HIGH,G8-FORMAL-ARTIFACT-MINIMAL-BODY-REPAIR,1,Selected-page markers are present and no offset is observed.,Q0,g8_file_source_map.csv,"Existing selected-page PNGs and the human comment indicate substantive source material, while all selected formal page-local segments are empty and all packet excerpts are structural-only. The governed-duplicate risk flag is retained as context; identity, membership and source bindings validate, so no duplicate binding defect is asserted."
CUMCM-2008-C-004,20,OTHER_FORMAL_DERIVED,GOVERNED_DUPLICATE,1,7,14,MAJOR,源页面包含连续正文和公式/模型内容，但artifact excerpt仅有页码标记，未提供对应正文，存在明显实质内容缺失。建议检查formal artifact是否生成了空正文。,derived/scale/papers/CUMCM-2008-C-004,derived/scale/papers/CUMCM-2008-C-004/paper.md,F501017C13D9B29686DD922D65EDC0CD658E90E82A5785E427A2D829537C8626,458,401,14,1,14,1,1,0,1,1,1,0,0,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,0,0,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,0,0,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,1,1,961,CA2828CE15E7A0B278B2F2CAEADEF8025C10424D0CF62E4A3CEC9DCD1A14E4B2,0,1,1,791,D69B7183246AFA3D2A5176869F28D29ED1188DA99E90EB0EA3AE5C24CF48E5DC,0,1,1,589,B4C7BA0F963AB298F6C170210CEA4CD2E2B4052B3C76D1FDB761472091BDDB81,0,1,1,1,1,1,FORMAL_ARTIFACT_PAGE_CONTENT_MISSING,HIGH,G8-FORMAL-ARTIFACT-MINIMAL-BODY-REPAIR,1,Selected-page markers are present and no offset is observed.,Q0,g8_file_source_map.csv,"Existing selected-page PNGs and the human comment indicate substantive source material, while all selected formal page-local segments are empty and all packet excerpts are structural-only. The governed-duplicate risk flag is retained as context; identity, membership and source bindings validate, so no duplicate binding defect is asserted."
CUMCM-1992-A-003,23,OTHER_FORMAL_DERIVED,GOVERNED_DUPLICATE,1,3,5,MAJOR,源页面有连续正文和大量公式，但artifact excerpt只包含source_page标记，没有实际论文文本。属于明显大段内容缺失，建议回查formal artifact正文是否为空。,derived/scale/papers/CUMCM-1992-A-003,derived/scale/papers/CUMCM-1992-A-003/paper.md,1D9182549363CD07A8F3D657C2AD60D5197D3991577AD22ACB1BFC0A2C456E59,174,153,5,1,5,1,1,0,1,1,1,0,0,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,0,0,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,0,0,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,1,1,711,F8E7C42B4003BD042A59E66CDA88BC2DAFFD4A4E8EAFF77765F12758DAF8CB61,0,1,1,651,A28F3C9F80BF2ECF7E0919C6EE42221DC7F69CBBEF489F9C8E8CC7C91E9D8D6B,0,1,1,588,7DAE5B696953194B0188F6A5B75D93236CE8B1510438FBD114CB3076D5B46E53,0,1,1,1,1,1,FORMAL_ARTIFACT_PAGE_CONTENT_MISSING,HIGH,G8-FORMAL-ARTIFACT-MINIMAL-BODY-REPAIR,1,Selected-page markers are present and no offset is observed.,Q0,g8_file_source_map.csv,"Existing selected-page PNGs and the human comment indicate substantive source material, while all selected formal page-local segments are empty and all packet excerpts are structural-only. The governed-duplicate risk flag is retained as context; identity, membership and source bindings validate, so no duplicate binding defect is asserted."
CUMCM-1993-B-001,24,OTHER_FORMAL_DERIVED,GOVERNED_DUPLICATE,1,1,2,MAJOR,源页面可见正文和表格/排名数据，但artifact excerpt仅有页码标记，实际正文为空，无法完成内容连续性、文字可读性和表格内容核验。,derived/scale/papers/CUMCM-1993-B-001,derived/scale/papers/CUMCM-1993-B-001/paper.md,96063CBA314A4F2CBA5DBE2319045D111F6D07789F83372C519D124C7AA4C1B2,81,72,2,1,2,1,1,0,1,1,1,0,0,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,0,0,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,0,0,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,1,1,637,AE760E2219CC6DA6417F9B3F1D3FB3B4E511463D4CAFF417497B62EA724A1C94,0,1,1,638,D8BDBD177D12EE9DF005806B96D2B10BD029CBC11112EFD65F79311B0D27CB03,0,1,1,600,C9B592B00157AE9753CF60A24C012C25D150B722F03087A7BAA2B25B842E2468,0,1,1,1,1,1,FORMAL_ARTIFACT_PAGE_CONTENT_MISSING,HIGH,G8-FORMAL-ARTIFACT-MINIMAL-BODY-REPAIR,1,Selected-page markers are present and no offset is observed.,Q0,g8_file_source_map.csv,"Existing selected-page PNGs and the human comment indicate substantive source material, while all selected formal page-local segments are empty and all packet excerpts are structural-only. The governed-duplicate risk flag is retained as context; identity, membership and source bindings validate, so no duplicate binding defect is asserted."
CUMCM-1996-B-001,25,OTHER_FORMAL_DERIVED,GOVERNED_DUPLICATE,1,3,5,MAJOR,源页面包含完整正文与公式，但artifact excerpt没有对应文本，仅保留source_page标记。属于实质正文缺失，而非轻微OCR错误。,derived/scale/papers/CUMCM-1996-B-001,derived/scale/papers/CUMCM-1996-B-001/paper.md,1D9182549363CD07A8F3D657C2AD60D5197D3991577AD22ACB1BFC0A2C456E59,174,153,5,1,5,1,1,0,1,1,1,0,0,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,0,0,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,0,0,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,1,1,720,DFDB1B2D86D63657F8952A5F271637050E3812DC7AF3F81DBAFD5C7650F74B7A,0,1,1,660,901494772B4B410A8F69BD034FC73EADCBA0C56FBB1EBBEC3A74279DD49FE8B2,0,1,1,597,84FFB368540EF989067B8470D31195CF23F4E5197CB122C95C54A446D123E76F,0,1,1,1,1,1,FORMAL_ARTIFACT_PAGE_CONTENT_MISSING,HIGH,G8-FORMAL-ARTIFACT-MINIMAL-BODY-REPAIR,1,Selected-page markers are present and no offset is observed.,Q0,g8_file_source_map.csv,"Existing selected-page PNGs and the human comment indicate substantive source material, while all selected formal page-local segments are empty and all packet excerpts are structural-only. The governed-duplicate risk flag is retained as context; identity, membership and source bindings validate, so no duplicate binding defect is asserted."
CUMCM-1997-A-008,26,OTHER_FORMAL_DERIVED,GOVERNED_DUPLICATE,1,3,5,MAJOR,源页面包含正文和数学公式，artifact excerpt基本为空，仅有source_page标记；抽样内容无法在formal artifact中找到对应文本。,derived/scale/papers/CUMCM-1997-A-008,derived/scale/papers/CUMCM-1997-A-008/paper.md,1D9182549363CD07A8F3D657C2AD60D5197D3991577AD22ACB1BFC0A2C456E59,174,153,5,1,5,1,1,0,1,1,1,0,0,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,0,0,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,0,0,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,1,1,714,1F612904977F43B4F2E0F10DC18A40516C229E17CD94ED4E204EA693475119FA,0,1,1,654,48B2BA6F3411CADBC16D1A277EDDCE2EAB0B122ABBF17531291537DD7A91AB24,0,1,1,591,A5A81144EB27E87242957B9CD5245E3D33235EA25E5F6F77D932CF742AA6B6D5,0,1,1,1,1,1,FORMAL_ARTIFACT_PAGE_CONTENT_MISSING,HIGH,G8-FORMAL-ARTIFACT-MINIMAL-BODY-REPAIR,1,Selected-page markers are present and no offset is observed.,Q0,g8_file_source_map.csv,"Existing selected-page PNGs and the human comment indicate substantive source material, while all selected formal page-local segments are empty and all packet excerpts are structural-only. The governed-duplicate risk flag is retained as context; identity, membership and source bindings validate, so no duplicate binding defect is asserted."
CUMCM-1998-A-007,27,OTHER_FORMAL_DERIVED,GOVERNED_DUPLICATE,1,3,5,MAJOR,源页面可见正文、公式及数据表，而artifact excerpt只有页标记、没有实质文本，存在明显正文/表格内容缺失。,derived/scale/papers/CUMCM-1998-A-007,derived/scale/papers/CUMCM-1998-A-007/paper.md,1D9182549363CD07A8F3D657C2AD60D5197D3991577AD22ACB1BFC0A2C456E59,174,153,5,1,5,1,1,0,1,1,1,0,0,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,0,0,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,0,0,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,1,1,715,50D1C4DCD5468A032E05F0828134930316E7F5259EE1E01ABA1716A68E45B244,0,1,1,655,A8202F4A54C661F1B6E22F234D70C27F3CE40FEF1753D914364ACA4D2BDBAA25,0,1,1,592,05344292DBB5544F523F92263C730615EE2AA43AE7E78A730808C341D672D4EB,0,1,1,1,1,1,FORMAL_ARTIFACT_PAGE_CONTENT_MISSING,HIGH,G8-FORMAL-ARTIFACT-MINIMAL-BODY-REPAIR,1,Selected-page markers are present and no offset is observed.,Q0,g8_file_source_map.csv,"Existing selected-page PNGs and the human comment indicate substantive source material, while all selected formal page-local segments are empty and all packet excerpts are structural-only. The governed-duplicate risk flag is retained as context; identity, membership and source bindings validate, so no duplicate binding defect is asserted."
CUMCM-2000-A-005,28,OTHER_FORMAL_DERIVED,GOVERNED_DUPLICATE,1,5,9,MAJOR,DNA分类论文源页面包含正文、流程图和公式，但artifact excerpt仅有source_page标记，没有对应正文，属于明显内容缺失。,derived/scale/papers/CUMCM-2000-A-005,derived/scale/papers/CUMCM-2000-A-005/paper.md,1C2FC324063A906FF208763D2826E0A769B059290333B0542241C22CD9C91DE8,298,261,9,1,9,1,1,0,1,1,1,0,0,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,0,0,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,0,0,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,1,1,819,DC7FBB649112A21AB23898EC74EACC677A7BF6B7864589CAA42D6BE8E00FCAE3,0,1,1,704,F5B87A6B33C8CCC9492FB54D652339C6B07467328768930CFB7DD198096D7011,0,1,1,586,93295FF2E828DF4B907159E8F1BA7BE8FCE82E571D1F99558540FC424C730FBF,0,1,1,1,1,1,FORMAL_ARTIFACT_PAGE_CONTENT_MISSING,HIGH,G8-FORMAL-ARTIFACT-MINIMAL-BODY-REPAIR,1,Selected-page markers are present and no offset is observed.,Q0,g8_file_source_map.csv,"Existing selected-page PNGs and the human comment indicate substantive source material, while all selected formal page-local segments are empty and all packet excerpts are structural-only. The governed-duplicate risk flag is retained as context; identity, membership and source bindings validate, so no duplicate binding defect is asserted."
CUMCM-2001-A-001,29,OTHER_FORMAL_DERIVED,GOVERNED_DUPLICATE,1,3,6,MAJOR,源页面包含正文、图形及英文尾页内容，但artifact excerpt没有实际论文文本，仅有页标记，按G11标准属于material missing section。,derived/scale/papers/CUMCM-2001-A-001,derived/scale/papers/CUMCM-2001-A-001/paper.md,3556B4100929F4D56319AA760B104EE0CA947F3D5B03F13F7A0DF601179225BE,205,180,6,1,6,1,1,0,1,1,1,0,0,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,0,0,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,0,0,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,1,1,740,1C1F551AB0710DE26C0D2493C00FC61271125C6ADBDFC89C8BADA557469FFF7A,0,1,1,681,458F23DF9F51D9D63B2226E33E25D79B8032E94A6D32F1854C6B77BF9A5C01C8,0,1,1,589,F40FC43B45D0A5FE2C1A98BF8D9E5AA69DA3F6BCAEE71ADEF01877B06B8E1409,0,1,1,1,1,1,FORMAL_ARTIFACT_PAGE_CONTENT_MISSING,HIGH,G8-FORMAL-ARTIFACT-MINIMAL-BODY-REPAIR,1,Selected-page markers are present and no offset is observed.,Q0,g8_file_source_map.csv,"Existing selected-page PNGs and the human comment indicate substantive source material, while all selected formal page-local segments are empty and all packet excerpts are structural-only. The governed-duplicate risk flag is retained as context; identity, membership and source bindings validate, so no duplicate binding defect is asserted."
CUMCM-2002-B-005,30,OTHER_FORMAL_DERIVED,GOVERNED_DUPLICATE,1,4,7,MAJOR,源页面包含彩票模型正文和公式，artifact excerpt只保留页标记、没有实质文本，存在明显大段正文缺失。,derived/scale/papers/CUMCM-2002-B-005,derived/scale/papers/CUMCM-2002-B-005/paper.md,845EAC42B8D7C797245E742A556F6F7B87F8594979C758FB43031CD6D48DB563,236,207,7,1,7,1,1,0,1,1,1,0,0,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,0,0,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,0,0,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,1,1,762,15F0C7B354304299636FEE9DD69326B8AFB883B8EC6A4786FD7F02FE68569056,0,1,1,675,62464BBE5A2F1D4BF8EC8CE8B5D401263D28893062DE66439CBBA896E96D8C90,0,1,1,584,1157307EF85FC301868726A315E1E95540E6E83B236FA4F0EC40B9BE74BB95FE,0,1,1,1,1,1,FORMAL_ARTIFACT_PAGE_CONTENT_MISSING,HIGH,G8-FORMAL-ARTIFACT-MINIMAL-BODY-REPAIR,1,Selected-page markers are present and no offset is observed.,Q0,g8_file_source_map.csv,"Existing selected-page PNGs and the human comment indicate substantive source material, while all selected formal page-local segments are empty and all packet excerpts are structural-only. The governed-duplicate risk flag is retained as context; identity, membership and source bindings validate, so no duplicate binding defect is asserted."
