paper_id,year,problem,primary_file,member_file_count,member_files,parent_directory,filename_signals,sibling_signals,source_metadata_signals,existing_text_signal,paper_signal,problem_package_signal,supporting_material_signal,recommended_subject_type,confidence,human_review_required,decision_reason,review_priority
CUMCM-1993-A-001,1993,A,1993年数学建模国赛真题+优秀论文/1993年国赛优秀论文/1993年A题优秀论文① 非线性交调的频率设计.pdf,2,1993年数学建模国赛真题+优秀论文/1993年国赛优秀论文/1993年A题优秀论文① 非线性交调的频率设计.pdf;1993年数学建模国赛真题+优秀论文/1993年国赛优秀论文/1993年A题优秀论文② 非线性交调的频率设计.pdf,1993年数学建模国赛真题+优秀论文/1993年国赛优秀论文,award-paper/team/institution naming,multiple candidate members,extension=.pdf;size=134721;role=primary,existing PDF audit available,paper/team semantic signal present,not a direct problem-package filename,non-PDF format still requires governance,PAPER,MEDIUM,1,"Paper-like directory or team/title signal exists, but unsupported/duplicate membership prevents automatic formal classification.",P2
CUMCM-2013-A-002,2013,A,2013年数学建模国赛真题+优秀论文/2013年国赛A题.doc,1,2013年数学建模国赛真题+优秀论文/2013年国赛A题.doc,2013年数学建模国赛真题+优秀论文,problem statement or appendix naming,single membership; sibling review required,extension=.doc;size=260096;role=primary,PDF audit unavailable for non-PDF source,no award-paper/team signal,strong contest-problem naming signal,no supporting-code signal,PROBLEM_PACKAGE,HIGH,1,Filename explicitly names a contest problem or appendix; recommend removing from Paper processing after human confirmation.,P1
CUMCM-2013-A-006,2013,A,2013年数学建模国赛真题+优秀论文/2013年国赛A题附录.doc,1,2013年数学建模国赛真题+优秀论文/2013年国赛A题附录.doc,2013年数学建模国赛真题+优秀论文,problem statement or appendix naming,single membership; sibling review required,extension=.doc;size=24064;role=primary,PDF audit unavailable for non-PDF source,no award-paper/team signal,strong contest-problem naming signal,no supporting-code signal,PROBLEM_PACKAGE,HIGH,1,Filename explicitly names a contest problem or appendix; recommend removing from Paper processing after human confirmation.,P1
CUMCM-2013-C-001,2013,C,2013年数学建模国赛真题+优秀论文/2013C：古塔的变形/qvlv.asv,1,2013年数学建模国赛真题+优秀论文/2013C：古塔的变形/qvlv.asv,2013年数学建模国赛真题+优秀论文/2013C：古塔的变形,MATLAB autosave .asv under problem directory,single membership; sibling review required,extension=.asv;size=2008;role=primary,PDF audit unavailable for non-PDF source,no paper text signal; code-like extension,problem-directory sibling context,strong supporting-code signal,SUPPORTING_MATERIAL,HIGH,1,Existing extension and problem-directory placement indicate supporting computational material; formal subject decision remains manual.,P2
CUMCM-2013-C-002,2013,C,2013年数学建模国赛真题+优秀论文/2013C：古塔的变形/qvlv1.asv,1,2013年数学建模国赛真题+优秀论文/2013C：古塔的变形/qvlv1.asv,2013年数学建模国赛真题+优秀论文/2013C：古塔的变形,MATLAB autosave .asv under problem directory,single membership; sibling review required,extension=.asv;size=2107;role=primary,PDF audit unavailable for non-PDF source,no paper text signal; code-like extension,problem-directory sibling context,strong supporting-code signal,SUPPORTING_MATERIAL,HIGH,1,Existing extension and problem-directory placement indicate supporting computational material; formal subject decision remains manual.,P2
CUMCM-2013-C-003,2013,C,2013年数学建模国赛真题+优秀论文/2013C：古塔的变形/niuqv.asv,1,2013年数学建模国赛真题+优秀论文/2013C：古塔的变形/niuqv.asv,2013年数学建模国赛真题+优秀论文/2013C：古塔的变形,MATLAB autosave .asv under problem directory,single membership; sibling review required,extension=.asv;size=13046;role=primary,PDF audit unavailable for non-PDF source,no paper text signal; code-like extension,problem-directory sibling context,strong supporting-code signal,SUPPORTING_MATERIAL,HIGH,1,Existing extension and problem-directory placement indicate supporting computational material; formal subject decision remains manual.,P2
CUMCM-2013-C-004,2013,C,2013年数学建模国赛真题+优秀论文/2013C：古塔的变形/fangchengnihe.asv,1,2013年数学建模国赛真题+优秀论文/2013C：古塔的变形/fangchengnihe.asv,2013年数学建模国赛真题+优秀论文/2013C：古塔的变形,MATLAB autosave .asv under problem directory,single membership; sibling review required,extension=.asv;size=2491;role=primary,PDF audit unavailable for non-PDF source,no paper text signal; code-like extension,problem-directory sibling context,strong supporting-code signal,SUPPORTING_MATERIAL,HIGH,1,Existing extension and problem-directory placement indicate supporting computational material; formal subject decision remains manual.,P2
CUMCM-2013-C-005,2013,C,2013年数学建模国赛真题+优秀论文/2013C：古塔的变形/ff2.asv,1,2013年数学建模国赛真题+优秀论文/2013C：古塔的变形/ff2.asv,2013年数学建模国赛真题+优秀论文/2013C：古塔的变形,MATLAB autosave .asv under problem directory,single membership; sibling review required,extension=.asv;size=119;role=primary,PDF audit unavailable for non-PDF source,no paper text signal; code-like extension,problem-directory sibling context,strong supporting-code signal,SUPPORTING_MATERIAL,HIGH,1,Existing extension and problem-directory placement indicate supporting computational material; formal subject decision remains manual.,P2
CUMCM-2013-C-006,2013,C,2013年数学建模国赛真题+优秀论文/2013年国赛C题.doc,1,2013年数学建模国赛真题+优秀论文/2013年国赛C题.doc,2013年数学建模国赛真题+优秀论文,problem statement or appendix naming,single membership; sibling review required,extension=.doc;size=34304;role=primary,PDF audit unavailable for non-PDF source,no award-paper/team signal,strong contest-problem naming signal,no supporting-code signal,PROBLEM_PACKAGE,HIGH,1,Filename explicitly names a contest problem or appendix; recommend removing from Paper processing after human confirmation.,P1
CUMCM-2013-C-007,2013,C,2013年数学建模国赛真题+优秀论文/2013C：古塔的变形/pingmiannihe.asv,1,2013年数学建模国赛真题+优秀论文/2013C：古塔的变形/pingmiannihe.asv,2013年数学建模国赛真题+优秀论文/2013C：古塔的变形,MATLAB autosave .asv under problem directory,single membership; sibling review required,extension=.asv;size=13138;role=primary,PDF audit unavailable for non-PDF source,no paper text signal; code-like extension,problem-directory sibling context,strong supporting-code signal,SUPPORTING_MATERIAL,HIGH,1,Existing extension and problem-directory placement indicate supporting computational material; formal subject decision remains manual.,P2
