logical_document_id,title,role,problem_code,problem_id,corpus_status,evidence_status,completeness_status,representations,lineage,authors
logical_1f891914fd7bf01d,利用切片的二维空间相关操作实现血管的三维重建,award_paper,A,problem_cumcm_2001_a,included,key_content_verified,complete,1,lineage_1f891914fd7bf01d,胡亦斌;向杰;程翔
logical_03e9688bd79e07e3,管道切片的三维重建,award_paper,A,problem_cumcm_2001_a,included,key_content_verified,complete,2,lineage_03e9688bd79e07e3,廖武鹏;邓俊晔;王丹
logical_d404634e2d7d2e66,血管三维重建的问题,expert_commentary,A,problem_cumcm_2001_a,included,key_content_verified,complete,2,,汪国昭;陈凌钧
logical_b37cf21da8c08a52,血管切片的三维重建,award_paper,A,problem_cumcm_2001_a,included,key_content_verified,complete,2,lineage_b37cf21da8c08a52,柳海东;陈璐;江浩
logical_b28717717100c6b5,血管的三维重建,award_paper,A,problem_cumcm_2001_a,included,key_content_verified,complete,2,lineage_b28717717100c6b5,徐晋;刘雪峰;柏容刚
logical_9c2d15b107bbd0de,血管管道的三维重建,award_paper,A,problem_cumcm_2001_a,included,key_content_verified,complete,3,lineage_9c2d15b107bbd0de,丁峰平;周立丰;李孝朋
logical_3e938106164daf92,旋转抛物面聚光效果的研究,other_related,unknown,,excluded_wrong_year,verified,complete,1,,张景华;陈务深
logical_4df64eb5eab07f31,公交车调度,award_paper,B,problem_cumcm_2001_bus_dispatch,included,key_content_verified,complete,1,lineage_4df64eb5eab07f31,吕鹏;张文夫;雷鹏
logical_7bb06c3eccf13030,公交车调度优化模型,award_paper,B,problem_cumcm_2001_bus_dispatch,included,key_content_verified,complete,1,lineage_7bb06c3eccf13030,李成功;脱小伟;郭尚彬
logical_783ce2e56f5ea80d,公交车调度的规划数学模型,award_paper,B,problem_cumcm_2001_bus_dispatch,included,key_content_verified,complete,3,lineage_783ce2e56f5ea80d,薄立军;要尉鹏;王艳辉
logical_9aa3aaf903cfcc64,公交车调度问题的数学模型,expert_commentary,B,problem_cumcm_2001_bus_dispatch,included,key_content_verified,complete,1,,谭泽光;姜启源
logical_6da43dd4107b0344,公交车调度问题的研究,award_paper,B,problem_cumcm_2001_bus_dispatch,included,key_content_verified,complete,1,lineage_6da43dd4107b0344,董强;刘超慧;马熠
logical_d3d198f0270635a9,关于公交车调度的优化问题,award_paper,B,problem_cumcm_2001_bus_dispatch,included,key_content_verified,complete,2,lineage_d3d198f0270635a9,傅昌建;杨彩霞;秦敏
logical_13057462f204ca67,对于公交汽车调度问题的求解,award_paper,B,problem_cumcm_2001_bus_dispatch,included,key_content_verified,complete,1,lineage_13057462f204ca67,张无非;张驰;严奇琦
logical_e29db75abed0211d,2001年A题：血管的三维重建,problem_statement,A,problem_cumcm_2001_a,included,verified,complete,1,,
logical_54cf41eb8e58af85,2001年B题：公交车调度,problem_statement,B,problem_cumcm_2001_bus_dispatch,included,verified,complete,1,,
logical_c0daa2d806db327f,2001年C题：基金使用计划,problem_statement,C,problem_cumcm_2001_c,included,verified,complete,1,,
logical_7f549e8046e137c7,2001年D题：公交车调度,problem_statement,D,problem_cumcm_2001_bus_dispatch,included,verified,complete,1,,
logical_d383a987883ee960,“基金使用计划”模型和评述,expert_commentary,C,problem_cumcm_2001_c,pending_manual_review,unverified,unknown,1,,
logical_55487798ff640ae6,基金存储方案,award_paper,C,problem_cumcm_2001_c,pending_manual_review,unverified,unknown,1,lineage_55487798ff640ae6,
logical_b54450ded6f9e2d6,基金最佳使用计划,award_paper,C,problem_cumcm_2001_c,pending_manual_review,unverified,unknown,1,lineage_b54450ded6f9e2d6,
