year,relative_path,filename,extension,sha256,file_size,pdf_page_count,document_role,object_kind,problem_code,logical_document_id,representation_id
2010,2010年数学建模国赛真题+优秀论文/2010年优秀论文/2010A：倾斜卧式储油罐油量标定的实用方法.pdf,2010A：倾斜卧式储油罐油量标定的实用方法.pdf,.pdf,88c6c782abd276280b59807b2108d4becd2c6b25d1f3e861f44b8047635c81c1,482074,21,award_paper,solution_paper,A,logical_0042f2c88ed20960,representation_0042f2c88ed20960
2010,2010年数学建模国赛真题+优秀论文/2010年优秀论文/2010A：储油罐的变位识别与罐容表标定 (2).pdf,2010A：储油罐的变位识别与罐容表标定 (2).pdf,.pdf,69a3de2f892d270e60065e24d46cc2ba9ed432f31b854b576d5b67cffca515bd,7753855,37,award_paper,solution_paper,A,logical_01d5cca33c08c472,representation_01d5cca33c08c472
2010,2010年数学建模国赛真题+优秀论文/2010年优秀论文/2010A：储油罐的变位识别与罐容表标定 (3).pdf,2010A：储油罐的变位识别与罐容表标定 (3).pdf,.pdf,91816d1197a09392ecd177171037e1bf302f4e1d87e769dbcc750015d8aca997,1332134,32,award_paper,solution_paper,A,logical_0622672c523999d4,representation_0622672c523999d4
2010,2010年数学建模国赛真题+优秀论文/2010年优秀论文/2010A：储油罐的变位识别与罐容表标定 (4).pdf,2010A：储油罐的变位识别与罐容表标定 (4).pdf,.pdf,c01dffa58041769dc6dcda69d53d63709b059106443632f6552d9f7199c6af03,471205,20,award_paper,solution_paper,A,logical_0b209701c88bc5e2,representation_0b209701c88bc5e2
2010,2010年数学建模国赛真题+优秀论文/2010年优秀论文/2010A：储油罐的变位识别与罐容表标定.pdf,2010A：储油罐的变位识别与罐容表标定.pdf,.pdf,82d81045acec41137b7306ad1af0acd0aff2948811ddc58a8e8f31caa0a15649,3378602,25,award_paper,solution_paper,A,logical_0c6098e80d3ca800,representation_0c6098e80d3ca800
2010,2010年数学建模国赛真题+优秀论文/2010年优秀论文/2010A：基于数学建模的储油罐变形监测研究.pdf,2010A：基于数学建模的储油罐变形监测研究.pdf,.pdf,0d7703872c94fe411cc0b15c5419c315668235dd5f98a89b1208df173837c754,12706668,100,award_paper,solution_paper,A,logical_0f665819a29c8da6,representation_0f665819a29c8da6
2010,2010年数学建模国赛真题+优秀论文/2010年优秀论文/2010B：上海世博会于文化方面影响力评估.pdf,2010B：上海世博会于文化方面影响力评估.pdf,.pdf,f084df33b5ded56e794a494305239dc534e981ba749e55138d56d1eb7faa6c20,675445,31,award_paper,solution_paper,B,logical_183c14328424843f,representation_183c14328424843f
2010,2010年数学建模国赛真题+优秀论文/2010年优秀论文/2010B：上海世博会影响力的定量评估.pdf,2010B：上海世博会影响力的定量评估.pdf,.pdf,ea8fa7e23ceeed8b511b42aafafbcfb776dd898b94d5f72a96847df72c9f640f,6591814,29,award_paper,solution_paper,B,logical_211ff0ef01a7a3fb,representation_211ff0ef01a7a3fb
2010,2010年数学建模国赛真题+优秀论文/2010年优秀论文/2010B：世博会参观线路设计.pdf,2010B：世博会参观线路设计.pdf,.pdf,09c9bf61d9107cf2bd48d81210f070535d5bf24838f77578175ab0859b1ae74b,1003140,11,other_related,off_prompt_paper,B,logical_2653bd1318574346,representation_2653bd1318574346
2010,2010年数学建模国赛真题+优秀论文/2010年优秀论文/2010B：世博会对上海旅游业的影响研究.pdf,2010B：世博会对上海旅游业的影响研究.pdf,.pdf,3fe37fb02d0c1e91eb476e0d7eb562d36cf2fc7b7eeea87a40a31408a023bcb4,970345,28,award_paper,solution_paper,B,logical_26a24c01d14bea17,representation_26a24c01d14bea17
2010,2010年数学建模国赛真题+优秀论文/2010年优秀论文/2010B：对上海世博会文化影响力的定量评估.pdf,2010B：对上海世博会文化影响力的定量评估.pdf,.pdf,1ed4643567c104d6041eeb982ee6848a57d779ddb9bc319424e82ba6e95ad764,675485,25,award_paper,solution_paper,B,logical_287ed4a3f6b6ac32,representation_287ed4a3f6b6ac32
2010,2010年数学建模国赛真题+优秀论文/2010年优秀论文/2010C：输油管布置问题的优化模型.pdf,2010C：输油管布置问题的优化模型.pdf,.pdf,cd8c05137b85a33d87f45382c7a4e9cbc21c3cbcb74188204a54d81e10f701bc,595159,14,award_paper,solution_paper,C,logical_2ef0001e0473ea3d,representation_2ef0001e0473ea3d
2010,2010年数学建模国赛真题+优秀论文/2010年优秀论文/2010C：输油管的布置.pdf,2010C：输油管的布置.pdf,.pdf,2d3f08cf8f3f177598b62832179287c9a16ecdf4f5deaaac78e81abf58a76d2f,597096,14,award_paper,solution_paper,C,logical_2f03a3173abfbd58,representation_2f03a3173abfbd58
2010,2010年数学建模国赛真题+优秀论文/2010年优秀论文/2010C：输油管的布置模型.pdf,2010C：输油管的布置模型.pdf,.pdf,ee15113c33ce4dc31791359ae79e5f93d0f3345ba1ef0d5400f1ba666245f310,2723949,20,award_paper,solution_paper,C,logical_2f977f8f2256c611,representation_2f977f8f2256c611
2010,2010年数学建模国赛真题+优秀论文/2010年优秀论文/2010C：输油管的布置（2）.pdf,2010C：输油管的布置（2）.pdf,.pdf,d4f3a880c1be6b57bf2a088a53d17c10b31f605227af9a09ff696793e4dde2cd,650144,20,award_paper,solution_paper,C,logical_306c6ee2cd2c90b4,representation_306c6ee2cd2c90b4
2010,2010年数学建模国赛真题+优秀论文/2010年优秀论文/2010D：学生宿舍设计方案的评价.pdf,2010D：学生宿舍设计方案的评价.pdf,.pdf,d376d48658878508ef035536ea285c994922b4fa42af7b3e19479867fc286f92,1951867,32,award_paper,solution_paper,D,logical_3b3760cbf569bcd1,representation_3b3760cbf569bcd1
2010,2010年数学建模国赛真题+优秀论文/2010年优秀论文/2010D：对学生宿舍设计方案的评价 (2).pdf,2010D：对学生宿舍设计方案的评价 (2).pdf,.pdf,ff7e754840d9bca921e61ecc3a45a1c311133aa1e56a2830b21b4ff105065ec3,439423,13,award_paper,solution_paper,D,logical_3d6807b02f029995,representation_3d6807b02f029995
2010,2010年数学建模国赛真题+优秀论文/2010年优秀论文/2010D：对学生宿舍设计方案的评价.pdf,2010D：对学生宿舍设计方案的评价.pdf,.pdf,0a026ca9abffcc1cf24ade6a49531110429293e840993e9073d5e9f090dece1a,887707,20,award_paper,solution_paper,D,logical_3e1e69a7ab412673,representation_3e1e69a7ab412673
2010,2010年数学建模国赛真题+优秀论文/2010年优秀论文/2010D：对学生宿舍设计方案的评价（1）.pdf,2010D：对学生宿舍设计方案的评价（1）.pdf,.pdf,ee92e05ec0486dc6b4f8b04bf73ef6ee6b5bf73e1a9ab91d6f184e5d09e94a58,1832177,10,award_paper,solution_paper,D,logical_4a40f9de551ae92f,representation_4a40f9de551ae92f
2010,2010年数学建模国赛真题+优秀论文/2010年赛题/2010年全国大学生数学建模竞赛论文格式规范.doc,2010年全国大学生数学建模竞赛论文格式规范.doc,.doc,29d7bd4bce44bd5ac806eb07d1c72d4a26fd201e47add1fe586f3b2d3a2a5cdb,51712,,other_related,supporting_object,unknown,logical_4bcdceac177d556e,representation_4bcdceac177d556e
2010,2010年数学建模国赛真题+优秀论文/2010年赛题/2010年国赛A题.doc,2010年国赛A题.doc,.doc,2ae05cd8623c00440c874391a2eafa50d07e6cfe755818b63e8d49d14299d6c2,94720,,problem_statement,problem,A,logical_4dbbab21de9dbec3,representation_4dbbab21de9dbec3
2010,2010年数学建模国赛真题+优秀论文/2010年赛题/2010年国赛A题附件 (1).xls,2010年国赛A题附件 (1).xls,.xls,f7eb407354ca0e71effde153535cc1ec617e45a3849afac814c5c9361880558f,58880,,other_related,supporting_object,A,logical_50ec8d6863ae5671,representation_50ec8d6863ae5671
2010,2010年数学建模国赛真题+优秀论文/2010年赛题/2010年国赛A题附件 (2).xls,2010年国赛A题附件 (2).xls,.xls,fc3cf8098742f11feb5832fea8a47e5db0f862faab89e61dc0b669f0010c5777,83968,,other_related,supporting_object,A,logical_535cdbd0b6254de8,representation_535cdbd0b6254de8
2010,2010年数学建模国赛真题+优秀论文/2010年赛题/2010年国赛B题.doc,2010年国赛B题.doc,.doc,c8579ddc5ce2a3864bf8d1a8dfc9548bd88fff0e23693f26d6410065d0de6acf,35840,,problem_statement,problem,B,logical_54e2540b8543f18f,representation_54e2540b8543f18f
2010,2010年数学建模国赛真题+优秀论文/2010年赛题/2010年国赛C题.doc,2010年国赛C题.doc,.doc,8882d100e2dd210e1fde90c11ae1dc89cdde776bb101cd2dd2cdd553df1a9626,55296,,problem_statement,problem,C,logical_72f5a27feaa04a31,representation_72f5a27feaa04a31
2010,2010年数学建模国赛真题+优秀论文/2010年赛题/2010年国赛D题.doc,2010年国赛D题.doc,.doc,61340fc9229509b7bacee0ac44bacda8904ef700db0f133f9dea8102d9aa2e32,36864,,problem_statement,problem,D,logical_73fe6748953f201b,representation_73fe6748953f201b
2010,2010年数学建模国赛真题+优秀论文/2010年赛题/2010年国赛D题附件 (1).tif,2010年国赛D题附件 (1).tif,.tif,0d4546d628f9b73754f41e7341721aa3345efa1862d9166a9a2a98a58f211f50,8234904,,other_related,supporting_object,D,logical_81fcf4499e06a003,representation_81fcf4499e06a003
2010,2010年数学建模国赛真题+优秀论文/2010年赛题/2010年国赛D题附件 (2).tif,2010年国赛D题附件 (2).tif,.tif,7b26b6a3f4230e1a2dc352ac45189be50991d2e4c4ea8c90dbc56553409beb5e,8234904,,other_related,supporting_object,D,logical_83fc5bb7bfacbd99,representation_83fc5bb7bfacbd99
2010,2010年数学建模国赛真题+优秀论文/2010年赛题/2010年国赛D题附件 (3).tif,2010年国赛D题附件 (3).tif,.tif,651fe61f58ab1d418167f4d20fd763c2ace835ab757bc42c11b5abd47f41145b,8234904,,other_related,supporting_object,D,logical_8503832d33c49c5e,representation_8503832d33c49c5e
2010,2010年数学建模国赛真题+优秀论文/2010年赛题/2010年国赛D题附件 (4).tif,2010年国赛D题附件 (4).tif,.tif,de2864f39dc67e7689c89177b170a38e56c72a95c3fbf43575f56816b844c2b4,8234904,,other_related,supporting_object,D,logical_8d49d2a3d197282d,representation_8d49d2a3d197282d
