duplicate_group,file_count,paths,sha256,size_bytes
duplicate_16982e583c28dd8f,2,"[""2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题一与问题三matlab程序/biaodian.m"", ""2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序动态围堵/biaodian.m""]",818bdc2f033d9ba3c067beac5b48c18ee071999bff4503285a89ac29dbd9e92c,81
duplicate_42aef9c9a7bdd7f0,3,"[""2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题一与问题三matlab程序/biaodian2.m"", ""2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序动态围堵/biaodian2.m"", ""2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序静态围堵/biaodian2.m""]",317583926490b44ab18aaf4ff86b018ce94d3187bf4b467d3d53b42af37fe6df,80
duplicate_421642d2a5382539,3,"[""2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题一与问题三matlab程序/data.mat"", ""2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序动态围堵/data.mat"", ""2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序静态围堵/data.mat""]",6b847bbe3eb5fdb67c058b75a17a3985db1fd18b8be36b18c1333fdbc74b5bc3,4483
duplicate_03032839a6c2ff56,4,"[""2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题一与问题三matlab程序/floyd.m"", ""2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序动态围堵/floyd.m"", ""2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序静态围堵/floyd.m"", ""2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题四matlab程序/floyd.m""]",3eb82ae610959bb734509bb8da1edf8c953155c82d28fb3279ae7e490c9ac5aa,304
duplicate_939419f238daddf6,2,"[""2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题一与问题三matlab程序/juliw.asv"", ""2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题一与问题三matlab程序/juliw.m""]",d47640d640b541d550786ff098684ec5721cc640a85858d6e6fa7d033044b551,1017
duplicate_5b5ef899f5ee14f1,2,"[""2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序动态围堵/arrow.m"", ""2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序静态围堵/arrow.m""]",7c08d48d75d35fc396a653fd4073b8a37ec758cf195f638939061cac4e4335bd,54586
duplicate_59f0102d8130e675,2,"[""2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序动态围堵/bianh.m"", ""2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序静态围堵/bianh.m""]",b22c5ecd1bcd4dcb8cf2dbaf4d75215e274e6c0ec499c6d897053c88e2916ae4,208
duplicate_c0920b64583404dd,2,"[""2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序动态围堵/caif.m"", ""2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序静态围堵/caif.m""]",9e6faa3e550cda72df7cde040c6eace88fbd3c8c35ef3c125557b8759eec88b2,460
duplicate_80fc9e320d5000b0,2,"[""2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序动态围堵/chuchun.m"", ""2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序静态围堵/chuchun.m""]",208f2860344af9cbb1e984b5a98b18e4e299cb6187982b4675b0d896be44c3c4,148
duplicate_58d098926e3d3d3e,2,"[""2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序动态围堵/daoda.m"", ""2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序静态围堵/daoda.m""]",9f0a22661c3f537b794ea0e0b74b1c652afdcd252a03d1388d0cf2df328b2f57,1681
