year,logical_document_id,title,role,subtype,problem_code,corpus_eligible,carrier_count,representation_count,preferred_representation_id,page_count,sheet_count,review_status,field_status,award_level,award_level_status,source_paths,notes
2023,2023-solution-A092,定日镜场的优化设计,paper,solution_paper,A,True,1,1,rep-2023-001,53,0,manually_verified,present,unknown,not_observed,2023年数学建模国赛真题+优秀论文/2023数学建模竞赛展示论文/2023年展示论文/A092.pdf,展示论文仅认定为竞赛解答，不凭目录推断奖项等级。
2023,2023-solution-A127,定日镜场的输出功率优化,paper,solution_paper,A,True,1,1,rep-2023-002,58,0,manually_verified,present,unknown,not_observed,2023年数学建模国赛真题+优秀论文/2023数学建模竞赛展示论文/2023年展示论文/A127.pdf,展示论文仅认定为竞赛解答，不凭目录推断奖项等级。
2023,2023-solution-A165,基于机理分析法的定日镜场优化设计模型,paper,solution_paper,A,True,1,1,rep-2023-003,45,0,manually_verified,present,unknown,not_observed,2023年数学建模国赛真题+优秀论文/2023数学建模竞赛展示论文/2023年展示论文/A165.pdf,展示论文仅认定为竞赛解答，不凭目录推断奖项等级。
2023,2023-solution-A175,定日镜场的优化设计模型,paper,solution_paper,A,True,1,1,rep-2023-004,39,0,manually_verified,present,unknown,not_observed,2023年数学建模国赛真题+优秀论文/2023数学建模竞赛展示论文/2023年展示论文/A175.pdf,展示论文仅认定为竞赛解答，不凭目录推断奖项等级。
2023,2023-solution-B226,多波束测线布设,paper,solution_paper,B,True,1,1,rep-2023-005,51,0,manually_verified,present,unknown,not_observed,2023年数学建模国赛真题+优秀论文/2023数学建模竞赛展示论文/2023年展示论文/B226.pdf,展示论文仅认定为竞赛解答，不凭目录推断奖项等级。
2023,2023-solution-B311,基于主要目标法的测线设计问题,paper,solution_paper,B,True,1,1,rep-2023-006,34,0,manually_verified,present,unknown,not_observed,2023年数学建模国赛真题+优秀论文/2023数学建模竞赛展示论文/2023年展示论文/B311.pdf,展示论文仅认定为竞赛解答，不凭目录推断奖项等级。
2023,2023-solution-B477,多波束测深合理探测方案的设计及效果分析,paper,solution_paper,B,True,1,1,rep-2023-007,50,0,manually_verified,present,unknown,not_observed,2023年数学建模国赛真题+优秀论文/2023数学建模竞赛展示论文/2023年展示论文/B477.pdf,展示论文仅认定为竞赛解答，不凭目录推断奖项等级。
2023,2023-solution-C050,某商超蔬菜类商品动态定价与补货决策研究,paper,solution_paper,C,True,1,1,rep-2023-008,44,0,manually_verified,present,unknown,not_observed,2023年数学建模国赛真题+优秀论文/2023数学建模竞赛展示论文/2023年展示论文/C050.pdf,展示论文仅认定为竞赛解答，不凭目录推断奖项等级。
2023,2023-solution-C126,商超蔬菜销售数据的统计分析及建模,paper,solution_paper,C,True,1,1,rep-2023-009,74,0,manually_verified,present,unknown,not_observed,2023年数学建模国赛真题+优秀论文/2023数学建模竞赛展示论文/2023年展示论文/C126.pdf,展示论文仅认定为竞赛解答，不凭目录推断奖项等级。
2023,2023-solution-C228,基于价格弹性的蔬菜类商品自动定价与补货决策,paper,solution_paper,C,True,1,1,rep-2023-010,70,0,manually_verified,present,unknown,not_observed,2023年数学建模国赛真题+优秀论文/2023数学建模竞赛展示论文/2023年展示论文/C228.pdf,展示论文仅认定为竞赛解答，不凭目录推断奖项等级。
2023,2023-solution-C235,基于历史数据的蔬菜类商品定价与补货决策模型,paper,solution_paper,C,True,1,1,rep-2023-011,73,0,manually_verified,present,unknown,not_observed,2023年数学建模国赛真题+优秀论文/2023数学建模竞赛展示论文/2023年展示论文/C235.pdf,展示论文仅认定为竞赛解答，不凭目录推断奖项等级。
2023,2023-solution-D039,圈养湖羊空间利用率的优化问题,paper,solution_paper,D,True,1,1,rep-2023-012,31,0,manually_verified,present,unknown,not_observed,2023年数学建模国赛真题+优秀论文/2023数学建模竞赛展示论文/2023年展示论文/D039.pdf,展示论文仅认定为竞赛解答，不凭目录推断奖项等级。
2023,2023-solution-E032,基于时间序列分析预测的黄河水沙监测模型,paper,solution_paper,E,True,1,1,rep-2023-013,53,0,manually_verified,present,unknown,not_observed,2023年数学建模国赛真题+优秀论文/2023数学建模竞赛展示论文/2023年展示论文/E032.pdf,展示论文仅认定为竞赛解答，不凭目录推断奖项等级。
2023,2023-solution-E176,基于小波变换和背包模型的小浪底水库最优监测方案研究,paper,solution_paper,E,True,1,1,rep-2023-014,56,0,manually_verified,present,unknown,not_observed,2023年数学建模国赛真题+优秀论文/2023数学建模竞赛展示论文/2023年展示论文/E176.pdf,展示论文仅认定为竞赛解答，不凭目录推断奖项等级。
2023,2023-problem-A,定日镜场的优化设计,problem,problem_statement,A,False,1,1,rep-2023-015,4,0,manually_verified,present,unknown,not_observed,2023年数学建模国赛真题+优秀论文/2023赛题/A题/A题.pdf,非参赛论文对象，单独建档。
2023,2023-data-A-result2,A题问题2结果提交模板,dataset,submission_template,A,False,1,1,rep-2023-016,0,1,manually_verified,present,unknown,not_observed,2023年数学建模国赛真题+优秀论文/2023赛题/A题/result2.xlsx,非参赛论文对象，单独建档。
2023,2023-data-A-result3,A题问题3结果提交模板,dataset,submission_template,A,False,1,1,rep-2023-017,0,1,manually_verified,present,unknown,not_observed,2023年数学建模国赛真题+优秀论文/2023赛题/A题/result3.xlsx,非参赛论文对象，单独建档。
2023,2023-data-A-attachment,A题给定定日镜位置附件,dataset,problem_input_data,A,False,1,1,rep-2023-018,0,1,manually_verified,present,unknown,not_observed,2023年数学建模国赛真题+优秀论文/2023赛题/A题/附件.xlsx,非参赛论文对象，单独建档。
2023,2023-problem-B,多波束测线问题,problem,problem_statement,B,False,1,1,rep-2023-019,3,0,manually_verified,present,unknown,not_observed,2023年数学建模国赛真题+优秀论文/2023赛题/B题/B题.pdf,非参赛论文对象，单独建档。
2023,2023-data-B-result1,B题问题1结果提交模板,dataset,submission_template,B,False,1,1,rep-2023-020,0,1,manually_verified,present,unknown,not_observed,2023年数学建模国赛真题+优秀论文/2023赛题/B题/result1.xlsx,非参赛论文对象，单独建档。
2023,2023-data-B-result2,B题问题2结果提交模板,dataset,submission_template,B,False,1,1,rep-2023-021,0,1,manually_verified,present,unknown,not_observed,2023年数学建模国赛真题+优秀论文/2023赛题/B题/result2.xlsx,非参赛论文对象，单独建档。
2023,2023-data-B-attachment,B题海底深度网格附件,dataset,problem_input_data,B,False,1,1,rep-2023-022,0,1,manually_verified,present,unknown,not_observed,2023年数学建模国赛真题+优秀论文/2023赛题/B题/附件.xlsx,非参赛论文对象，单独建档。
2023,2023-problem-C,蔬菜类商品的自动定价与补货决策,problem,problem_statement,C,False,1,1,rep-2023-023,1,0,manually_verified,present,unknown,not_observed,2023年数学建模国赛真题+优秀论文/2023赛题/C题/C题.pdf,非参赛论文对象，单独建档。
2023,2023-data-C-attachment1,C题蔬菜商品信息附件,dataset,problem_input_data,C,False,1,1,rep-2023-024,0,1,manually_verified,present,unknown,not_observed,2023年数学建模国赛真题+优秀论文/2023赛题/C题/附件1.xlsx,非参赛论文对象，单独建档。
2023,2023-data-C-attachment2,C题销售流水明细附件,dataset,problem_input_data,C,False,1,1,rep-2023-025,0,1,manually_verified,present,unknown,not_observed,2023年数学建模国赛真题+优秀论文/2023赛题/C题/附件2.xlsx,非参赛论文对象，单独建档。
2023,2023-data-C-attachment3,C题批发价格附件,dataset,problem_input_data,C,False,1,1,rep-2023-026,0,1,manually_verified,present,unknown,not_observed,2023年数学建模国赛真题+优秀论文/2023赛题/C题/附件3.xlsx,非参赛论文对象，单独建档。
2023,2023-data-C-attachment4,C题近期损耗率附件,dataset,problem_input_data,C,False,1,1,rep-2023-027,0,2,manually_verified,present,unknown,not_observed,2023年数学建模国赛真题+优秀论文/2023赛题/C题/附件4.xlsx,非参赛论文对象，单独建档。
2023,2023-problem-D,圈养湖羊的空间利用率,problem,problem_statement,D,False,1,1,rep-2023-028,2,0,manually_verified,present,unknown,not_observed,2023年数学建模国赛真题+优秀论文/2023赛题/D题.pdf,非参赛论文对象，单独建档。
2023,2023-problem-E,黄河水沙监测数据分析,problem,problem_statement,E,False,1,1,rep-2023-029,1,0,manually_verified,present,unknown,not_observed,2023年数学建模国赛真题+优秀论文/2023赛题/E题/E题.pdf,非参赛论文对象，单独建档。
2023,2023-data-E-attachment1,E题2016-2021水沙监测附件,dataset,problem_input_data,E,False,1,1,rep-2023-030,0,6,manually_verified,present,unknown,not_observed,2023年数学建模国赛真题+优秀论文/2023赛题/E题/附件1.xlsx,非参赛论文对象，单独建档。
2023,2023-data-E-attachment2,E题黄河断面测量附件,dataset,problem_input_data,E,False,1,1,rep-2023-031,0,1,manually_verified,present,unknown,not_observed,2023年数学建模国赛真题+优秀论文/2023赛题/E题/附件2.xlsx,非参赛论文对象，单独建档。
2023,2023-data-E-attachment3,E题监测点附件,dataset,problem_input_data,E,False,1,1,rep-2023-032,0,1,manually_verified,present,unknown,not_observed,2023年数学建模国赛真题+优秀论文/2023赛题/E题/附件3.xlsx,非参赛论文对象，单独建档。
