paper_id,sample_order,stratum,risk_flags,selected_page_A,selected_page_B,selected_page_C,overall_severity,failed_dimensions,reviewer_comment,artifact_set_id,artifact_body_path,artifact_body_sha256,review_packet_excerpt_paths,likely_layer,triage_status
CUMCM-2020-D-003,5,Q3_OCR_DERIVED,LONG_OCR_HEAVY,1,68,135,MAJOR,"text_legibility_status,ocr_fidelity_status,math_content_status",长篇OCR样本首/中/末页均存在并与源页面主题一致，未见明显页序错乱或末尾截断；正文和代码主体可辨，但中后部代码/符号存在局部OCR误识别。关键变量、坐标或运算符部分被改写并影响模型含义。,derived/scale/papers/CUMCM-2020-D-003,derived/scale/papers/CUMCM-2020-D-003/paper.md,90CA9CFE4E538A72291F2133FDF3A1B289BC8F88EC983F7DA9BB458BB1D7F559,reports/scale/g11_manual_sample_review/05_CUMCM-2020-D-003/page_A_artifact_excerpt.txt;reports/scale/g11_manual_sample_review/05_CUMCM-2020-D-003/page_B_artifact_excerpt.txt;reports/scale/g11_manual_sample_review/05_CUMCM-2020-D-003/page_C_artifact_excerpt.txt,UNDETERMINED_PENDING_ROOT_CAUSE,PENDING_ROOT_CAUSE
CUMCM-1999-B-003,19,OTHER_FORMAL_DERIVED,GOVERNED_DUPLICATE,1,3,6,MAJOR,"continuity_status,text_legibility_status,ocr_fidelity_status,math_content_status,table_status,end_matter_status",源页面明显包含实质正文、图形/数学内容，但三个artifact excerpt基本只剩# Extracted Paper和source_page页标记，没有对应正文文本。按G11“重要章节/大段内容缺失”定义，回查该governed-duplicate artifact的正文生成/绑定是否为空。,derived/scale/papers/CUMCM-1999-B-003,derived/scale/papers/CUMCM-1999-B-003/paper.md,3556B4100929F4D56319AA760B104EE0CA947F3D5B03F13F7A0DF601179225BE,reports/scale/g11_manual_sample_review/19_CUMCM-1999-B-003/page_A_artifact_excerpt.txt;reports/scale/g11_manual_sample_review/19_CUMCM-1999-B-003/page_B_artifact_excerpt.txt;reports/scale/g11_manual_sample_review/19_CUMCM-1999-B-003/page_C_artifact_excerpt.txt,UNDETERMINED_PENDING_ROOT_CAUSE,PENDING_ROOT_CAUSE
CUMCM-2008-C-004,20,OTHER_FORMAL_DERIVED,GOVERNED_DUPLICATE,1,7,14,MAJOR,"continuity_status,text_legibility_status,ocr_fidelity_status,math_content_status,end_matter_status",源页面包含连续正文和公式/模型内容，但artifact excerpt仅有页码标记，未提供对应正文，存在明显实质内容缺失。建议检查formal artifact是否生成了空正文。,derived/scale/papers/CUMCM-2008-C-004,derived/scale/papers/CUMCM-2008-C-004/paper.md,F501017C13D9B29686DD922D65EDC0CD658E90E82A5785E427A2D829537C8626,reports/scale/g11_manual_sample_review/20_CUMCM-2008-C-004/page_A_artifact_excerpt.txt;reports/scale/g11_manual_sample_review/20_CUMCM-2008-C-004/page_B_artifact_excerpt.txt;reports/scale/g11_manual_sample_review/20_CUMCM-2008-C-004/page_C_artifact_excerpt.txt,UNDETERMINED_PENDING_ROOT_CAUSE,PENDING_ROOT_CAUSE
CUMCM-1992-A-003,23,OTHER_FORMAL_DERIVED,GOVERNED_DUPLICATE,1,3,5,MAJOR,"continuity_status,text_legibility_status,ocr_fidelity_status,math_content_status,end_matter_status",源页面有连续正文和大量公式，但artifact excerpt只包含source_page标记，没有实际论文文本。属于明显大段内容缺失，建议回查formal artifact正文是否为空。,derived/scale/papers/CUMCM-1992-A-003,derived/scale/papers/CUMCM-1992-A-003/paper.md,1D9182549363CD07A8F3D657C2AD60D5197D3991577AD22ACB1BFC0A2C456E59,reports/scale/g11_manual_sample_review/23_CUMCM-1992-A-003/page_A_artifact_excerpt.txt;reports/scale/g11_manual_sample_review/23_CUMCM-1992-A-003/page_B_artifact_excerpt.txt;reports/scale/g11_manual_sample_review/23_CUMCM-1992-A-003/page_C_artifact_excerpt.txt,UNDETERMINED_PENDING_ROOT_CAUSE,PENDING_ROOT_CAUSE
CUMCM-1993-B-001,24,OTHER_FORMAL_DERIVED,GOVERNED_DUPLICATE,1,1,2,MAJOR,"continuity_status,text_legibility_status,ocr_fidelity_status,math_content_status,table_status,end_matter_status",源页面可见正文和表格/排名数据，但artifact excerpt仅有页码标记，实际正文为空，无法完成内容连续性、文字可读性和表格内容核验。,derived/scale/papers/CUMCM-1993-B-001,derived/scale/papers/CUMCM-1993-B-001/paper.md,96063CBA314A4F2CBA5DBE2319045D111F6D07789F83372C519D124C7AA4C1B2,reports/scale/g11_manual_sample_review/24_CUMCM-1993-B-001/page_A_artifact_excerpt.txt;reports/scale/g11_manual_sample_review/24_CUMCM-1993-B-001/page_B_artifact_excerpt.txt;reports/scale/g11_manual_sample_review/24_CUMCM-1993-B-001/page_C_artifact_excerpt.txt,UNDETERMINED_PENDING_ROOT_CAUSE,PENDING_ROOT_CAUSE
CUMCM-1996-B-001,25,OTHER_FORMAL_DERIVED,GOVERNED_DUPLICATE,1,3,5,MAJOR,"continuity_status,text_legibility_status,ocr_fidelity_status,math_content_status,end_matter_status",源页面包含完整正文与公式，但artifact excerpt没有对应文本，仅保留source_page标记。属于实质正文缺失，而非轻微OCR错误。,derived/scale/papers/CUMCM-1996-B-001,derived/scale/papers/CUMCM-1996-B-001/paper.md,1D9182549363CD07A8F3D657C2AD60D5197D3991577AD22ACB1BFC0A2C456E59,reports/scale/g11_manual_sample_review/25_CUMCM-1996-B-001/page_A_artifact_excerpt.txt;reports/scale/g11_manual_sample_review/25_CUMCM-1996-B-001/page_B_artifact_excerpt.txt;reports/scale/g11_manual_sample_review/25_CUMCM-1996-B-001/page_C_artifact_excerpt.txt,UNDETERMINED_PENDING_ROOT_CAUSE,PENDING_ROOT_CAUSE
CUMCM-1997-A-008,26,OTHER_FORMAL_DERIVED,GOVERNED_DUPLICATE,1,3,5,MAJOR,"continuity_status,text_legibility_status,ocr_fidelity_status,math_content_status,end_matter_status",源页面包含正文和数学公式，artifact excerpt基本为空，仅有source_page标记；抽样内容无法在formal artifact中找到对应文本。,derived/scale/papers/CUMCM-1997-A-008,derived/scale/papers/CUMCM-1997-A-008/paper.md,1D9182549363CD07A8F3D657C2AD60D5197D3991577AD22ACB1BFC0A2C456E59,reports/scale/g11_manual_sample_review/26_CUMCM-1997-A-008/page_A_artifact_excerpt.txt;reports/scale/g11_manual_sample_review/26_CUMCM-1997-A-008/page_B_artifact_excerpt.txt;reports/scale/g11_manual_sample_review/26_CUMCM-1997-A-008/page_C_artifact_excerpt.txt,UNDETERMINED_PENDING_ROOT_CAUSE,PENDING_ROOT_CAUSE
CUMCM-1998-A-007,27,OTHER_FORMAL_DERIVED,GOVERNED_DUPLICATE,1,3,5,MAJOR,"continuity_status,text_legibility_status,ocr_fidelity_status,math_content_status,table_status,end_matter_status",源页面可见正文、公式及数据表，而artifact excerpt只有页标记、没有实质文本，存在明显正文/表格内容缺失。,derived/scale/papers/CUMCM-1998-A-007,derived/scale/papers/CUMCM-1998-A-007/paper.md,1D9182549363CD07A8F3D657C2AD60D5197D3991577AD22ACB1BFC0A2C456E59,reports/scale/g11_manual_sample_review/27_CUMCM-1998-A-007/page_A_artifact_excerpt.txt;reports/scale/g11_manual_sample_review/27_CUMCM-1998-A-007/page_B_artifact_excerpt.txt;reports/scale/g11_manual_sample_review/27_CUMCM-1998-A-007/page_C_artifact_excerpt.txt,UNDETERMINED_PENDING_ROOT_CAUSE,PENDING_ROOT_CAUSE
CUMCM-2000-A-005,28,OTHER_FORMAL_DERIVED,GOVERNED_DUPLICATE,1,5,9,MAJOR,"continuity_status,text_legibility_status,ocr_fidelity_status,math_content_status,end_matter_status",DNA分类论文源页面包含正文、流程图和公式，但artifact excerpt仅有source_page标记，没有对应正文，属于明显内容缺失。,derived/scale/papers/CUMCM-2000-A-005,derived/scale/papers/CUMCM-2000-A-005/paper.md,1C2FC324063A906FF208763D2826E0A769B059290333B0542241C22CD9C91DE8,reports/scale/g11_manual_sample_review/28_CUMCM-2000-A-005/page_A_artifact_excerpt.txt;reports/scale/g11_manual_sample_review/28_CUMCM-2000-A-005/page_B_artifact_excerpt.txt;reports/scale/g11_manual_sample_review/28_CUMCM-2000-A-005/page_C_artifact_excerpt.txt,UNDETERMINED_PENDING_ROOT_CAUSE,PENDING_ROOT_CAUSE
CUMCM-2001-A-001,29,OTHER_FORMAL_DERIVED,GOVERNED_DUPLICATE,1,3,6,MAJOR,"continuity_status,text_legibility_status,ocr_fidelity_status,math_content_status,end_matter_status",源页面包含正文、图形及英文尾页内容，但artifact excerpt没有实际论文文本，仅有页标记，按G11标准属于material missing section。,derived/scale/papers/CUMCM-2001-A-001,derived/scale/papers/CUMCM-2001-A-001/paper.md,3556B4100929F4D56319AA760B104EE0CA947F3D5B03F13F7A0DF601179225BE,reports/scale/g11_manual_sample_review/29_CUMCM-2001-A-001/page_A_artifact_excerpt.txt;reports/scale/g11_manual_sample_review/29_CUMCM-2001-A-001/page_B_artifact_excerpt.txt;reports/scale/g11_manual_sample_review/29_CUMCM-2001-A-001/page_C_artifact_excerpt.txt,UNDETERMINED_PENDING_ROOT_CAUSE,PENDING_ROOT_CAUSE
