document_id,year,title,role,document_subtype,problem_id,solution_lineage_id,corpus_eligibility,parse_status,completeness_status,segmentation_status,evidence_status,manual_review_status,award_level,award_level_status,authors,authors_status,preferred_representation_id,representation_count,carrier_count,page_count,sheet_count,figure_reference_count,table_reference_count,notes
cumcm-2016-A-paper-01,2016,基于极值优化的系泊系统设计,paper,solution_paper,cumcm-2016-problem-A,lin-2016-A-01,eligible,parsed,complete,page_verified,verified,verified,unknown,not_observed,unknown,not_observed,rep-2016-013,1,1,36,,18,4,
cumcm-2016-A-paper-02,2016,基于力学分析的系泊系统设计,paper,solution_paper,cumcm-2016-problem-A,lin-2016-A-02,eligible,parsed,complete,page_verified,verified,verified,unknown,not_observed,unknown,not_observed,rep-2016-014,1,1,37,,16,11,
cumcm-2016-A-paper-03,2016,系泊系统的设计,paper,solution_paper,cumcm-2016-problem-A,lin-2016-A-03,eligible,parsed,complete,page_verified,verified,verified,unknown,not_observed,unknown,not_observed,rep-2016-015,1,1,39,,14,1,
cumcm-2016-A-paper-04,2016,系泊系统设计的多目标优化模型,paper,solution_paper,cumcm-2016-problem-A,lin-2016-A-04,eligible,parsed,complete,page_verified,verified,verified,unknown,not_observed,unknown,not_observed,rep-2016-016,1,1,46,,16,9,
cumcm-2016-A-paper-05,2016,论文标题（原文占位标题）,paper,solution_paper,cumcm-2016-problem-A,lin-2016-A-05,eligible,parsed,complete,page_verified,verified,verified_with_issues,unknown,not_observed,unknown,not_observed,rep-2016-017,1,1,44,,25,7,原文标题占位且有未替换交叉引用。
cumcm-2016-B-paper-01,2016,小区开放对道路通行的影响,paper,solution_paper,cumcm-2016-problem-B,lin-2016-B-01,eligible,parsed,complete,page_verified,verified,verified,unknown,not_observed,unknown,not_observed,rep-2016-018,2,2,30,,32,7,
cumcm-2016-B-paper-02,2016,小区开放对道路通行的影响（聚类-AHP-元胞自动机方案）,paper,solution_paper,cumcm-2016-problem-B,lin-2016-B-02,eligible,parsed,complete,page_verified,verified,verified,unknown,not_observed,unknown,not_observed,rep-2016-019,1,1,36,,18,9,
cumcm-2016-B-paper-03,2016,基于道路拼接的小区开放影响问题,paper,solution_paper,cumcm-2016-problem-B,lin-2016-B-03,eligible,parsed,complete,page_verified,verified,verified,unknown,not_observed,unknown,not_observed,rep-2016-020,1,1,40,,19,6,
cumcm-2016-B-paper-04,2016,小区开放对道路通行的影响（投影寻踪-元胞自动机方案）,paper,solution_paper,cumcm-2016-problem-B,lin-2016-B-04,eligible,parsed,complete,page_verified,verified,verified,unknown,not_observed,unknown,not_observed,rep-2016-022,1,1,26,,20,8,
cumcm-2016-C-dataset-appendix,2016,C题附件1与附件2：电池放电曲线及衰减状态数据,dataset,official_problem_dataset,cumcm-2016-problem-C,not_applicable,reference_only,parsed,complete,sheet_region_verified,verified,verified,not_applicable,not_applicable,unknown,not_observed,rep-2016-031,1,1,,2,0,2,
cumcm-2016-C-paper-01,2016,电池剩余放电时间预测（二次多项式方案）,paper,solution_paper,cumcm-2016-problem-C,lin-2016-C-01,eligible,parsed,complete,page_verified,verified,verified,unknown,not_observed,unknown,not_observed,rep-2016-023,1,1,20,,0,13,
cumcm-2016-C-paper-02,2016,电池剩余放电时间预测（指数函数方案）,paper,solution_paper,cumcm-2016-problem-C,lin-2016-C-02,eligible,parsed,complete,page_verified,verified,verified,unknown,not_observed,unknown,not_observed,rep-2016-024,1,1,22,,6,17,
cumcm-2016-D-dataset-attachment1-01,2016,D题附件1：2015年01月风电场日实际发电曲线统计表,dataset,official_problem_dataset,cumcm-2016-problem-D,not_applicable,reference_only,parsed,complete,sheet_region_verified,verified,verified,not_applicable,not_applicable,unknown,not_observed,rep-2016-001,1,1,,31,0,31,文件名年份为观测数据年份2015，语料归属为2016年D题附件。
cumcm-2016-D-dataset-attachment1-02,2016,D题附件1：2015年02月风电场日实际发电曲线统计表,dataset,official_problem_dataset,cumcm-2016-problem-D,not_applicable,reference_only,parsed,complete_with_observed_source_anomalies,sheet_region_verified,verified,verified_with_data_issues,not_applicable,not_applicable,unknown,not_observed,rep-2016-002,1,1,,28,0,28,文件名年份为观测数据年份2015，语料归属为2016年D题附件。
cumcm-2016-D-dataset-attachment1-03,2016,D题附件1：2015年03月风电场日实际发电曲线统计表,dataset,official_problem_dataset,cumcm-2016-problem-D,not_applicable,reference_only,parsed,complete_with_observed_source_anomalies,sheet_region_verified,verified,verified_with_data_issues,not_applicable,not_applicable,unknown,not_observed,rep-2016-003,1,1,,31,0,31,文件名年份为观测数据年份2015，语料归属为2016年D题附件。
cumcm-2016-D-dataset-attachment1-04,2016,D题附件1：2015年04月风电场日实际发电曲线统计表,dataset,official_problem_dataset,cumcm-2016-problem-D,not_applicable,reference_only,parsed,complete,sheet_region_verified,verified,verified,not_applicable,not_applicable,unknown,not_observed,rep-2016-004,1,1,,30,0,30,文件名年份为观测数据年份2015，语料归属为2016年D题附件。
cumcm-2016-D-dataset-attachment1-05,2016,D题附件1：2015年05月风电场日实际发电曲线统计表,dataset,official_problem_dataset,cumcm-2016-problem-D,not_applicable,reference_only,parsed,complete,sheet_region_verified,verified,verified,not_applicable,not_applicable,unknown,not_observed,rep-2016-005,1,1,,31,0,31,文件名年份为观测数据年份2015，语料归属为2016年D题附件。
cumcm-2016-D-dataset-attachment1-06,2016,D题附件1：2015年06月风电场日实际发电曲线统计表,dataset,official_problem_dataset,cumcm-2016-problem-D,not_applicable,reference_only,parsed,complete,sheet_region_verified,verified,verified,not_applicable,not_applicable,unknown,not_observed,rep-2016-006,1,1,,30,0,30,文件名年份为观测数据年份2015，语料归属为2016年D题附件。
cumcm-2016-D-dataset-attachment1-07,2016,D题附件1：2015年07月风电场日实际发电曲线统计表,dataset,official_problem_dataset,cumcm-2016-problem-D,not_applicable,reference_only,parsed,complete_with_observed_source_anomalies,sheet_region_verified,verified,verified_with_data_issues,not_applicable,not_applicable,unknown,not_observed,rep-2016-007,1,1,,31,0,31,文件名年份为观测数据年份2015，语料归属为2016年D题附件。
cumcm-2016-D-dataset-attachment1-08,2016,D题附件1：2015年08月风电场日实际发电曲线统计表,dataset,official_problem_dataset,cumcm-2016-problem-D,not_applicable,reference_only,parsed,complete,sheet_region_verified,verified,verified,not_applicable,not_applicable,unknown,not_observed,rep-2016-008,1,1,,31,0,31,文件名年份为观测数据年份2015，语料归属为2016年D题附件。
cumcm-2016-D-dataset-attachment1-09,2016,D题附件1：2015年09月风电场日实际发电曲线统计表,dataset,official_problem_dataset,cumcm-2016-problem-D,not_applicable,reference_only,parsed,complete_with_observed_source_anomalies,sheet_region_verified,verified,verified_with_data_issues,not_applicable,not_applicable,unknown,not_observed,rep-2016-009,1,1,,30,0,30,文件名年份为观测数据年份2015，语料归属为2016年D题附件。
cumcm-2016-D-dataset-attachment1-10,2016,D题附件1：2015年10月风电场日实际发电曲线统计表,dataset,official_problem_dataset,cumcm-2016-problem-D,not_applicable,reference_only,parsed,complete,sheet_region_verified,verified,verified,not_applicable,not_applicable,unknown,not_observed,rep-2016-010,1,1,,31,0,31,文件名年份为观测数据年份2015，语料归属为2016年D题附件。
cumcm-2016-D-dataset-attachment1-11,2016,D题附件1：2015年11月风电场日实际发电曲线统计表,dataset,official_problem_dataset,cumcm-2016-problem-D,not_applicable,reference_only,parsed,complete_with_observed_source_anomalies,sheet_region_verified,verified,verified_with_data_issues,not_applicable,not_applicable,unknown,not_observed,rep-2016-011,1,1,,30,0,30,文件名年份为观测数据年份2015，语料归属为2016年D题附件。
